date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2016-05-16,1.4888,1.5186,1.3598,1.4441,1.4441,2126211.0,0.0,1.0
2016-05-17,1.4441,1.459,1.4094,1.4193,1.4193,741497.0,0.0,1.0
2016-05-18,1.4392,1.4392,1.3747,1.3896,1.3896,409700.0,0.0,1.0
2016-05-19,1.4094,1.4094,1.3598,1.3896,1.3896,296707.0,0.0,1.0
2016-05-20,1.3896,1.3896,1.3399,1.3498,1.3498,224017.0,0.0,1.0
2016-05-23,1.3498,1.3598,1.3201,1.3498,1.3498,227576.0,0.0,1.0
2016-05-24,1.3598,1.3598,1.2556,1.2705,1.2705,128453.0,0.0,1.0
2016-05-25,1.3002,1.3101,1.2705,1.3002,1.3002,32827.0,0.0,1.0
2016-05-26,1.3101,1.3201,1.2705,1.2705,1.2705,42000.0,0.0,1.0
2016-05-27,1.2705,1.2705,1.191,1.196,1.196,147175.0,0.0,1.0
2016-05-30,1.191,1.196,1.0471,1.1116,1.1116,80239.0,0.0,1.0
2016-05-31,1.1414,1.2853,1.1414,1.2109,1.2109,358605.0,0.0,1.0
2016-06-01,1.2109,1.2109,1.1613,1.1712,1.1712,116541.0,0.0,1.0
2016-06-02,1.1712,1.2407,1.1662,1.201,1.201,538081.0,0.0,1.0
2016-06-03,1.2258,1.2258,1.2208,1.2208,1.2208,26195.0,0.0,1.0
2016-06-06,1.196,1.2407,1.196,1.201,1.201,35741.0,0.0,1.0
2016-06-07,1.2208,1.2208,1.1762,1.1762,1.1762,180409.0,0.0,1.0
2016-06-08,1.1613,1.1613,1.1513,1.1513,1.1513,19143.0,0.0,1.0
2016-06-09,1.1513,1.1613,1.1315,1.1414,1.1414,131265.0,0.0,1.0
2016-06-10,1.1464,1.1712,1.1464,1.1464,1.1464,74967.0,0.0,1.0
2016-06-14,1.1464,1.1712,1.1315,1.1712,1.1712,40944.0,0.0,1.0
2016-06-15,1.1414,1.1414,1.0819,1.0819,1.0819,32202.0,0.0,1.0
2016-06-16,1.1116,1.1116,1.0918,1.1116,1.1116,65700.0,0.0,1.0
2016-06-17,1.1116,1.1166,1.0918,1.1116,1.1116,140905.0,0.0,1.0
2016-06-20,1.1116,1.1116,1.067,1.0719,1.0719,86549.0,0.0,1.0
2016-06-21,1.062,1.1712,1.0521,1.1712,1.1712,73354.0,0.0,1.0
2016-06-22,1.1613,1.1613,1.1116,1.1414,1.1414,101549.0,0.0,1.0
2016-06-23,1.1017,1.1116,1.1017,1.1017,1.1017,19102.0,0.0,1.0
2016-06-24,1.1017,1.1116,1.0124,1.0422,1.0422,183714.0,0.0,1.0
2016-06-27,1.0422,1.0471,1.0025,1.0372,1.0372,77873.0,0.0,1.0
2016-06-28,1.0372,1.0372,1.0025,1.0124,1.0124,34594.0,0.0,1.0
2016-06-29,1.0422,1.0918,1.0223,1.0918,1.0918,69285.0,0.0,1.0
2016-06-30,1.0471,1.062,1.0422,1.062,1.062,86541.0,0.0,1.0
2016-07-01,1.0521,1.0521,1.0124,1.0173,1.0173,58243.0,0.0,1.0
2016-07-04,1.0173,1.0173,1.0124,1.0124,1.0124,11005.0,0.0,1.0
2016-07-05,1.0124,1.0124,0.9677,0.9727,0.9727,76546.0,0.0,1.0
2016-07-06,0.9876,1.0025,0.9727,0.9925,0.9925,74138.0,0.0,1.0
2016-07-07,0.9975,1.0074,0.9975,0.9975,0.9975,49698.0,0.0,1.0
2016-07-08,0.9975,1.0025,0.9925,0.9925,0.9925,77360.0,0.0,1.0
2016-07-11,0.9925,0.9925,0.9925,0.9925,0.9925,15127.0,0.0,1.0
2016-07-12,0.9925,0.9925,0.9925,0.9925,0.9925,0.0,0.0,1.0
2016-07-13,1.0223,1.0521,0.9925,0.9925,0.9925,21602.0,0.0,1.0
