date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2014-10-07,3.85,4.03,3.85,4.02,3.2357,8989345.0,0.0,1.0
2014-10-08,3.95,4.02,3.91,4.0,3.2196,2265741.0,0.0,1.0
2014-10-09,4.0,4.09,3.995,4.0,3.2196,1704530.0,0.0,1.0
2014-10-10,3.98,4.01,3.94,4.01,3.2276,809605.0,0.0,1.0
2014-10-13,4.0,4.01,3.98,4.0,3.2196,781379.0,0.0,1.0
2014-10-14,4.0,4.02,4.0,4.01,3.2276,537672.0,0.0,1.0
2014-10-15,4.03,4.07,4.01,4.07,3.2759,377077.0,0.0,1.0
2014-10-16,4.08,4.1,4.02,4.06,3.2679,188349.0,0.0,1.0
2014-10-17,4.08,4.14,4.08,4.1,3.3,757289.0,0.0,1.0
2014-10-20,4.1,4.14,4.08,4.09,3.292,517868.0,0.0,1.0
2014-10-21,4.1,4.1,4.0,4.01,3.2276,751431.0,0.0,1.0
2014-10-22,4.05,4.14,4.05,4.1,3.3,1000402.0,0.0,1.0
2014-10-23,4.1,4.19,4.08,4.14,3.3322,1028621.0,0.0,1.0
2014-10-24,4.15,4.2,4.14,4.18,3.3644,1413182.0,0.0,1.0
2014-10-27,4.17,4.21,4.14,4.18,3.3644,608142.0,0.0,1.0
2014-10-28,4.2,4.26,4.17,4.26,3.4288,774993.0,0.0,1.0
2014-10-29,4.25,4.44,4.2,4.27,3.4369,393168.0,0.0,1.0
2014-10-30,4.25,4.25,4.16,4.16,3.3483,319916.0,0.0,1.0
2014-10-31,4.28,4.28,4.2,4.25,3.4208,632016.0,0.0,1.0
2014-11-03,4.26,4.26,4.21,4.25,3.4208,278194.0,0.0,1.0
2014-11-04,4.21,4.25,4.21,4.24,3.4127,393336.0,0.0,1.0
2014-11-05,4.24,4.26,4.23,4.26,3.4288,184868.0,0.0,1.0
2014-11-06,4.26,4.26,4.21,4.22,3.3966,1192598.0,0.0,1.0
2014-11-07,4.24,4.26,4.16,4.2,3.3805,374064.0,0.0,1.0
2014-11-10,4.25,4.27,4.22,4.25,3.4208,535984.0,0.0,1.0
2014-11-11,4.25,4.255,4.19,4.22,3.3966,139772.0,0.0,1.0
2014-11-12,4.24,4.25,4.23,4.25,3.4208,507843.0,0.0,1.0
2014-11-13,4.23,4.23,4.15,4.16,3.3483,173663.0,0.0,1.0
2014-11-14,4.16,4.18,4.12,4.18,3.3644,112314.0,0.0,1.0
2014-11-17,4.19,4.2,4.12,4.19,3.3725,187029.0,0.0,1.0
2014-11-18,4.18,4.19,4.15,4.16,3.3483,740405.0,0.0,1.0
2014-11-19,4.17,4.19,4.14,4.15,3.3403,1495087.0,0.0,1.0
2014-11-20,4.15,4.21,4.15,4.21,3.3886,875304.0,0.0,1.0
2014-11-21,4.22,4.28,4.2,4.25,3.4208,204069.0,0.0,1.0
2014-11-24,4.26,4.29,4.16,4.17,3.3564,920506.0,0.0,1.0
2014-11-25,4.24,4.25,4.07,4.21,3.3886,853062.0,0.0,1.0
2014-11-26,4.22,4.25,4.21,4.21,3.3886,302435.0,0.0,1.0
2014-11-27,4.2,4.22,4.19,4.2,3.3805,306953.0,0.0,1.0
2014-11-28,4.23,4.23,4.18,4.2,3.3805,499243.0,0.0,1.0
2014-12-01,4.25,4.25,4.03,4.1,3.3,805458.0,0.0,1.0
2014-12-02,4.12,4.24,4.12,4.21,3.3886,1117605.0,0.0,1.0
2014-12-03,4.21,4.23,4.04,4.06,3.2679,1617241.0,0.0,1.0
2014-12-04,4.15,4.15,3.75,3.8,3.0586,1758584.0,0.0,1.0
