date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2005-11-08,1.0,1.0,1.0,1.0,0.5722,0.0,0.0,1.0
2005-11-09,1.05,1.05,0.95,0.975,0.5579,4261882.0,0.0,1.0
2005-11-10,0.98,0.99,0.98,0.98,0.5607,784025.0,0.0,1.0
2005-11-11,0.98,0.99,0.975,0.98,0.5607,1845751.0,0.0,1.0
2005-11-14,0.99,1.0,0.99,1.0,0.5722,233433.0,0.0,1.0
2005-11-15,1.01,1.025,1.01,1.02,0.5836,346000.0,0.0,1.0
2005-11-16,1.025,1.025,1.01,1.015,0.5807,591196.0,0.0,1.0
2005-11-17,1.015,1.015,1.0,1.01,0.5779,1557000.0,0.0,1.0
2005-11-18,1.01,1.06,1.01,1.06,0.6065,1392501.0,0.0,1.0
2005-11-21,1.06,1.07,1.06,1.07,0.6122,135925.0,0.0,1.0
2005-11-22,1.065,1.11,1.065,1.09,0.6237,886850.0,0.0,1.0
2005-11-23,1.1,1.11,1.1,1.1,0.6294,157730.0,0.0,1.0
2005-11-24,1.1,1.1,1.09,1.09,0.6237,746324.0,0.0,1.0
2005-11-25,1.1,1.1,1.085,1.09,0.6237,158664.0,0.0,1.0
2005-11-28,1.09,1.15,1.09,1.12,0.6408,290500.0,0.0,1.0
2005-11-29,1.13,1.18,1.13,1.15,0.658,290356.0,0.0,1.0
2005-11-30,1.17,1.17,1.15,1.17,0.6694,459946.0,0.0,1.0
2005-12-01,1.17,1.18,1.16,1.16,0.6637,761553.0,0.0,1.0
2005-12-02,1.17,1.17,1.15,1.15,0.658,153408.0,0.0,1.0
2005-12-05,1.14,1.15,1.14,1.15,0.658,300033.0,0.0,1.0
2005-12-06,1.15,1.15,1.15,1.15,0.658,417959.0,0.0,1.0
2005-12-07,1.15,1.16,1.14,1.15,0.658,643100.0,0.0,1.0
2005-12-08,1.14,1.15,1.14,1.14,0.6523,43285.0,0.0,1.0
2005-12-09,1.15,1.15,1.15,1.15,0.658,131400.0,0.0,1.0
2005-12-12,1.16,1.16,1.14,1.15,0.658,121541.0,0.0,1.0
2005-12-13,1.145,1.145,1.14,1.14,0.6523,521283.0,0.0,1.0
2005-12-14,1.125,1.125,1.12,1.12,0.6408,105717.0,0.0,1.0
2005-12-15,1.12,1.12,1.12,1.12,0.6408,66000.0,0.0,1.0
2005-12-16,1.12,1.12,1.12,1.12,0.6408,7988.0,0.0,1.0
2005-12-19,1.12,1.12,1.1,1.1,0.6294,474295.0,0.0,1.0
2005-12-20,1.1,1.11,1.1,1.1,0.6294,183459.0,0.0,1.0
2005-12-21,1.1,1.1,1.06,1.06,0.6065,3000.0,0.0,1.0
2005-12-22,1.1,1.1,1.06,1.06,0.6065,13331.0,0.0,1.0
2005-12-23,1.08,1.08,1.08,1.08,0.6179,1000.0,0.0,1.0
2005-12-28,1.08,1.125,1.08,1.12,0.6408,548735.0,0.0,1.0
2005-12-29,1.12,1.12,1.12,1.12,0.6408,500.0,0.0,1.0
2005-12-30,1.11,1.11,1.1,1.1,0.6294,4500.0,0.0,1.0
2006-01-03,1.1,1.11,1.1,1.11,0.6351,14000.0,0.0,1.0
2006-01-04,1.11,1.11,1.1,1.1,0.6294,17500.0,0.0,1.0
2006-01-05,1.06,1.1,1.06,1.1,0.6294,25000.0,0.0,1.0
2006-01-06,1.09,1.09,1.09,1.09,0.6237,20000.0,0.0,1.0
2006-01-09,1.09,1.09,1.09,1.09,0.6237,0.0,0.0,1.0
2006-01-10,1.05,1.06,1.04,1.05,0.6008,31000.0,0.0,1.0
2006-01-11,1.05,1.05,1.05,1.05,0.6008,30000.0,0.0,1.0
2006-01-12,1.06,1.06,1.06,1.06,0.6065,2000.0,0.0,1.0
2006-01-13,1.07,1.07,1.07,1.07,0.6122,6500.0,0.0,1.0
2006-01-16,1.06,1.06,1.06,1.06,0.6065,9500.0,0.0,1.0
2006-01-17,1.06,1.06,1.06,1.06,0.6065,38500.0,0.0,1.0
2006-01-18,1.06,1.07,1.06,1.06,0.6065,113315.0,0.0,1.0
2006-01-19,1.06,1.07,1.06,1.07,0.6122,13500.0,0.0,1.0
2006-01-20,1.07,1.07,1.07,1.07,0.6122,15600.0,0.0,1.0
2006-01-23,1.07,1.07,1.07,1.07,0.6122,0.0,0.0,1.0
2006-01-24,1.06,1.06,1.06,1.06,0.6065,125000.0,0.0,1.0
2006-01-25,1.07,1.08,1.07,1.08,0.6179,4600.0,0.0,1.0
2006-01-27,1.06,1.06,1.06,1.06,0.6065,22000.0,0.0,1.0
2006-01-30,1.06,1.06,1.055,1.06,0.6065,64735.0,0.0,1.0
2006-01-31,1.06,1.06,1.06,1.06,0.6065,36080.0,0.0,1.0
2006-02-01,1.06,1.06,1.05,1.05,0.6008,35616.0,0.0,1.0
2006-02-02,1.05,1.05,1.05,1.05,0.6008,17000.0,0.0,1.0
