date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2006-06-21,1.0,1.0,1.0,1.0,0.5739,0.0,0.0,1.0
2006-06-22,0.96,0.96,0.87,0.915,0.5251,1878376.0,0.0,1.0
2006-06-23,0.91,0.91,0.86,0.87,0.4993,392240.0,0.0,1.0
2006-06-26,0.86,0.87,0.83,0.835,0.4792,229500.0,0.0,1.0
2006-06-27,0.835,0.835,0.76,0.8,0.4591,371176.0,0.0,1.0
2006-06-28,0.8,0.86,0.8,0.82,0.4706,268150.0,0.0,1.0
2006-06-29,0.845,0.875,0.83,0.85,0.4878,270325.0,0.0,1.0
2006-06-30,0.855,0.87,0.82,0.845,0.485,724765.0,0.0,1.0
2006-07-03,0.83,0.83,0.8,0.8,0.4591,260800.0,0.0,1.0
2006-07-04,0.81,0.82,0.79,0.79,0.4534,65815.0,0.0,1.0
2006-07-05,0.79,0.8,0.78,0.8,0.4591,256575.0,0.0,1.0
2006-07-06,0.785,0.8,0.78,0.78,0.4477,20000.0,0.0,1.0
2006-07-07,0.81,0.83,0.8,0.8,0.4591,193700.0,0.0,1.0
2006-07-10,0.8,0.82,0.8,0.805,0.462,150034.0,0.0,1.0
2006-07-11,0.82,0.83,0.81,0.81,0.4649,245360.0,0.0,1.0
2006-07-12,0.83,0.85,0.83,0.83,0.4764,259858.0,0.0,1.0
2006-07-13,0.85,0.89,0.85,0.89,0.5108,88500.0,0.0,1.0
2006-07-14,0.88,0.88,0.84,0.85,0.4878,34000.0,0.0,1.0
2006-07-17,0.85,0.85,0.825,0.825,0.4735,32120.0,0.0,1.0
2006-07-18,0.83,0.855,0.83,0.85,0.4878,63880.0,0.0,1.0
2006-07-19,0.85,0.85,0.785,0.785,0.4505,36197.0,0.0,1.0
2006-07-20,0.78,0.81,0.78,0.79,0.4534,88000.0,0.0,1.0
2006-07-21,0.79,0.85,0.79,0.85,0.4878,124170.0,0.0,1.0
2006-07-24,0.8,0.82,0.8,0.8,0.4591,98500.0,0.0,1.0
2006-07-25,0.81,0.81,0.79,0.79,0.4534,258000.0,0.0,1.0
2006-07-26,0.83,0.85,0.83,0.85,0.4878,39000.0,0.0,1.0
2006-07-27,0.84,0.85,0.83,0.85,0.4878,101400.0,0.0,1.0
2006-07-28,0.84,0.84,0.84,0.84,0.4821,20000.0,0.0,1.0
2006-07-31,0.8,0.85,0.8,0.85,0.4878,23500.0,0.0,1.0
2006-08-01,0.84,0.84,0.84,0.84,0.4821,5000.0,0.0,1.0
2006-08-02,0.84,0.84,0.83,0.83,0.4764,17500.0,0.0,1.0
2006-08-03,0.82,0.83,0.8,0.8,0.4591,101125.0,0.0,1.0
2006-08-04,0.8,0.8,0.8,0.8,0.4591,153875.0,0.0,1.0
2006-08-07,0.805,0.805,0.79,0.79,0.4534,87325.0,0.0,1.0
2006-08-08,0.785,0.785,0.77,0.77,0.4419,25000.0,0.0,1.0
2006-08-09,0.785,0.79,0.785,0.79,0.4534,117648.0,0.0,1.0
2006-08-10,0.75,0.79,0.75,0.75,0.4304,46301.0,0.0,1.0
2006-08-11,0.74,0.795,0.74,0.795,0.4563,32100.0,0.0,1.0
2006-08-14,0.795,0.795,0.795,0.795,0.4563,0.0,0.0,1.0
2006-08-15,0.795,0.795,0.795,0.795,0.4563,0.0,0.0,1.0
2006-08-16,0.77,0.77,0.73,0.75,0.4304,64961.0,0.0,1.0
