date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,0.71,0.71,0.7,0.7,0.2778,351318.0,0.0,1.0
2000-01-05,0.69,0.69,0.67,0.67,0.2659,666995.0,0.0,1.0
2000-01-06,0.68,0.7,0.68,0.68,0.2699,236269.0,0.0,1.0
2000-01-07,0.7,0.7,0.68,0.68,0.2699,160047.0,0.0,1.0
2000-01-10,0.69,0.7,0.68,0.68,0.2699,189426.0,0.0,1.0
2000-01-11,0.68,0.68,0.67,0.67,0.2659,601817.0,0.0,1.0
2000-01-12,0.68,0.68,0.66,0.66,0.2619,628246.0,0.0,1.0
2000-01-13,0.67,0.67,0.65,0.65,0.258,496898.0,0.0,1.0
2000-01-14,0.67,0.67,0.65,0.67,0.2659,381295.0,0.0,1.0
2000-01-17,0.67,0.68,0.66,0.66,0.2619,633654.0,0.0,1.0
2000-01-18,0.67,0.68,0.67,0.67,0.2659,475266.0,0.0,1.0
2000-01-19,0.69,0.69,0.67,0.67,0.2659,2436259.0,0.0,1.0
2000-01-20,0.694,0.694,0.67,0.68,0.2699,463378.0,0.0,1.0
2000-01-21,0.68,0.69,0.67,0.67,0.2659,627243.0,0.0,1.0
2000-01-24,0.67,0.7,0.67,0.68,0.2699,275926.0,0.0,1.0
2000-01-25,0.69,0.7,0.68,0.68,0.2699,156202.0,0.0,1.0
2000-01-26,0.68,0.68,0.68,0.68,0.2699,0.0,0.0,1.0
2000-01-27,0.69,0.7,0.68,0.69,0.2738,329865.0,0.0,1.0
2000-01-28,0.7,0.7,0.68,0.68,0.2699,379942.0,0.0,1.0
2000-01-31,0.68,0.69,0.68,0.68,0.2699,262105.0,0.0,1.0
2000-02-01,0.69,0.69,0.68,0.68,0.2699,220546.0,0.0,1.0
2000-02-02,0.68,0.68,0.66,0.67,0.2659,960605.0,0.0,1.0
2000-02-03,0.67,0.67,0.65,0.65,0.258,678095.0,0.0,1.0
2000-02-04,0.65,0.67,0.65,0.66,0.2619,280360.0,0.0,1.0
2000-02-07,0.66,0.67,0.66,0.66,0.2619,233547.0,0.0,1.0
2000-02-08,0.66,0.67,0.65,0.66,0.2619,427750.0,0.0,1.0
2000-02-09,0.66,0.68,0.65,0.65,0.258,654084.0,0.0,1.0
2000-02-10,0.65,0.68,0.64,0.66,0.2619,764642.0,0.0,1.0
2000-02-11,0.66,0.66,0.63,0.63,0.25,441192.0,0.0,1.0
2000-02-14,0.64,0.64,0.62,0.63,0.25,543325.0,0.0,1.0
2000-02-15,0.63,0.64,0.61,0.62,0.2461,717910.0,0.0,1.0
2000-02-16,0.63,0.63,0.61,0.62,0.2461,469578.0,0.0,1.0
2000-02-17,0.63,0.63,0.61,0.61,0.2421,251998.0,0.0,1.0
2000-02-18,0.62,0.63,0.6,0.6,0.2381,586630.0,0.0,1.0
2000-02-21,0.61,0.63,0.61,0.63,0.25,183225.0,0.0,1.0
2000-02-22,0.62,0.64,0.62,0.63,0.25,449728.0,0.0,1.0
2000-02-23,0.62,0.63,0.6,0.6,0.2381,280684.0,0.0,1.0
2000-02-24,0.62,0.63,0.61,0.62,0.2461,52165.0,0.0,1.0
2000-02-25,0.62,0.63,0.61,0.63,0.25,76522.0,0.0,1.0
2000-02-28,0.61,0.62,0.61,0.62,0.2461,87885.0,0.0,1.0
2000-02-29,0.63,0.64,0.59,0.6,0.2381,1185276.0,0.0,1.0
2000-03-01,0.6,0.63,0.59,0.61,0.2421,1008985.0,0.0,1.0
2000-03-02,0.62,0.63,0.61,0.62,0.2461,413053.0,0.0,1.0
2000-03-03,0.62,0.64,0.62,0.63,0.25,1047522.0,0.0,1.0
2000-03-06,0.63,0.63,0.61,0.61,0.2421,323482.0,0.0,1.0
2000-03-07,0.62,0.63,0.61,0.63,0.25,346627.0,0.0,1.0
2000-03-08,0.63,0.64,0.62,0.63,0.25,308166.0,0.0,1.0
2000-03-09,0.63,0.63,0.62,0.62,0.2461,400811.0,0.0,1.0
2000-03-10,0.63,0.63,0.61,0.62,0.2461,408878.0,0.0,1.0
2000-03-13,0.62,0.62,0.61,0.61,0.2421,633332.0,0.0,1.0
2000-03-14,0.61,0.61,0.59,0.6,0.2381,721019.0,0.0,1.0
2000-03-15,0.6,0.6,0.59,0.6,0.2381,573239.0,0.0,1.0
2000-03-16,0.62,0.62,0.6,0.6,0.2381,713627.0,0.0,1.0
2000-03-17,0.61,0.62,0.6,0.61,0.2421,1413634.0,0.0,1.0
2000-03-20,0.6,0.6,0.58,0.59,0.2421,849466.0,0.0,1.0
2000-03-21,0.59,0.59,0.57,0.57,0.2339,587137.0,0.0,1.0
2000-03-22,0.58,0.58,0.57,0.58,0.238,463365.0,0.0,1.0
2000-03-23,0.58,0.58,0.57,0.57,0.2339,640157.0,0.0,1.0
2000-03-24,0.58,0.58,0.57,0.57,0.2339,434296.0,0.0,1.0
2000-03-27,0.56,0.57,0.55,0.56,0.2298,893161.0,0.0,1.0
2000-03-28,0.56,0.57,0.54,0.54,0.2216,1734685.0,0.0,1.0
2000-03-29,0.54,0.55,0.52,0.53,0.2175,1470311.0,0.0,1.0
2000-03-30,0.52,0.53,0.51,0.51,0.2093,1389348.0,0.0,1.0
2000-03-31,0.52,0.53,0.48,0.48,0.197,2029672.0,0.0,1.0
