date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,25.7913,26.2637,25.5933,26.0271,14.1948,1199590.0,0.0,1.0
2000-01-05,25.7274,25.7274,25.2384,25.4356,13.8722,1067868.0,0.0,1.0
2000-01-06,25.2384,25.3173,24.844,25.0807,13.6786,1319162.0,0.0,1.0
2000-01-07,25.3543,26.2953,25.3543,26.2337,14.3075,1896242.0,0.0,1.0
2000-01-10,26.3749,26.5713,26.2243,26.4562,14.4288,1450864.0,0.0,1.0
2000-01-11,26.0271,26.0271,25.2384,25.4711,13.8916,1244186.0,0.0,1.0
2000-01-12,25.3244,25.3244,24.3629,24.4891,13.356,703148.0,0.0,1.0
2000-01-13,24.1232,24.292,23.8187,24.0956,13.1414,1916607.0,0.0,1.0
2000-01-14,24.1342,24.4497,23.937,24.0475,13.1151,956006.0,0.0,1.0
2000-01-17,24.0009,24.0009,23.6531,23.7754,12.9667,919867.0,0.0,1.0
2000-01-18,23.7675,23.9765,23.7399,23.8937,13.0313,673716.0,0.0,1.0
2000-01-19,23.6216,23.6531,23.2666,23.2745,12.6936,977360.0,0.0,1.0
2000-01-20,23.661,23.9765,23.5821,23.9765,13.0764,1512108.0,0.0,1.0
2000-01-21,23.5735,23.5735,23.3392,23.3392,12.7288,1362660.0,0.0,1.0
2000-01-24,23.2588,23.2824,23.0695,23.1042,12.6007,603684.0,0.0,1.0
2000-01-25,23.0695,23.0695,22.4779,22.646,12.3508,1396029.0,0.0,1.0
2000-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-01-27,22.1625,22.1625,21.7681,21.8864,11.9365,1589144.0,0.0,1.0
2000-01-28,21.8407,21.8407,21.2949,21.6025,11.7817,2519184.0,0.0,1.0
2000-01-31,21.5157,22.0047,21.216,21.9677,11.9809,1099593.0,0.0,1.0
2000-02-01,21.7681,21.7681,21.3817,21.4526,11.6999,1164894.0,0.0,1.0
2000-02-02,21.612,21.7287,21.5315,21.5788,11.7688,1118752.0,0.0,1.0
2000-02-03,21.6514,21.6893,21.216,21.6624,11.8143,1531670.0,0.0,1.0
2000-02-04,21.6758,21.6893,21.3343,21.3343,11.6354,529091.0,0.0,1.0
2000-02-07,21.2831,21.5946,21.2555,21.5315,11.743,1082589.0,0.0,1.0
2000-02-08,21.8785,21.9653,21.5631,21.6814,11.8247,996019.0,0.0,1.0
2000-02-09,21.6033,21.6033,20.8217,20.9053,11.4014,1760564.0,0.0,1.0
2000-02-10,20.2704,20.2704,19.7175,19.9541,10.8827,4046698.0,0.0,1.0
2000-02-11,19.4825,20.1828,19.402,20.1584,10.9941,2676148.0,0.0,1.0
2000-02-14,19.947,19.9541,19.5598,19.6781,10.7321,1933513.0,0.0,1.0
2000-02-15,19.7175,19.9935,19.7175,19.7964,10.7967,1506958.0,0.0,1.0
2000-02-16,20.5756,20.6639,19.9935,20.033,10.9257,1647769.0,0.0,1.0
2000-02-17,20.5867,21.2318,20.5456,21.0583,11.4849,1581337.0,0.0,1.0
2000-02-18,21.2555,21.2555,20.8296,21.0346,11.472,1084052.0,0.0,1.0
2000-02-21,20.5007,20.6245,20.3485,20.4281,11.1412,822547.0,0.0,1.0
