date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2008-05-27,1.11,1.18,1.09,1.18,0.9474,2928500.0,0.0,1.0
2008-05-28,1.18,1.18,1.15,1.16,0.9313,453760.0,0.0,1.0
2008-05-29,1.16,1.17,1.135,1.165,0.9353,389108.0,0.0,1.0
2008-05-30,1.16,1.16,1.12,1.135,0.9112,90000.0,0.0,1.0
2008-06-02,1.17,1.18,1.16,1.175,0.9434,184850.0,0.0,1.0
2008-06-03,1.175,1.2,1.165,1.2,0.9634,132800.0,0.0,1.0
2008-06-04,1.195,1.25,1.19,1.25,1.0036,307349.0,0.0,1.0
2008-06-05,1.25,1.25,1.2,1.25,1.0036,97146.0,0.0,1.0
2008-06-06,1.24,1.24,1.24,1.24,0.9955,63500.0,0.0,1.0
2008-06-10,1.25,1.25,1.25,1.25,1.0036,56854.0,0.0,1.0
2008-06-11,1.25,1.25,1.2,1.2,0.9634,52546.0,0.0,1.0
2008-06-12,1.2,1.2,1.19,1.19,0.9554,36254.0,0.0,1.0
2008-06-13,1.19,1.19,1.16,1.16,0.9313,41571.0,0.0,1.0
2008-06-16,1.15,1.15,1.14,1.14,0.9153,57529.0,0.0,1.0
2008-06-17,1.15,1.15,1.15,1.15,0.9233,5000.0,0.0,1.0
2008-06-18,1.15,1.15,1.12,1.12,0.8992,54250.0,0.0,1.0
2008-06-19,1.11,1.11,1.1,1.1,0.8831,42500.0,0.0,1.0
2008-06-20,1.1,1.1,1.1,1.1,0.8831,15217.0,0.0,1.0
2008-06-23,1.05,1.05,1.02,1.02,0.8189,54034.0,0.0,1.0
2008-06-24,1.04,1.1,1.04,1.06,0.851,34000.0,0.0,1.0
2008-06-25,1.06,1.06,1.04,1.04,0.835,43000.0,0.0,1.0
2008-06-26,1.105,1.12,1.1,1.12,0.8992,21600.0,0.0,1.0
2008-06-27,1.11,1.11,1.06,1.06,0.851,13150.0,0.0,1.0
2008-06-30,1.09,1.13,1.09,1.13,0.9072,19575.0,0.0,1.0
2008-07-01,1.19,1.2,1.15,1.15,0.9233,62869.0,0.0,1.0
2008-07-02,1.12,1.12,1.12,1.12,0.8992,8500.0,0.0,1.0
2008-07-03,1.1,1.1,1.08,1.08,0.8671,20505.0,0.0,1.0
2008-07-04,1.08,1.08,1.08,1.08,0.8671,0.0,0.0,1.0
2008-07-07,1.08,1.08,1.08,1.08,0.8671,0.0,0.0,1.0
2008-07-08,1.08,1.08,1.08,1.08,0.8671,46168.0,0.0,1.0
2008-07-09,1.05,1.06,1.05,1.06,0.851,16988.0,0.0,1.0
2008-07-10,1.03,1.03,1.03,1.03,0.8269,14982.0,0.0,1.0
2008-07-11,1.03,1.03,1.0,1.0,0.8029,32100.0,0.0,1.0
2008-07-14,1.01,1.01,1.01,1.01,0.8109,5000.0,0.0,1.0
2008-07-15,1.0,1.0,0.99,0.99,0.7948,0.0,0.0,1.0
2008-07-16,1.0,1.0,0.98,0.99,0.7948,33000.0,0.0,1.0
2008-07-17,0.99,1.0,0.99,1.0,0.8029,7850.0,0.0,1.0
2008-07-18,0.98,0.98,0.98,0.98,0.7868,7852.0,0.0,1.0
2008-07-21,0.94,0.94,0.93,0.93,0.7467,15000.0,0.0,1.0
2008-07-22,0.92,0.92,0.91,0.91,0.7306,41753.0,0.0,1.0
2008-07-23,0.89,0.89,0.89,0.89,0.7145,19000.0,0.0,1.0
2008-07-24,0.95,0.95,0.91,0.91,0.7306,0.0,0.0,1.0
2008-07-25,0.91,0.96,0.91,0.96,0.7707,14562.0,0.0,1.0
2008-07-28,0.9,0.9,0.9,0.9,0.7226,31000.0,0.0,1.0
2008-07-29,1.0,1.0,0.97,0.97,0.7788,9130.0,0.0,1.0
2008-07-30,0.95,0.95,0.93,0.95,0.7627,68500.0,0.0,1.0
2008-07-31,0.96,0.96,0.96,0.96,0.7707,50000.0,0.0,1.0
2008-08-01,0.94,0.97,0.94,0.97,0.7788,20000.0,0.0,1.0
2008-08-04,0.97,0.97,0.97,0.97,0.7788,0.0,0.0,1.0
2008-08-05,0.92,0.92,0.92,0.92,0.7386,27393.0,0.0,1.0
2008-08-06,0.945,0.965,0.945,0.95,0.7627,56000.0,0.0,1.0
2008-08-07,0.93,0.94,0.93,0.94,0.7547,204000.0,0.0,1.0
2008-08-08,0.96,0.96,0.95,0.95,0.7627,20000.0,0.0,1.0
2008-08-11,0.95,0.95,0.95,0.95,0.7627,65832.0,0.0,1.0
2008-08-12,0.97,0.97,0.97,0.97,0.7788,51000.0,0.0,1.0
2008-08-13,0.98,0.98,0.98,0.98,0.7868,20000.0,0.0,1.0
2008-08-14,0.98,0.98,0.95,0.95,0.7627,15500.0,0.0,1.0
2008-08-15,0.98,0.98,0.95,0.95,0.7627,0.0,0.0,1.0
2008-08-18,0.95,0.95,0.95,0.95,0.7627,550560.0,0.0,1.0
2008-08-19,0.93,0.93,0.93,0.93,0.7467,5000.0,0.0,1.0
2008-08-20,0.93,0.97,0.93,0.93,0.7467,46000.0,0.0,1.0
2008-08-21,0.94,0.98,0.94,0.98,0.7868,23800.0,0.0,1.0
2008-08-22,1.0,1.0,0.98,1.0,0.8029,35500.0,0.0,1.0
2008-08-25,1.0,1.0,1.0,1.0,0.8029,0.0,0.0,1.0
2008-08-26,1.0,1.0,1.0,1.0,0.8029,0.0,0.0,1.0
2008-08-27,0.97,0.97,0.97,0.97,0.7788,245120.0,0.0,1.0
2008-08-28,0.97,0.97,0.935,0.935,0.7507,72500.0,0.0,1.0
2008-08-29,0.97,0.97,0.9,0.9,0.7226,66050.0,0.0,1.0
2008-09-01,0.94,0.94,0.91,0.91,0.7306,0.0,0.0,1.0
2008-09-02,0.94,0.94,0.91,0.91,0.7306,0.0,0.0,1.0
2008-09-03,0.94,0.94,0.915,0.915,0.7346,0.0,0.0,1.0
2008-09-04,0.92,0.94,0.91,0.91,0.7306,28427.0,0.0,1.0
2008-09-05,0.97,0.97,0.91,0.91,0.7306,0.0,0.0,1.0
2008-09-08,0.97,0.97,0.915,0.915,0.7346,0.0,0.0,1.0
2008-09-09,0.97,0.97,0.88,0.88,0.7183,0.0,0.0,1.0
2008-09-10,0.89,0.89,0.87,0.87,0.7101,30000.0,0.0,1.0
2008-09-11,0.88,0.91,0.87,0.91,0.7428,71300.0,0.0,1.0
2008-09-12,0.91,0.91,0.88,0.88,0.7183,66231.0,0.0,1.0
2008-09-15,0.88,0.88,0.87,0.87,0.7101,44000.0,0.0,1.0
2008-09-16,0.87,0.87,0.85,0.85,0.6938,28110.0,0.0,1.0
2008-09-17,0.85,0.85,0.85,0.85,0.6938,65000.0,0.0,1.0
2008-09-18,0.85,0.85,0.85,0.85,0.6938,0.0,0.0,1.0
2008-09-19,0.85,0.855,0.85,0.85,0.6938,65000.0,0.0,1.0
2008-09-22,0.87,0.87,0.85,0.85,0.6938,50000.0,0.0,1.0
2008-09-23,0.85,0.85,0.85,0.85,0.6938,0.0,0.0,1.0
2008-09-24,0.9,0.9,0.9,0.9,0.7346,738688.0,0.0,1.0
2008-09-25,0.9,0.9,0.9,0.9,0.7346,0.0,0.0,1.0
2008-09-26,0.9,0.9,0.9,0.9,0.7346,0.0,0.0,1.0
2008-09-29,0.9,0.9,0.9,0.9,0.7346,0.0,0.0,1.0
2008-09-30,0.85,0.85,0.85,0.85,0.6938,5000.0,0.0,1.0
2008-10-01,0.85,0.85,0.85,0.85,0.6938,8000.0,0.0,1.0
2008-10-02,0.8,0.85,0.8,0.85,0.6938,10745.0,0.0,1.0
2008-10-03,0.8,0.8,0.8,0.8,0.653,28800.0,0.0,1.0
2008-10-06,0.85,0.85,0.85,0.85,0.6938,37455.0,0.0,1.0
2008-10-07,0.76,0.84,0.76,0.79,0.6448,9000.0,0.0,1.0
2008-10-08,0.79,0.79,0.76,0.76,0.6203,10000.0,0.0,1.0
2008-10-09,0.75,0.75,0.7,0.7,0.5714,47965.0,0.0,1.0
2008-10-10,0.65,0.655,0.65,0.655,0.5346,28700.0,0.0,1.0
2008-10-13,0.655,0.7,0.655,0.68,0.555,34781.0,0.0,1.0
2008-10-14,0.73,0.79,0.73,0.79,0.6448,23750.0,0.0,1.0
2008-10-15,0.79,0.79,0.79,0.79,0.6448,0.0,0.0,1.0
