date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2016-04-29,2.7834,2.8901,2.7543,2.861,2.7067,83500275.0,0.0,1.0
2016-05-02,2.8416,2.9192,2.8319,2.8998,2.7434,17301736.0,0.0,1.0
2016-05-03,2.8998,2.9095,2.8513,2.861,2.7067,5060587.0,0.0,1.0
2016-05-04,2.8319,2.8513,2.7737,2.8319,2.6792,4402582.0,0.0,1.0
2016-05-05,2.8416,2.8416,2.7737,2.7737,2.6242,5472663.0,0.0,1.0
2016-05-06,2.7737,2.8125,2.764,2.7931,2.6425,4362051.0,0.0,1.0
2016-05-09,2.7737,2.8028,2.7737,2.7834,2.6333,2504265.0,0.0,1.0
2016-05-10,2.7931,2.8028,2.7737,2.7834,2.6333,2753327.0,0.0,1.0
2016-05-11,2.7834,2.8125,2.7689,2.7931,2.6425,3606255.0,0.0,1.0
2016-05-12,2.7834,2.8125,2.764,2.7931,2.6425,2117674.0,0.0,1.0
2016-05-13,2.7931,2.8125,2.7737,2.7737,2.6242,2350421.0,0.0,1.0
2016-05-16,2.7931,2.7931,2.7543,2.7737,2.6242,1557265.0,0.0,1.0
2016-05-17,2.764,2.8125,2.764,2.7834,2.6333,2767604.0,0.0,1.0
2016-05-18,2.7834,2.7931,2.764,2.7737,2.6242,1149396.0,0.0,1.0
2016-05-19,2.7737,2.8707,2.764,2.8416,2.6884,2088772.0,0.0,1.0
2016-05-20,2.8707,2.8901,2.8416,2.861,2.7067,796073.0,0.0,1.0
2016-05-23,2.8416,2.8707,2.8125,2.8416,2.6884,3108765.0,0.0,1.0
2016-05-24,2.8513,2.8998,2.7931,2.8998,2.7434,4212839.0,0.0,1.0
2016-05-25,2.9095,3.0647,2.8901,3.0259,2.8627,1694697.0,0.0,1.0
2016-05-26,3.0065,3.1229,2.9968,3.0743,2.9086,1044059.0,0.0,1.0
2016-05-27,3.0356,3.084,2.9968,3.0162,2.8535,821518.0,0.0,1.0
2016-05-30,3.0162,3.084,3.0065,3.0453,2.8811,517075.0,0.0,1.0
2016-05-31,3.0356,3.0453,2.9774,3.0356,2.8719,840813.0,0.0,1.0
2016-06-01,3.0065,3.0259,2.9774,3.0065,2.8444,1386166.0,0.0,1.0
2016-06-02,3.0259,3.0259,2.958,2.958,2.7985,848179.0,0.0,1.0
2016-06-03,2.9677,2.9774,2.9192,2.9483,2.7893,537074.0,0.0,1.0
2016-06-06,2.9386,3.0065,2.9289,2.9386,2.7801,336565.0,0.0,1.0
2016-06-07,2.958,2.9774,2.9386,2.9677,2.8077,722119.0,0.0,1.0
2016-06-08,3.0259,3.055,3.0162,3.0356,2.8719,1792512.0,0.0,1.0
2016-06-09,3.0259,3.084,3.0259,3.0647,2.8994,936650.0,0.0,1.0
2016-06-10,3.055,3.0647,3.0259,3.0453,2.8811,637598.0,0.0,1.0
2016-06-14,3.0065,3.0501,2.9968,3.0162,2.8535,1207546.0,0.0,1.0
2016-06-15,3.0065,3.055,2.958,2.9774,2.8168,679079.0,0.0,1.0
