date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2015-05-18,2.13,2.22,2.01,2.05,1.8148,160185286.0,0.0,1.0
2015-05-19,2.17,2.34,2.16,2.33,2.0626,192730310.0,0.0,1.0
2015-05-20,2.35,2.37,2.25,2.36,2.0892,59085150.0,0.0,1.0
2015-05-21,2.35,2.45,2.34,2.37,2.0981,54016569.0,0.0,1.0
2015-05-22,2.36,2.39,2.3,2.31,2.0449,38646976.0,0.0,1.0
2015-05-25,2.3,2.345,2.29,2.32,2.0538,23741251.0,0.0,1.0
2015-05-26,2.32,2.33,2.3,2.3,2.0361,24299724.0,0.0,1.0
2015-05-27,2.26,2.28,2.24,2.25,1.9918,52014234.0,0.0,1.0
2015-05-28,2.2,2.21,2.17,2.18,1.9299,61783716.0,0.0,1.0
2015-05-29,2.13,2.2,2.13,2.19,1.9387,69019494.0,0.0,1.0
2015-06-01,2.16,2.18,2.15,2.16,1.9122,25449622.0,0.0,1.0
2015-06-02,2.17,2.19,2.14,2.14,1.8944,37804164.0,0.0,1.0
2015-06-03,2.15,2.17,2.14,2.15,1.9033,54544136.0,0.0,1.0
2015-06-04,2.14,2.17,2.14,2.15,1.9033,30359403.0,0.0,1.0
2015-06-05,2.14,2.15,2.12,2.14,1.8944,23057508.0,0.0,1.0
2015-06-09,2.09,2.11,2.08,2.09,1.8502,31269446.0,0.0,1.0
2015-06-10,2.09,2.12,2.08,2.1,1.859,27370699.0,0.0,1.0
2015-06-11,2.12,2.14,2.11,2.13,1.8856,32285710.0,0.0,1.0
2015-06-12,2.1,2.11,2.1,2.1,1.859,22504161.0,0.0,1.0
2015-06-15,2.07,2.1,2.07,2.08,1.8413,20221469.0,0.0,1.0
2015-06-16,2.06,2.09,2.06,2.08,1.8413,26685156.0,0.0,1.0
2015-06-17,2.07,2.08,2.06,2.08,1.8413,24826959.0,0.0,1.0
2015-06-18,2.05,2.065,2.02,2.03,1.7971,36865389.0,0.0,1.0
2015-06-19,2.01,2.02,1.96,1.96,1.7351,67093525.0,0.0,1.0
2015-06-22,1.92,1.925,1.87,1.89,1.6731,40390654.0,0.0,1.0
2015-06-23,1.85,1.905,1.85,1.895,1.6776,34295403.0,0.0,1.0
2015-06-24,1.9,1.975,1.9,1.94,1.7174,40391955.0,0.0,1.0
