date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,0.5785,0.5785,0.5785,0.5785,0.5367,19016.0,0.0,1.0
2000-01-05,0.5785,0.5785,0.5522,0.5522,0.5123,58000.0,0.0,1.0
2000-01-06,0.5785,0.5785,0.5785,0.5785,0.5367,42242.0,0.0,1.0
2000-01-07,0.5522,0.631,0.5522,0.6047,0.5611,206616.0,0.0,1.0
2000-01-10,0.631,0.631,0.631,0.631,0.5855,191019.0,0.0,1.0
2000-01-11,0.6047,0.631,0.6047,0.631,0.5855,376999.0,0.0,1.0
2000-01-12,0.6573,0.6836,0.631,0.631,0.5855,214863.0,0.0,1.0
2000-01-13,0.6836,0.6836,0.6573,0.6573,0.6099,116751.0,0.0,1.0
2000-01-14,0.6573,0.6836,0.631,0.6573,0.6099,109367.0,0.0,1.0
2000-01-17,0.631,0.6836,0.631,0.631,0.5855,141596.0,0.0,1.0
2000-01-18,0.631,0.7099,0.631,0.7099,0.6587,285583.0,0.0,1.0
2000-01-19,0.7099,0.7625,0.7099,0.7362,0.6831,756871.0,0.0,1.0
2000-01-20,0.7888,0.8151,0.7625,0.7888,0.7318,436439.0,0.0,1.0
2000-01-21,0.7888,0.7888,0.7625,0.7625,0.7075,310493.0,0.0,1.0
2000-01-24,0.7625,0.7625,0.7362,0.7362,0.6831,77872.0,0.0,1.0
2000-01-25,0.7362,0.7362,0.7099,0.7099,0.6587,95538.0,0.0,1.0
2000-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-01-27,0.7099,0.7099,0.6573,0.6573,0.6099,32803.0,0.0,1.0
2000-01-28,0.6836,0.7099,0.6573,0.6836,0.6343,88932.0,0.0,1.0
2000-01-31,0.7099,0.7099,0.6573,0.7099,0.6587,76860.0,0.0,1.0
2000-02-01,0.7362,0.7362,0.7099,0.7099,0.6587,172859.0,0.0,1.0
2000-02-02,0.6836,0.7099,0.6836,0.7099,0.6587,48016.0,0.0,1.0
2000-02-03,0.7099,0.7099,0.6573,0.7099,0.6587,147657.0,0.0,1.0
2000-02-04,0.7099,0.7099,0.6836,0.6836,0.6343,84630.0,0.0,1.0
2000-02-07,0.7625,0.7888,0.7362,0.7362,0.6831,542020.0,0.0,1.0
2000-02-08,0.7625,0.7625,0.7099,0.7362,0.6831,115078.0,0.0,1.0
2000-02-09,0.7362,0.7362,0.7099,0.7362,0.6831,98636.0,0.0,1.0
2000-02-10,0.7362,0.7362,0.7099,0.7362,0.6831,63231.0,0.0,1.0
2000-02-11,0.7362,0.7362,0.7099,0.7099,0.6587,84796.0,0.0,1.0
2000-02-14,0.7362,0.7625,0.7362,0.7362,0.6831,98885.0,0.0,1.0
2000-02-15,0.7362,0.7362,0.7099,0.7099,0.6587,117597.0,0.0,1.0
2000-02-16,0.6836,0.7362,0.6836,0.7362,0.6831,103297.0,0.0,1.0
2000-02-17,0.7362,0.7362,0.7099,0.7099,0.6587,81986.0,0.0,1.0
2000-02-18,0.6836,0.7099,0.6836,0.7099,0.6587,53626.0,0.0,1.0
2000-02-21,0.7099,0.7099,0.6836,0.7099,0.6587,118708.0,0.0,1.0
2000-02-22,0.7099,0.7362,0.6836,0.7362,0.6831,284975.0,0.0,1.0
2000-02-23,0.7362,0.7625,0.7099,0.7362,0.6831,123627.0,0.0,1.0
2000-02-24,0.7362,0.7362,0.6836,0.6836,0.6343,98665.0,0.0,1.0
2000-02-25,0.7099,0.7099,0.6836,0.6836,0.6343,80749.0,0.0,1.0
2000-02-28,0.6573,0.6836,0.6573,0.6573,0.6099,82944.0,0.0,1.0
2000-02-29,0.6573,0.7099,0.6573,0.6836,0.6343,33086.0,0.0,1.0
2000-03-01,0.6836,0.6836,0.6836,0.6836,0.6343,34749.0,0.0,1.0
2000-03-02,0.6573,0.6836,0.6573,0.6836,0.6343,20252.0,0.0,1.0
2000-03-03,0.6573,0.6573,0.6047,0.6047,0.5611,60757.0,0.0,1.0
2000-03-06,0.6047,0.6047,0.6047,0.6047,0.5611,23707.0,0.0,1.0
2000-03-07,0.6047,0.6836,0.6047,0.6836,0.6343,83038.0,0.0,1.0
2000-03-08,0.631,0.631,0.6047,0.6047,0.5611,10484.0,0.0,1.0
2000-03-09,0.631,0.631,0.6047,0.6047,0.5611,30711.0,0.0,1.0
2000-03-10,0.6047,0.631,0.6047,0.631,0.5855,186582.0,0.0,1.0
2000-03-13,0.6573,0.6573,0.631,0.631,0.5855,56447.0,0.0,1.0
2000-03-14,0.631,0.631,0.6047,0.6047,0.5611,13439.0,0.0,1.0
2000-03-15,0.631,0.631,0.6047,0.6047,0.5611,49139.0,0.0,1.0
2000-03-16,0.6047,0.631,0.6047,0.631,0.5855,33076.0,0.0,1.0
2000-03-17,0.631,0.631,0.631,0.631,0.5855,46103.0,0.0,1.0
2000-03-20,0.6047,0.631,0.6047,0.6047,0.5611,48731.0,0.0,1.0
2000-03-21,0.631,0.7099,0.631,0.6836,0.6343,291116.0,0.0,1.0
2000-03-22,0.6836,0.7362,0.6836,0.6836,0.6343,141401.0,0.0,1.0
2000-03-23,0.6836,0.7099,0.6573,0.6836,0.6343,98785.0,0.0,1.0
2000-03-24,0.7099,0.7099,0.6573,0.6573,0.6099,73041.0,0.0,1.0
2000-03-27,0.6836,0.6836,0.6573,0.6573,0.6099,60389.0,0.0,1.0
2000-03-28,0.6836,0.7099,0.6836,0.7099,0.6587,177469.0,0.0,1.0
2000-03-29,0.7099,0.7362,0.7099,0.7362,0.6831,132867.0,0.0,1.0
2000-03-30,0.7362,0.7362,0.6836,0.6836,0.6343,97579.0,0.0,1.0
2000-03-31,0.6836,0.7099,0.6836,0.6836,0.6343,59068.0,0.0,1.0
2000-04-03,0.7099,0.7099,0.7099,0.7099,0.6587,66367.0,0.0,1.0
2000-04-04,0.6836,0.7362,0.6573,0.6836,0.6343,193315.0,0.0,1.0
2000-04-05,0.6836,0.6836,0.6573,0.6836,0.6343,96501.0,0.0,1.0
2000-04-06,0.6836,0.7362,0.6836,0.7362,0.6831,111626.0,0.0,1.0
2000-04-07,0.7362,0.7362,0.7099,0.7099,0.6587,19967.0,0.0,1.0
2000-04-10,0.7362,0.7362,0.6836,0.7099,0.6587,61205.0,0.0,1.0
2000-04-11,0.6836,0.6836,0.6836,0.6836,0.6343,18004.0,0.0,1.0
2000-04-12,0.6836,0.6836,0.6573,0.6573,0.6099,65250.0,0.0,1.0
2000-04-13,0.631,0.631,0.631,0.631,0.5855,72680.0,0.0,1.0
2000-04-14,0.6573,0.6836,0.6573,0.6836,0.6343,57049.0,0.0,1.0
2000-04-17,0.6047,0.6047,0.5785,0.5785,0.5367,76826.0,0.0,1.0
2000-04-18,0.631,0.631,0.6047,0.6047,0.5611,50584.0,0.0,1.0
2000-04-19,0.631,0.631,0.5785,0.5785,0.5367,53956.0,0.0,1.0
2000-04-20,0.5785,0.5785,0.5785,0.5785,0.5367,28525.0,0.0,1.0
2000-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-04-26,0.6047,0.6047,0.5785,0.5785,0.5367,8177.0,0.0,1.0
2000-04-27,0.6047,0.6047,0.5785,0.5785,0.5367,16154.0,0.0,1.0
2000-04-28,0.5785,0.5785,0.5785,0.5785,0.5367,1331.0,0.0,1.0
2000-05-01,0.6047,0.6047,0.5785,0.5785,0.5367,23048.0,0.0,1.0
2000-05-02,0.5785,0.5785,0.5785,0.5785,0.5367,3803.0,0.0,1.0
2000-05-03,0.6047,0.6573,0.6047,0.631,0.5855,90328.0,0.0,1.0
2000-05-04,0.6573,0.6573,0.6573,0.6573,0.6099,55528.0,0.0,1.0
2000-05-05,0.631,0.6573,0.6047,0.6047,0.5611,25847.0,0.0,1.0
2000-05-08,0.6047,0.631,0.6047,0.631,0.5855,3898.0,0.0,1.0
2000-05-09,0.6573,0.7099,0.631,0.6573,0.6099,290855.0,0.0,1.0
2000-05-10,0.631,0.6573,0.631,0.6573,0.6099,91279.0,0.0,1.0
