date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2010-12-13,2.63,2.69,2.62,2.66,1.6328,101747000.0,0.0,1.0
2010-12-14,2.66,2.66,2.58,2.62,1.6083,57484500.0,0.0,1.0
2010-12-15,2.64,2.65,2.61,2.65,1.6267,38329700.0,0.0,1.0
2010-12-16,2.63,2.65,2.62,2.63,1.6144,24554849.0,0.0,1.0
2010-12-17,2.63,2.69,2.61,2.69,1.6513,68944395.0,0.0,1.0
2010-12-20,2.69,2.69,2.64,2.67,1.639,13142602.0,0.0,1.0
2010-12-21,2.67,2.67,2.63,2.63,1.6144,16292507.0,0.0,1.0
2010-12-22,2.63,2.64,2.58,2.6,1.596,21441924.0,0.0,1.0
2010-12-23,2.58,2.61,2.57,2.61,1.6021,23759761.0,0.0,1.0
2010-12-24,2.59,2.6,2.57,2.58,1.5837,4942026.0,0.0,1.0
2010-12-29,2.59,2.61,2.56,2.58,1.5837,17497928.0,0.0,1.0
2010-12-30,2.57,2.59,2.55,2.56,1.5715,11196976.0,0.0,1.0
2010-12-31,2.57,2.58,2.56,2.57,1.5776,6923600.0,0.0,1.0
2011-01-04,2.6,2.6,2.52,2.54,1.5592,18580863.0,0.0,1.0
2011-01-05,2.56,2.61,2.54,2.57,1.5776,85575745.0,0.0,1.0
2011-01-06,2.57,2.57,2.51,2.53,1.553,57558145.0,0.0,1.0
2011-01-07,2.51,2.54,2.49,2.53,1.553,19566462.0,0.0,1.0
2011-01-10,2.54,2.6,2.53,2.6,1.596,26155845.0,0.0,1.0
2011-01-11,2.58,2.62,2.56,2.61,1.6021,14966634.0,0.0,1.0
2011-01-12,2.61,2.62,2.59,2.61,1.6021,12327792.0,0.0,1.0
2011-01-13,2.62,2.68,2.62,2.68,1.6451,21867453.0,0.0,1.0
2011-01-14,2.68,2.69,2.66,2.67,1.639,14296230.0,0.0,1.0
2011-01-17,2.66,2.68,2.63,2.68,1.6451,15167698.0,0.0,1.0
2011-01-18,2.68,2.7,2.67,2.69,1.6513,18223556.0,0.0,1.0
2011-01-19,2.68,2.68,2.65,2.66,1.6328,16710523.0,0.0,1.0
2011-01-20,2.67,2.67,2.62,2.64,1.6206,10013179.0,0.0,1.0
2011-01-21,2.64,2.66,2.6,2.63,1.6144,12521875.0,0.0,1.0
2011-01-24,2.63,2.64,2.58,2.59,1.5899,19960855.0,0.0,1.0
2011-01-25,2.62,2.66,2.59,2.65,1.6267,18754700.0,0.0,1.0
2011-01-27,2.67,2.68,2.65,2.68,1.6451,17849355.0,0.0,1.0
2011-01-28,2.71,2.71,2.66,2.68,1.6451,16535727.0,0.0,1.0
2011-01-31,2.67,2.68,2.64,2.65,1.6267,9367914.0,0.0,1.0
2011-02-01,2.64,2.67,2.59,2.6,1.596,8366922.0,0.0,1.0
2011-02-02,2.64,2.65,2.61,2.64,1.6206,6363502.0,0.0,1.0
2011-02-03,2.65,2.69,2.64,2.68,1.6451,11472016.0,0.0,1.0
2011-02-04,2.68,2.7,2.66,2.66,1.6328,21764943.0,0.0,1.0
2011-02-07,2.67,2.68,2.63,2.65,1.6267,10342039.0,0.0,1.0
2011-02-08,2.66,2.68,2.64,2.68,1.6479,10484652.0,0.0,1.0
2011-02-09,2.68,2.68,2.66,2.67,1.6417,31393944.0,0.0,1.0
2011-02-10,2.66,2.7,2.66,2.69,1.654,21909427.0,0.0,1.0
2011-02-11,2.69,2.71,2.68,2.7,1.6602,10279266.0,0.0,1.0
2011-02-14,2.7,2.75,2.7,2.75,1.6909,25638964.0,0.0,1.0
2011-02-15,2.74,2.75,2.7,2.72,1.6724,19081650.0,0.0,1.0
2011-02-16,2.72,2.74,2.71,2.72,1.6724,9449708.0,0.0,1.0
2011-02-17,2.73,2.74,2.71,2.72,1.6724,7604808.0,0.0,1.0
2011-02-18,2.72,2.72,2.67,2.69,1.654,10500059.0,0.0,1.0
2011-02-21,2.68,2.69,2.66,2.68,1.6479,20878229.0,0.0,1.0
