date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2012-11-26,1.405,1.445,1.405,1.44,0.9515,56136906.0,0.0,1.0
2012-11-27,1.445,1.4675,1.445,1.445,0.9548,11021425.0,0.0,1.0
2012-11-28,1.445,1.45,1.43,1.44,0.9515,10071588.0,0.0,1.0
2012-11-29,1.44,1.445,1.435,1.435,0.9482,9255544.0,0.0,1.0
2012-11-30,1.445,1.45,1.435,1.45,0.9581,7366695.0,0.0,1.0
2012-12-03,1.45,1.46,1.44,1.445,0.9548,6316206.0,0.0,1.0
2012-12-04,1.45,1.52,1.45,1.5,0.9912,5741770.0,0.0,1.0
2012-12-05,1.495,1.53,1.495,1.53,1.011,7397411.0,0.0,1.0
2012-12-06,1.515,1.53,1.51,1.525,1.0077,3996122.0,0.0,1.0
2012-12-07,1.525,1.53,1.495,1.52,1.0044,8483434.0,0.0,1.0
2012-12-10,1.495,1.54,1.495,1.54,1.0176,7376734.0,0.0,1.0
2012-12-11,1.54,1.55,1.53,1.535,1.0143,5106810.0,0.0,1.0
2012-12-12,1.525,1.535,1.51,1.52,1.0044,9700595.0,0.0,1.0
2012-12-13,1.515,1.515,1.49,1.495,0.9879,10372076.0,0.0,1.0
2012-12-14,1.485,1.505,1.485,1.495,0.9879,7168482.0,0.0,1.0
2012-12-17,1.495,1.515,1.49,1.515,1.0011,3135593.0,0.0,1.0
2012-12-18,1.51,1.53,1.505,1.515,1.0011,3224887.0,0.0,1.0
2012-12-19,1.5,1.54,1.5,1.54,1.0176,5094774.0,0.0,1.0
2012-12-20,1.54,1.54,1.5,1.51,0.9978,14063896.0,0.0,1.0
2012-12-21,1.51,1.56,1.5,1.55,1.0242,46692175.0,0.0,1.0
2012-12-24,1.54,1.55,1.525,1.53,1.011,1433120.0,0.0,1.0
2012-12-27,1.525,1.535,1.515,1.525,1.0077,1590195.0,0.0,1.0
2012-12-28,1.52,1.535,1.51,1.52,1.0044,2806509.0,0.0,1.0
2012-12-31,1.51,1.525,1.5,1.5,0.9912,2197798.0,0.0,1.0
2013-01-02,1.51,1.52,1.505,1.51,0.9978,2584143.0,0.0,1.0
2013-01-03,1.515,1.52,1.505,1.515,1.0011,2835362.0,0.0,1.0
2013-01-04,1.52,1.52,1.505,1.505,0.9945,1948746.0,0.0,1.0
2013-01-07,1.515,1.52,1.51,1.52,1.0044,3081834.0,0.0,1.0
2013-01-08,1.52,1.53,1.51,1.52,1.0044,4768861.0,0.0,1.0
2013-01-09,1.52,1.53,1.51,1.51,0.9978,2639197.0,0.0,1.0
2013-01-10,1.52,1.525,1.51,1.525,1.0077,1589114.0,0.0,1.0
2013-01-11,1.525,1.53,1.52,1.525,1.0077,3833257.0,0.0,1.0
2013-01-14,1.52,1.535,1.52,1.53,1.011,2700599.0,0.0,1.0
2013-01-15,1.53,1.56,1.53,1.55,1.0242,3146450.0,0.0,1.0
2013-01-16,1.55,1.57,1.545,1.57,1.0374,4622005.0,0.0,1.0
2013-01-17,1.58,1.585,1.57,1.58,1.044,5154423.0,0.0,1.0
2013-01-18,1.57,1.59,1.565,1.585,1.0473,3447455.0,0.0,1.0
2013-01-21,1.58,1.595,1.57,1.59,1.0506,2533041.0,0.0,1.0
2013-01-22,1.58,1.585,1.55,1.555,1.0275,3780973.0,0.0,1.0
2013-01-23,1.555,1.56,1.55,1.555,1.0275,3285912.0,0.0,1.0
2013-01-24,1.555,1.58,1.555,1.57,1.0374,2281266.0,0.0,1.0
2013-01-25,1.58,1.595,1.565,1.595,1.0539,5101947.0,0.0,1.0
2013-01-29,1.59,1.615,1.58,1.615,1.0672,5936312.0,0.0,1.0
2013-01-30,1.615,1.665,1.605,1.665,1.1002,3617314.0,0.0,1.0
2013-01-31,1.65,1.665,1.615,1.63,1.0771,5896417.0,0.0,1.0
2013-02-01,1.62,1.635,1.61,1.63,1.0771,2210733.0,0.0,1.0
2013-02-04,1.64,1.64,1.605,1.605,1.0605,3299708.0,0.0,1.0
2013-02-05,1.6,1.61,1.59,1.6,1.0572,3580434.0,0.0,1.0
2013-02-06,1.6,1.61,1.595,1.61,1.0638,3181075.0,0.0,1.0
2013-02-07,1.6,1.635,1.595,1.635,1.0804,4313479.0,0.0,1.0
2013-02-08,1.625,1.645,1.62,1.645,1.087,4813673.0,0.0,1.0
2013-02-11,1.63,1.64,1.62,1.625,1.0738,3575811.0,0.0,1.0
2013-02-12,1.62,1.65,1.62,1.65,1.0903,3059867.0,0.0,1.0
2013-02-13,1.645,1.645,1.63,1.635,1.0804,3446351.0,0.0,1.0
2013-02-14,1.64,1.665,1.63,1.635,1.0804,4405814.0,0.0,1.0
2013-02-15,1.64,1.655,1.625,1.63,1.0771,3070624.0,0.0,1.0
2013-02-18,1.635,1.64,1.615,1.62,1.0705,2030273.0,0.0,1.0
2013-02-19,1.62,1.62,1.605,1.61,1.0638,2670525.0,0.0,1.0
2013-02-20,1.61,1.64,1.605,1.625,1.0738,2070231.0,0.0,1.0
2013-02-21,1.64,1.64,1.6,1.6,1.0572,1880709.0,0.0,1.0
2013-02-22,1.615,1.62,1.605,1.615,1.0672,1609820.0,0.0,1.0
2013-02-25,1.615,1.635,1.61,1.63,1.0771,1763353.0,0.0,1.0
2013-02-26,1.635,1.65,1.61,1.65,1.0903,3197665.0,0.0,1.0
2013-02-27,1.64,1.655,1.63,1.655,1.0936,2619117.0,0.0,1.0
2013-02-28,1.65,1.655,1.635,1.65,1.0903,5747717.0,0.0,1.0
2013-03-01,1.65,1.65,1.605,1.605,1.0605,1923677.0,0.0,1.0
2013-03-04,1.61,1.63,1.605,1.625,1.0738,1515262.0,0.0,1.0
2013-03-05,1.625,1.63,1.6,1.605,1.0605,2756497.0,0.0,1.0
2013-03-06,1.605,1.62,1.6,1.605,1.0605,2632800.0,0.0,1.0
2013-03-07,1.605,1.62,1.6,1.605,1.0605,1854327.0,0.0,1.0
2013-03-08,1.61,1.61,1.6,1.6,1.0572,2017120.0,0.0,1.0
2013-03-11,1.6,1.63,1.6,1.63,1.0771,1905275.0,0.0,1.0
2013-03-12,1.625,1.635,1.615,1.615,1.0672,3762093.0,0.0,1.0
2013-03-13,1.625,1.625,1.615,1.62,1.0705,1625227.0,0.0,1.0
2013-03-14,1.62,1.635,1.615,1.635,1.0804,1702189.0,0.0,1.0
2013-03-15,1.63,1.71,1.63,1.71,1.1299,6006742.0,0.0,1.0
2013-03-18,1.66,1.695,1.66,1.68,1.1101,2958436.0,0.0,1.0
2013-03-19,1.675,1.705,1.665,1.665,1.1002,2054968.0,0.0,1.0
2013-03-20,1.66,1.67,1.615,1.615,1.0672,3818561.0,0.0,1.0
2013-03-21,1.615,1.65,1.615,1.65,1.0903,3409232.0,0.0,1.0
2013-03-22,1.64,1.65,1.625,1.65,1.0903,1070182.0,0.0,1.0
2013-03-25,1.63,1.685,1.63,1.685,1.1134,1461264.0,0.0,1.0
2013-03-26,1.65,1.675,1.65,1.665,1.1002,2337472.0,0.0,1.0
2013-03-27,1.66,1.66,1.635,1.645,1.087,2066706.0,0.0,1.0
2013-03-28,1.64,1.655,1.64,1.655,1.0936,3267436.0,0.0,1.0
2013-04-02,1.65,1.67,1.64,1.665,1.1002,1423430.0,0.0,1.0
2013-04-03,1.645,1.665,1.64,1.65,1.0903,1637503.0,0.0,1.0
2013-04-04,1.64,1.655,1.64,1.65,1.0903,5653657.0,0.0,1.0
2013-04-05,1.645,1.65,1.64,1.645,1.087,1649481.0,0.0,1.0
2013-04-08,1.64,1.65,1.63,1.645,1.087,1456631.0,0.0,1.0
2013-04-09,1.64,1.642,1.615,1.62,1.0705,3910010.0,0.0,1.0
2013-04-10,1.615,1.62,1.605,1.605,1.0605,1591696.0,0.0,1.0
2013-04-11,1.61,1.6125,1.595,1.6,1.0572,4872527.0,0.0,1.0
2013-04-12,1.605,1.635,1.595,1.635,1.0804,1405005.0,0.0,1.0
2013-04-15,1.64,1.65,1.63,1.64,1.0837,1427668.0,0.0,1.0
2013-04-16,1.635,1.645,1.635,1.64,1.0837,3033341.0,0.0,1.0
2013-04-17,1.645,1.65,1.635,1.645,1.087,16594405.0,0.0,1.0
2013-04-18,1.64,1.645,1.635,1.64,1.0837,2098406.0,0.0,1.0
2013-04-19,1.64,1.655,1.635,1.65,1.0903,2768847.0,0.0,1.0
2013-04-22,1.65,1.65,1.64,1.645,1.087,836978.0,0.0,1.0
2013-04-23,1.645,1.66,1.635,1.635,1.0804,1948003.0,0.0,1.0
2013-04-24,1.635,1.665,1.63,1.65,1.0903,2254499.0,0.0,1.0
2013-04-26,1.645,1.655,1.635,1.635,1.0804,1398806.0,0.0,1.0
2013-04-29,1.63,1.645,1.625,1.64,1.0837,1123142.0,0.0,1.0
2013-04-30,1.64,1.645,1.62,1.62,1.0705,4671483.0,0.0,1.0
2013-05-01,1.625,1.635,1.6,1.6,1.0572,2260759.0,0.0,1.0
2013-05-02,1.605,1.67,1.6,1.67,1.1035,4805361.0,0.0,1.0
2013-05-03,1.68,1.745,1.67,1.745,1.1531,4559177.0,0.0,1.0
2013-05-06,1.76,1.78,1.755,1.775,1.1729,2497650.0,0.0,1.0
2013-05-07,1.78,1.81,1.765,1.79,1.1828,2733530.0,0.0,1.0
2013-05-08,1.79,1.85,1.79,1.83,1.2092,3791300.0,0.0,1.0
2013-05-09,1.82,1.835,1.775,1.775,1.1729,3001222.0,0.0,1.0
2013-05-10,1.77,1.81,1.77,1.785,1.1795,1178669.0,0.0,1.0
2013-05-13,1.79,1.8,1.75,1.79,1.1828,1174652.0,0.0,1.0
2013-05-14,1.78,1.79,1.76,1.77,1.1696,946062.0,0.0,1.0
2013-05-15,1.765,1.8,1.765,1.79,1.1828,1390265.0,0.0,1.0
2013-05-16,1.78,1.795,1.755,1.76,1.163,2065795.0,0.0,1.0
2013-05-17,1.755,1.78,1.75,1.765,1.1663,1142582.0,0.0,1.0
2013-05-20,1.765,1.78,1.76,1.76,1.163,1316142.0,0.0,1.0
2013-05-21,1.76,1.81,1.75,1.8,1.1894,2238430.0,0.0,1.0
