date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2014-08-12,1.7853,1.9501,1.7853,1.9226,1.7674,2942587.0,0.0,1.0
2014-08-13,1.886,1.9226,1.8585,1.9226,1.7674,949260.0,0.0,1.0
2014-08-14,1.9318,1.9318,1.8768,1.9226,1.7674,270872.0,0.0,1.0
2014-08-15,1.9226,1.9409,1.9134,1.9318,1.7758,391696.0,0.0,1.0
2014-08-18,1.9318,1.9318,1.8951,1.9043,1.7506,61344.0,0.0,1.0
2014-08-19,1.8951,1.8951,1.8677,1.886,1.7337,124703.0,0.0,1.0
2014-08-20,1.886,1.886,1.831,1.831,1.6832,167394.0,0.0,1.0
2014-08-21,1.8127,1.8494,1.8036,1.8402,1.6916,170058.0,0.0,1.0
2014-08-22,1.8677,1.8677,1.831,1.8494,1.7001,77604.0,0.0,1.0
2014-08-25,1.8402,1.8402,1.831,1.831,1.6832,239229.0,0.0,1.0
2014-08-26,1.831,1.8402,1.831,1.831,1.6832,81981.0,0.0,1.0
2014-08-27,1.831,1.831,1.8219,1.8219,1.6748,529864.0,0.0,1.0
2014-08-28,1.8219,1.831,1.8219,1.831,1.6832,145813.0,0.0,1.0
2014-08-29,1.831,1.8585,1.831,1.8585,1.7085,569097.0,0.0,1.0
2014-09-01,1.8585,1.8768,1.8585,1.8768,1.7253,419007.0,0.0,1.0
2014-09-02,1.8768,1.9318,1.8768,1.9318,1.7758,516741.0,0.0,1.0
2014-09-03,1.9318,1.9775,1.9318,1.9684,1.8095,409125.0,0.0,1.0
2014-09-04,1.9409,1.9684,1.9409,1.9409,1.7842,92967.0,0.0,1.0
2014-09-05,1.9592,1.9684,1.9501,1.9684,1.8095,65356.0,0.0,1.0
2014-09-08,1.9684,1.9684,1.9501,1.9592,1.8011,162918.0,0.0,1.0
2014-09-09,1.9409,1.9501,1.9226,1.9501,1.7926,244065.0,0.0,1.0
2014-09-10,1.9501,1.9501,1.9226,1.9318,1.7758,69592.0,0.0,1.0
2014-09-11,1.9134,1.9226,1.9134,1.9226,1.7674,49783.0,0.0,1.0
2014-09-12,1.9226,1.9226,1.9226,1.9226,1.7674,49765.0,0.0,1.0
2014-09-15,1.9226,1.9318,1.9134,1.9318,1.7758,58607.0,0.0,1.0
2014-09-16,1.9226,1.9318,1.9043,1.9318,1.7758,141055.0,0.0,1.0
2014-09-17,1.9318,1.9318,1.8951,1.9134,1.759,85856.0,0.0,1.0
2014-09-18,1.9043,1.9134,1.9043,1.9134,1.759,24550.0,0.0,1.0
2014-09-19,1.9134,1.9134,1.9043,1.9043,1.7506,17551.0,0.0,1.0
2014-09-22,1.9043,1.9134,1.8768,1.8768,1.7253,189199.0,0.0,1.0
2014-09-23,1.8768,1.886,1.8494,1.886,1.7337,105803.0,0.0,1.0
2014-09-24,1.9043,1.9226,1.8768,1.9226,1.7674,217017.0,0.0,1.0
2014-09-25,1.8951,1.9226,1.8951,1.9226,1.7674,116054.0,0.0,1.0
2014-09-26,1.9043,1.9043,1.9043,1.9043,1.7506,934.0,0.0,1.0
2014-09-29,1.8494,1.8951,1.8494,1.8951,1.7421,69859.0,0.0,1.0
2014-09-30,1.8768,1.8951,1.8677,1.886,1.7337,84203.0,0.0,1.0
2014-10-01,1.8951,1.8951,1.8768,1.8768,1.7253,70528.0,0.0,1.0
2014-10-02,1.8768,1.8768,1.8585,1.8768,1.7253,71245.0,0.0,1.0
2014-10-03,1.8677,1.8677,1.8677,1.8677,1.7169,28.0,0.0,1.0
2014-10-06,1.8402,1.8402,1.8402,1.8402,1.6916,84.0,0.0,1.0
2014-10-07,1.8402,1.886,1.831,1.8494,1.7001,122659.0,0.0,1.0
2014-10-08,1.831,1.8494,1.831,1.8402,1.6916,74946.0,0.0,1.0
2014-10-09,1.831,1.8356,1.8127,1.8265,1.679,92501.0,0.0,1.0
2014-10-10,1.8127,1.8402,1.7944,1.8402,1.6916,54950.0,0.0,1.0
2014-10-13,1.8219,1.831,1.8127,1.831,1.6832,29910.0,0.0,1.0
2014-10-14,1.831,1.831,1.831,1.831,1.6832,10923.0,0.0,1.0
2014-10-15,1.7944,1.8036,1.7944,1.7944,1.6496,26821.0,0.0,1.0
2014-10-16,1.7944,1.7944,1.767,1.7944,1.6496,48707.0,0.0,1.0
2014-10-17,1.7944,1.8127,1.7944,1.7944,1.6496,346826.0,0.0,1.0
2014-10-20,1.7944,1.831,1.7944,1.8219,1.6748,56853.0,0.0,1.0
2014-10-21,1.7944,1.7944,1.7624,1.7944,1.6496,31203.0,0.0,1.0
2014-10-22,1.7944,1.799,1.7441,1.7761,1.6327,85740.0,0.0,1.0
2014-10-23,1.7624,1.7624,1.7074,1.712,1.5738,56205.0,0.0,1.0
2014-10-24,1.7395,1.7715,1.7212,1.7395,1.5991,234232.0,0.0,1.0
2014-10-27,1.7395,1.7418,1.7303,1.7395,1.5991,17428.0,0.0,1.0
2014-10-28,1.7395,1.7487,1.7212,1.7395,1.5991,110750.0,0.0,1.0
2014-10-29,1.7395,1.7853,1.7395,1.7578,1.6159,18339.0,0.0,1.0
2014-10-30,1.7853,1.7944,1.7853,1.7944,1.6496,104603.0,0.0,1.0
2014-10-31,1.7853,1.8036,1.7853,1.8036,1.658,40345.0,0.0,1.0
2014-11-03,1.831,1.831,1.7853,1.7853,1.6412,43447.0,0.0,1.0
2014-11-04,1.7853,1.7853,1.7853,1.7853,1.6412,22006.0,0.0,1.0
2014-11-05,1.7853,1.7853,1.7853,1.7853,1.6412,0.0,0.0,1.0
2014-11-06,1.7624,1.7624,1.7487,1.7578,1.6159,99553.0,0.0,1.0
2014-11-07,1.767,1.8036,1.767,1.8036,1.658,30851.0,0.0,1.0
2014-11-10,1.799,1.8036,1.799,1.8036,1.658,21388.0,0.0,1.0
2014-11-11,1.8036,1.8036,1.8036,1.8036,1.658,0.0,0.0,1.0
2014-11-12,1.7761,1.7944,1.7761,1.7944,1.6496,80680.0,0.0,1.0
2014-11-13,1.7944,1.7944,1.7853,1.7853,1.6412,10175.0,0.0,1.0
2014-11-14,1.7853,1.7853,1.7853,1.7853,1.6412,0.0,0.0,1.0
2014-11-17,1.7853,1.7853,1.7853,1.7853,1.6412,5080.0,0.0,1.0
2014-11-18,1.7807,1.7807,1.7807,1.7807,1.6369,1640981.0,0.0,1.0
2014-11-19,1.7807,1.7807,1.7807,1.7807,1.6369,0.0,0.0,1.0
2014-11-20,1.7807,1.7807,1.7807,1.7807,1.6369,0.0,0.0,1.0
2014-11-21,1.7303,1.7715,1.7303,1.7715,1.6285,240.0,0.0,1.0
2014-11-24,1.7303,1.7807,1.7303,1.767,1.6243,60681.0,0.0,1.0
2014-11-25,1.7303,1.7395,1.7212,1.7395,1.5991,78876.0,0.0,1.0
2014-11-26,1.7074,1.7212,1.7074,1.7212,1.5822,779202.0,0.0,1.0
