date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2013-08-02,1.2979,1.396,1.2979,1.3652,1.1562,40963535.0,0.0,1.0
2013-08-05,1.394,1.394,1.3556,1.3748,1.1643,3816309.0,0.0,1.0
2013-08-06,1.3748,1.3892,1.37,1.3748,1.1643,1377783.0,0.0,1.0
2013-08-07,1.3844,1.4133,1.3748,1.4085,1.1928,2589833.0,0.0,1.0
2013-08-08,1.4325,1.4806,1.394,1.4037,1.1888,1643354.0,0.0,1.0
2013-08-09,1.4229,1.4421,1.3988,1.4037,1.1888,4135162.0,0.0,1.0
2013-08-12,1.394,1.4133,1.3796,1.3844,1.1725,2144719.0,0.0,1.0
2013-08-13,1.3748,1.3796,1.3652,1.3748,1.1643,1232661.0,0.0,1.0
2013-08-14,1.3748,1.394,1.3748,1.3844,1.1725,1207702.0,0.0,1.0
2013-08-15,1.3892,1.3892,1.3652,1.3844,1.1725,987060.0,0.0,1.0
2013-08-16,1.3892,1.3892,1.3652,1.3652,1.1562,577649.0,0.0,1.0
2013-08-19,1.3604,1.3652,1.3075,1.3171,1.1155,1847216.0,0.0,1.0
2013-08-20,1.3267,1.346,1.3171,1.3267,1.1236,1539336.0,0.0,1.0
2013-08-21,1.3316,1.3556,1.3267,1.346,1.1399,3521345.0,0.0,1.0
2013-08-22,1.3508,1.3796,1.346,1.3796,1.1684,1746997.0,0.0,1.0
2013-08-23,1.3748,1.3844,1.346,1.3556,1.1481,332795.0,0.0,1.0
2013-08-26,1.3652,1.3748,1.3556,1.3652,1.1562,235868.0,0.0,1.0
2013-08-27,1.3604,1.3652,1.346,1.3556,1.1481,154838.0,0.0,1.0
2013-08-28,1.3556,1.3556,1.3364,1.3508,1.144,2114036.0,0.0,1.0
2013-08-29,1.3508,1.3604,1.3412,1.3556,1.1481,491904.0,0.0,1.0
2013-08-30,1.346,1.3652,1.3316,1.3316,1.1277,1051334.0,0.0,1.0
2013-09-02,1.346,1.3604,1.346,1.3604,1.1521,1291543.0,0.0,1.0
2013-09-03,1.3556,1.3604,1.3316,1.3556,1.1481,989569.0,0.0,1.0
2013-09-04,1.3652,1.3652,1.3412,1.3556,1.1481,249499.0,0.0,1.0
2013-09-05,1.3556,1.3796,1.3556,1.3556,1.1481,1575733.0,0.0,1.0
2013-09-06,1.3556,1.3556,1.3364,1.346,1.1399,146286.0,0.0,1.0
2013-09-09,1.37,1.3796,1.3508,1.3556,1.1481,756096.0,0.0,1.0
2013-09-10,1.3652,1.3796,1.3556,1.3652,1.1562,348164.0,0.0,1.0
2013-09-11,1.3796,1.3844,1.3556,1.37,1.1603,427457.0,0.0,1.0
2013-09-12,1.3796,1.4229,1.3796,1.4037,1.1888,2152108.0,0.0,1.0
2013-09-13,1.4037,1.4133,1.394,1.4037,1.1888,1263840.0,0.0,1.0
2013-09-16,1.4037,1.4229,1.3988,1.4037,1.1888,213167.0,0.0,1.0
2013-09-17,1.4133,1.4181,1.3988,1.4037,1.1888,291158.0,0.0,1.0
2013-09-18,1.4037,1.4806,1.3988,1.4806,1.2539,704988.0,0.0,1.0
2013-09-19,1.471,1.5286,1.4373,1.4998,1.2702,1077452.0,0.0,1.0
2013-09-20,1.4998,1.5382,1.4421,1.4421,1.2213,577638.0,0.0,1.0
2013-09-23,1.4613,1.519,1.4613,1.4998,1.2702,146092.0,0.0,1.0
2013-09-24,1.519,1.519,1.495,1.4998,1.2702,219797.0,0.0,1.0
2013-09-25,1.4998,1.4998,1.4806,1.4902,1.262,153545.0,0.0,1.0
2013-09-26,1.4902,1.5238,1.4902,1.5142,1.2824,564894.0,0.0,1.0
2013-09-27,1.519,1.5286,1.5094,1.5286,1.2946,165910.0,0.0,1.0
2013-09-30,1.519,1.5286,1.5094,1.5142,1.2824,151785.0,0.0,1.0
2013-10-01,1.5142,1.5767,1.5094,1.5382,1.3028,672505.0,0.0,1.0
2013-10-02,1.5382,1.5863,1.5334,1.5623,1.3231,910844.0,0.0,1.0
2013-10-03,1.5671,1.5767,1.5479,1.5479,1.3109,174811.0,0.0,1.0
2013-10-04,1.5575,1.6248,1.5527,1.5863,1.3435,607382.0,0.0,1.0
2013-10-07,1.6488,1.6536,1.5959,1.6248,1.376,275987.0,0.0,1.0
2013-10-08,1.6344,1.6632,1.6104,1.6344,1.3842,677905.0,0.0,1.0
2013-10-09,1.6344,1.644,1.6056,1.6248,1.376,740095.0,0.0,1.0
2013-10-10,1.6248,1.6344,1.5671,1.5671,1.3272,578752.0,0.0,1.0
2013-10-11,1.6056,1.6152,1.5863,1.6056,1.3598,363604.0,0.0,1.0
2013-10-14,1.6104,1.6344,1.6056,1.6056,1.3598,424834.0,0.0,1.0
2013-10-15,1.6104,1.6344,1.5959,1.6152,1.3679,4175171.0,0.0,1.0
2013-10-16,1.6056,1.6296,1.5382,1.5382,1.3028,485235.0,0.0,1.0
2013-10-17,1.5671,1.5767,1.5575,1.5575,1.319,181705.0,0.0,1.0
