date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2005-04-18,2.1,2.1,2.1,2.1,1.5189,0.0,0.0,1.0
2005-04-19,2.15,2.34,2.13,2.3,1.6635,29358714.0,0.0,1.0
2005-04-20,2.36,2.43,2.32,2.4,1.7358,5848951.0,0.0,1.0
2005-04-21,2.35,2.39,2.34,2.37,1.7141,1889149.0,0.0,1.0
2005-04-22,2.4,2.41,2.38,2.4,1.7358,7256478.0,0.0,1.0
2005-04-26,2.4,2.43,2.38,2.41,1.7431,2426207.0,0.0,1.0
2005-04-27,2.4,2.43,2.38,2.4,1.7358,1295736.0,0.0,1.0
2005-04-28,2.4,2.41,2.39,2.4,1.7358,2005128.0,0.0,1.0
2005-04-29,2.39,2.39,2.32,2.35,1.6997,1008077.0,0.0,1.0
2005-05-02,2.37,2.37,2.33,2.35,1.6997,737861.0,0.0,1.0
2005-05-03,2.32,2.35,2.3,2.32,1.678,1550785.0,0.0,1.0
2005-05-04,2.3,2.31,2.26,2.26,1.6346,2086977.0,0.0,1.0
2005-05-05,2.27,2.27,2.17,2.2,1.5912,6490503.0,0.0,1.0
2005-05-06,2.2,2.25,2.2,2.22,1.6056,778354.0,0.0,1.0
2005-05-09,2.21,2.23,2.2,2.22,1.6056,1193945.0,0.0,1.0
2005-05-10,2.24,2.27,2.22,2.23,1.6129,70103.0,0.0,1.0
2005-05-11,2.22,2.28,2.22,2.27,1.6418,237510.0,0.0,1.0
2005-05-12,2.26,2.28,2.22,2.27,1.6418,53144.0,0.0,1.0
2005-05-13,2.27,2.34,2.27,2.31,1.6707,291497.0,0.0,1.0
2005-05-16,2.31,2.33,2.3,2.31,1.6707,447085.0,0.0,1.0
2005-05-17,2.32,2.35,2.32,2.33,1.6852,96146.0,0.0,1.0
2005-05-18,2.32,2.33,2.3,2.32,1.678,236068.0,0.0,1.0
2005-05-19,2.32,2.37,2.32,2.35,1.6997,235235.0,0.0,1.0
2005-05-20,2.35,2.35,2.25,2.25,1.6273,82301.0,0.0,1.0
2005-05-23,2.3,2.33,2.26,2.31,1.6707,911983.0,0.0,1.0
2005-05-24,2.31,2.37,2.31,2.35,1.6997,124824.0,0.0,1.0
2005-05-25,2.35,2.4,2.33,2.4,1.7358,243895.0,0.0,1.0
2005-05-26,2.4,2.41,2.38,2.4,1.7358,1045551.0,0.0,1.0
2005-05-27,2.4,2.4,2.37,2.37,1.7141,34944.0,0.0,1.0
2005-05-30,2.37,2.37,2.31,2.35,1.6997,674985.0,0.0,1.0
2005-05-31,2.34,2.4,2.32,2.4,1.7358,336600.0,0.0,1.0
2005-06-01,2.38,2.38,2.32,2.35,1.6997,954435.0,0.0,1.0
2005-06-02,2.35,2.4,2.34,2.4,1.7358,561346.0,0.0,1.0
2005-06-03,2.39,2.39,2.35,2.36,1.7069,112809.0,0.0,1.0
2005-06-06,2.37,2.41,2.37,2.41,1.7431,1322892.0,0.0,1.0
2005-06-07,2.41,2.49,2.4,2.46,1.7792,887749.0,0.0,1.0
2005-06-08,2.45,2.47,2.42,2.43,1.7575,332159.0,0.0,1.0
2005-06-09,2.46,2.49,2.44,2.48,1.7937,320732.0,0.0,1.0
2005-06-10,2.47,2.49,2.46,2.49,1.8009,65627.0,0.0,1.0
2005-06-14,2.48,2.49,2.4,2.41,1.7431,243446.0,0.0,1.0
2005-06-15,2.41,2.45,2.37,2.4,1.7358,285027.0,0.0,1.0
2005-06-16,2.4,2.41,2.35,2.4,1.7358,1510976.0,0.0,1.0
2005-06-17,2.4,2.41,2.37,2.4,1.7358,486270.0,0.0,1.0
2005-06-20,2.4,2.4,2.35,2.35,1.6997,101221.0,0.0,1.0
2005-06-21,2.35,2.39,2.35,2.35,1.6997,544785.0,0.0,1.0
2005-06-22,2.38,2.38,2.35,2.35,1.6997,6200.0,0.0,1.0
2005-06-23,2.35,2.4,2.31,2.4,1.7358,63489.0,0.0,1.0
2005-06-24,2.38,2.38,2.35,2.35,1.6997,52399.0,0.0,1.0
