date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2014-03-04,1.72,1.78,1.61,1.61,1.233,3022312.0,0.0,1.0
2014-03-05,1.655,1.7,1.635,1.66,1.2713,2471550.0,0.0,1.0
2014-03-06,1.67,1.75,1.67,1.74,1.3326,651741.0,0.0,1.0
2014-03-07,1.75,1.76,1.73,1.74,1.3326,2489119.0,0.0,1.0
2014-03-10,1.735,1.735,1.695,1.695,1.2981,2185948.0,0.0,1.0
2014-03-11,1.685,1.69,1.647,1.65,1.2637,2819399.0,0.0,1.0
2014-03-12,1.64,1.68,1.64,1.655,1.2675,477127.0,0.0,1.0
2014-03-13,1.675,1.715,1.675,1.715,1.3134,780749.0,0.0,1.0
2014-03-14,1.7,1.79,1.7,1.75,1.3403,1057933.0,0.0,1.0
2014-03-17,1.77,1.77,1.73,1.75,1.3403,42704.0,0.0,1.0
2014-03-18,1.75,1.805,1.745,1.8,1.3785,1315910.0,0.0,1.0
2014-03-19,1.8,1.82,1.8,1.82,1.3939,80375.0,0.0,1.0
2014-03-20,1.8,1.81,1.755,1.81,1.3862,98314.0,0.0,1.0
2014-03-21,1.81,1.81,1.79,1.79,1.3709,71075.0,0.0,1.0
2014-03-24,1.79,1.79,1.745,1.755,1.3441,232933.0,0.0,1.0
2014-03-25,1.76,1.76,1.705,1.73,1.3249,489256.0,0.0,1.0
2014-03-26,1.74,1.74,1.72,1.72,1.3173,356499.0,0.0,1.0
2014-03-27,1.74,1.74,1.73,1.74,1.3326,217348.0,0.0,1.0
2014-03-28,1.74,1.74,1.675,1.675,1.2828,1258553.0,0.0,1.0
2014-03-31,1.7,1.705,1.66,1.66,1.2713,301285.0,0.0,1.0
2014-04-01,1.69,1.7,1.68,1.69,1.2943,922696.0,0.0,1.0
2014-04-02,1.7,1.715,1.69,1.69,1.2943,40902.0,0.0,1.0
2014-04-03,1.7,1.78,1.7,1.75,1.3403,112781.0,0.0,1.0
2014-04-04,1.76,1.795,1.75,1.785,1.3671,176589.0,0.0,1.0
2014-04-07,1.77,1.785,1.75,1.775,1.3594,1157864.0,0.0,1.0
2014-04-08,1.76,1.76,1.7,1.7,1.302,783214.0,0.0,1.0
2014-04-09,1.72,1.74,1.7,1.735,1.3288,43297.0,0.0,1.0
2014-04-10,1.755,1.755,1.72,1.73,1.3249,1235702.0,0.0,1.0
2014-04-11,1.74,1.74,1.69,1.69,1.2943,1869448.0,0.0,1.0
2014-04-14,1.7,1.7,1.685,1.685,1.2905,401715.0,0.0,1.0
2014-04-15,1.7,1.7,1.665,1.67,1.279,53240.0,0.0,1.0
2014-04-16,1.68,1.685,1.65,1.685,1.2905,1112646.0,0.0,1.0
2014-04-17,1.7,1.7,1.695,1.7,1.302,120269.0,0.0,1.0
2014-04-22,1.69,1.7,1.69,1.7,1.302,92020.0,0.0,1.0
2014-04-23,1.7,1.7,1.69,1.69,1.2943,543948.0,0.0,1.0
2014-04-24,1.69,1.745,1.685,1.7,1.302,270962.0,0.0,1.0
2014-04-28,1.685,1.685,1.66,1.665,1.2752,203125.0,0.0,1.0
2014-04-29,1.695,1.7,1.65,1.65,1.2637,1765671.0,0.0,1.0
2014-04-30,1.65,1.675,1.65,1.665,1.2752,13847.0,0.0,1.0
2014-05-01,1.655,1.67,1.62,1.65,1.2637,393284.0,0.0,1.0
2014-05-02,1.67,1.745,1.67,1.745,1.3364,232810.0,0.0,1.0
2014-05-05,1.745,1.745,1.67,1.7,1.302,69491.0,0.0,1.0
2014-05-06,1.67,1.67,1.64,1.66,1.2713,189689.0,0.0,1.0
2014-05-07,1.675,1.7,1.67,1.675,1.2828,315111.0,0.0,1.0
2014-05-08,1.68,1.68,1.665,1.675,1.2828,89425.0,0.0,1.0
2014-05-09,1.68,1.68,1.65,1.65,1.2637,208501.0,0.0,1.0
2014-05-12,1.655,1.69,1.655,1.655,1.2675,2335.0,0.0,1.0
2014-05-13,1.7,1.71,1.7,1.7,1.302,1346318.0,0.0,1.0
2014-05-14,1.735,1.75,1.71,1.71,1.3096,92632.0,0.0,1.0
2014-05-15,1.74,1.77,1.74,1.77,1.3556,245808.0,0.0,1.0
2014-05-16,1.76,1.79,1.76,1.76,1.3479,82099.0,0.0,1.0
2014-05-19,1.76,1.78,1.755,1.76,1.3479,109933.0,0.0,1.0
