date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2007-05-21,109.714,120.519,108.052,116.363,116.0571,98977.0,0.0,1.0
2007-05-22,124.675,140.467,122.182,132.987,132.6374,55540.0,0.0,1.0
2007-05-23,139.636,140.052,133.818,138.805,138.4402,21243.0,0.0,1.0
2007-05-24,138.805,138.805,131.324,131.74,131.3938,35547.0,0.0,1.0
2007-05-25,132.571,141.298,132.156,138.805,138.4402,5607.0,0.0,1.0
2007-05-28,141.298,148.779,141.298,141.714,141.3415,7725.0,0.0,1.0
2007-05-29,142.961,144.623,140.467,141.298,140.9266,4397.0,0.0,1.0
2007-05-30,141.298,143.792,139.636,142.545,142.1703,1378.0,0.0,1.0
2007-05-31,144.623,144.623,141.298,141.298,140.9266,1585.0,0.0,1.0
2007-06-01,141.714,142.13,141.298,141.298,140.9266,2621.0,0.0,1.0
2007-06-04,142.13,142.13,141.298,141.298,140.9266,5033.0,0.0,1.0
2007-06-05,141.298,142.961,141.298,142.13,141.7564,1280.0,0.0,1.0
2007-06-06,141.714,142.13,137.143,137.143,136.7825,11367.0,0.0,1.0
2007-06-07,137.974,137.974,133.818,136.311,135.9527,2667.0,0.0,1.0
2007-06-08,132.987,137.143,132.987,137.143,136.7825,3177.0,0.0,1.0
2007-06-12,139.636,141.298,135.48,141.298,140.9266,1528.0,0.0,1.0
2007-06-13,139.636,141.298,135.48,136.311,135.9527,320.0,0.0,1.0
2007-06-14,137.974,139.636,135.48,138.805,138.4402,417.0,0.0,1.0
2007-06-15,137.974,138.805,136.311,137.974,137.6114,503.0,0.0,1.0
2007-06-18,137.974,137.974,135.48,135.48,135.1239,1783.0,0.0,1.0
2007-06-19,136.311,137.143,136.311,136.311,135.9527,1279.0,0.0,1.0
2007-06-20,137.143,137.974,136.311,137.974,137.6114,932.0,0.0,1.0
2007-06-21,137.974,137.974,137.143,137.143,136.7825,165.0,0.0,1.0
2007-06-22,137.143,141.298,136.311,141.298,140.9266,2785.0,0.0,1.0
2007-06-25,141.298,141.298,138.805,139.636,139.269,253.0,0.0,1.0
2007-06-26,141.298,141.298,138.805,139.636,139.269,1114.0,0.0,1.0
2007-06-27,141.298,141.298,140.052,140.467,140.0978,553.0,0.0,1.0
2007-06-28,141.714,141.714,141.298,141.298,140.9266,355.0,0.0,1.0
2007-06-29,141.298,141.714,140.052,141.714,141.3415,670.0,0.0,1.0
2007-07-02,139.636,141.298,139.221,140.052,139.6839,2349.0,0.0,1.0
2007-07-03,140.052,140.467,138.805,140.467,140.0978,3368.0,0.0,1.0
2007-07-04,140.467,141.298,140.467,141.298,140.9266,2101.0,0.0,1.0
2007-07-05,141.298,141.298,140.467,140.467,140.0978,1329.0,0.0,1.0
2007-07-06,140.467,141.298,140.467,141.298,140.9266,781.0,0.0,1.0
2007-07-09,141.298,141.298,139.636,139.636,139.269,8669.0,0.0,1.0
2007-07-10,140.467,141.298,139.636,141.298,140.9266,692.0,0.0,1.0
2007-07-11,141.298,142.13,140.883,140.883,140.5127,404.0,0.0,1.0
2007-07-12,140.883,141.298,140.467,141.298,140.9266,301.0,0.0,1.0
