date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,5.45,5.45,5.45,5.45,2.5714,0.0,0.0,1.0
2000-01-04,5.459,5.5,5.4,5.4,2.5478,149278.0,0.0,1.0
2000-01-05,5.278,5.3,5.22,5.26,2.4818,91766.0,0.0,1.0
2000-01-06,5.3,5.37,5.3,5.35,2.5242,253854.0,0.0,1.0
2000-01-07,5.392,5.45,5.35,5.45,2.5714,90654.0,0.0,1.0
2000-01-10,5.509,5.61,5.509,5.6,2.6422,188657.0,0.0,1.0
2000-01-11,5.656,5.69,5.63,5.65,2.6658,55919.0,0.0,1.0
2000-01-12,5.65,5.67,5.46,5.5,2.595,114181.0,0.0,1.0
2000-01-13,5.577,5.73,5.577,5.7,2.6894,181227.0,0.0,1.0
2000-01-14,5.7,5.75,5.6,5.6,2.6422,213496.0,0.0,1.0
2000-01-17,5.6,5.6,5.3,5.3,2.5006,248992.0,0.0,1.0
2000-01-18,5.31,5.5,5.31,5.45,2.5714,152522.0,0.0,1.0
2000-01-19,5.521,5.521,5.48,5.5,2.595,217741.0,0.0,1.0
2000-01-20,5.49,5.6,5.49,5.6,2.6422,542547.0,0.0,1.0
2000-01-21,5.6,5.61,5.54,5.6,2.6422,25444.0,0.0,1.0
2000-01-24,5.55,5.56,5.5,5.5,2.595,96209.0,0.0,1.0
2000-01-25,5.5,5.62,5.45,5.62,2.6516,81485.0,0.0,1.0
2000-01-26,5.62,5.62,5.62,5.62,2.6516,0.0,0.0,1.0
2000-01-27,5.62,5.72,5.62,5.65,2.6658,74221.0,0.0,1.0
2000-01-28,5.65,5.68,5.56,5.66,2.6705,77254.0,0.0,1.0
2000-01-31,5.653,5.653,5.56,5.58,2.6328,177032.0,0.0,1.0
2000-02-01,5.6,5.64,5.57,5.64,2.6611,426434.0,0.0,1.0
2000-02-02,5.74,5.75,5.7,5.75,2.713,377233.0,0.0,1.0
2000-02-03,5.75,5.75,5.65,5.65,2.6658,319205.0,0.0,1.0
2000-02-04,5.619,5.65,5.55,5.58,2.6328,102821.0,0.0,1.0
2000-02-07,5.6,5.6,5.4,5.4,2.5478,356333.0,0.0,1.0
2000-02-08,5.4,5.6,5.4,5.57,2.628,31586.0,0.0,1.0
2000-02-09,5.663,5.7,5.513,5.513,2.6011,82793.0,0.0,1.0
2000-02-10,5.592,5.6,5.5,5.5,2.595,246288.0,0.0,1.0
2000-02-11,5.55,5.65,5.55,5.6,2.6422,59480.0,0.0,1.0
2000-02-14,5.55,5.55,5.5,5.55,2.6186,51690.0,0.0,1.0
2000-02-15,5.5,5.53,5.37,5.37,2.5337,44880.0,0.0,1.0
2000-02-16,5.394,5.4,5.3,5.3,2.5006,110822.0,0.0,1.0
2000-02-17,5.26,5.3,5.2,5.2,2.4535,51960.0,0.0,1.0
2000-02-18,5.28,5.3,5.22,5.25,2.4771,43967.0,0.0,1.0
2000-02-21,5.3,5.34,5.25,5.26,2.4818,25150.0,0.0,1.0
2000-02-22,5.32,5.38,5.25,5.35,2.5242,88457.0,0.0,1.0
2000-02-23,5.35,5.38,5.3,5.33,2.5148,55426.0,0.0,1.0
