date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,3.0144,3.0144,2.9662,2.9756,0.734,432799.0,0.0,1.0
2000-01-05,2.9567,2.9662,2.8906,2.9473,0.727,500143.0,0.0,1.0
2000-01-06,2.9662,2.9662,2.919,2.9284,0.7224,425901.0,0.0,1.0
2000-01-07,2.9473,2.9851,2.9473,2.9851,0.7363,312594.0,0.0,1.0
2000-01-10,3.004,3.0323,3.004,3.0323,0.748,1042719.0,0.0,1.0
2000-01-11,3.0229,3.0229,2.9567,2.9662,0.7317,1181485.0,0.0,1.0
2000-01-12,2.9567,2.9945,2.9567,2.9662,0.7317,119428.0,0.0,1.0
2000-01-13,2.9756,2.9756,2.9284,2.9378,0.7247,516371.0,0.0,1.0
2000-01-14,2.9284,2.9756,2.9284,2.97,0.7326,3390170.0,0.0,1.0
2000-01-17,2.9662,2.9662,2.9473,2.9473,0.727,231012.0,0.0,1.0
2000-01-18,2.9567,2.9567,2.9284,2.9473,0.727,998463.0,0.0,1.0
2000-01-19,2.9378,2.9378,2.9095,2.919,0.72,510806.0,0.0,1.0
2000-01-20,2.9473,3.004,2.9473,3.004,0.741,417705.0,0.0,1.0
2000-01-21,2.9851,3.004,2.9756,3.004,0.741,152137.0,0.0,1.0
2000-01-24,3.0229,3.0229,2.9945,3.0229,0.7457,177921.0,0.0,1.0
2000-01-25,3.004,3.0229,2.9756,2.9945,0.7387,137351.0,0.0,1.0
2000-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-01-27,3.0229,3.089,3.0229,3.0701,0.7573,176094.0,0.0,1.0
2000-01-28,3.0512,3.089,3.0229,3.0701,0.7573,295188.0,0.0,1.0
2000-01-31,3.0701,3.1362,3.0229,3.1362,0.7736,417915.0,0.0,1.0
2000-02-01,3.1551,3.1551,3.0606,3.0701,0.7573,674035.0,0.0,1.0
2000-02-02,3.0795,3.1173,3.0701,3.089,0.762,411670.0,0.0,1.0
2000-02-03,3.089,3.1079,3.0795,3.089,0.762,377350.0,0.0,1.0
2000-02-04,3.089,3.1079,3.089,3.0984,0.7643,360149.0,0.0,1.0
2000-02-07,3.0984,3.1457,3.0984,3.1173,0.769,366570.0,0.0,1.0
2000-02-08,3.1126,3.1646,3.0984,3.1551,0.7783,499112.0,0.0,1.0
2000-02-09,3.1079,3.1079,3.0229,3.0323,0.7799,372766.0,0.0,1.0
2000-02-10,3.0323,3.0984,3.0323,3.0814,0.7925,2678245.0,0.0,1.0
2000-02-11,3.0701,3.0701,3.0417,3.0512,0.7847,1706784.0,0.0,1.0
2000-02-14,3.0417,3.0701,3.0229,3.0323,0.7799,1363974.0,0.0,1.0
2000-02-15,3.055,3.055,3.0229,3.0417,0.7823,441252.0,0.0,1.0
2000-02-16,3.0417,3.0512,3.004,3.0417,0.7823,1259745.0,0.0,1.0
2000-02-17,3.0417,3.0701,3.0417,3.0606,0.7872,1735016.0,0.0,1.0
2000-02-18,3.0606,3.0606,3.0323,3.0417,0.7823,844228.0,0.0,1.0
2000-02-21,3.0417,3.089,3.0417,3.0606,0.7872,276088.0,0.0,1.0
2000-02-22,3.0606,3.0701,3.0512,3.0606,0.7872,1719812.0,0.0,1.0
2000-02-23,3.0984,3.1457,3.089,3.0984,0.7969,1297600.0,0.0,1.0
2000-02-24,3.0984,3.1173,3.0701,3.0975,0.7966,2496302.0,0.0,1.0
2000-02-25,3.0984,3.1457,3.089,3.1079,0.7993,1446887.0,0.0,1.0
2000-02-28,3.1041,3.1551,3.1041,3.1173,0.8017,1198263.0,0.0,1.0
2000-02-29,3.1079,3.1835,3.1079,3.1646,0.8139,1091254.0,0.0,1.0
2000-03-01,3.2023,3.2496,3.1646,3.2307,0.8309,139309.0,0.0,1.0
2000-03-02,3.293,3.2968,3.1173,3.1646,0.8139,2290438.0,0.0,1.0
2000-03-03,3.1173,3.1457,3.0606,3.1362,0.8066,850728.0,0.0,1.0
2000-03-06,3.089,3.1362,3.089,3.1362,0.8066,151643.0,0.0,1.0
2000-03-07,3.0975,3.0984,3.0512,3.0701,0.7896,3836732.0,0.0,1.0
2000-03-08,3.0323,3.0701,3.0323,3.0512,0.7847,89421.0,0.0,1.0
2000-03-09,3.0701,3.1362,3.0701,3.1173,0.8017,812226.0,0.0,1.0
2000-03-10,3.0984,3.1646,3.0984,3.1598,0.8127,338977.0,0.0,1.0
2000-03-13,3.1551,3.1929,3.1551,3.174,0.8163,895165.0,0.0,1.0
2000-03-14,3.1938,3.2118,3.1646,3.2118,0.826,587258.0,0.0,1.0
2000-03-15,3.2118,3.2118,3.174,3.1929,0.8212,147579.0,0.0,1.0
2000-03-16,3.1929,3.259,3.1929,3.2118,0.826,399760.0,0.0,1.0
2000-03-17,3.2118,3.2779,3.2023,3.2401,0.8333,1197719.0,0.0,1.0
2000-03-20,3.2118,3.2401,3.1929,3.2401,0.8333,555545.0,0.0,1.0
2000-03-21,3.2411,3.2411,3.2118,3.2307,0.8309,255056.0,0.0,1.0
2000-03-22,3.2212,3.2401,3.2023,3.2307,0.8309,1907544.0,0.0,1.0
2000-03-23,3.2212,3.2401,3.2212,3.2401,0.8333,1826424.0,0.0,1.0
2000-03-24,3.2401,3.2496,3.2307,3.2401,0.8333,470611.0,0.0,1.0
2000-03-27,3.2401,3.259,3.2023,3.2023,0.8236,1076608.0,0.0,1.0
