date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2011-06-03,3.8233,3.8233,3.8233,3.8233,3.067,0.0,0.0,1.0
2011-06-06,4.1579,4.3204,4.1387,4.1674,3.343,5518666.0,0.0,1.0
2011-06-07,4.1483,4.2248,3.9954,4.0623,3.2587,3688378.0,0.0,1.0
2011-06-08,4.1101,4.1865,3.9667,4.0145,3.2203,7788002.0,0.0,1.0
2011-06-09,3.9667,4.0432,3.9667,4.024,3.228,4845113.0,0.0,1.0
2011-06-10,4.0145,4.091,3.9954,4.0049,3.2127,8402789.0,0.0,1.0
2011-06-14,3.8998,4.0432,3.8998,4.0432,3.2434,4865694.0,0.0,1.0
2011-06-15,4.0145,4.0623,3.9571,4.0145,3.2203,3324846.0,0.0,1.0
2011-06-16,3.9189,3.9858,3.852,3.852,3.09,4675926.0,0.0,1.0
2011-06-17,3.852,3.8902,3.7564,3.8329,3.0747,5059457.0,0.0,1.0
2011-06-20,3.8138,3.8711,3.7755,3.8042,3.0517,11746378.0,0.0,1.0
2011-06-21,3.7755,3.8616,3.7755,3.852,3.09,5649385.0,0.0,1.0
2011-06-22,3.8616,3.9667,3.8616,3.9667,3.182,8115812.0,0.0,1.0
2011-06-23,3.9667,4.0145,3.938,3.9858,3.1973,5226582.0,0.0,1.0
2011-06-24,3.9858,4.0049,3.9189,3.9189,3.1437,5421488.0,0.0,1.0
2011-06-27,3.8424,3.8711,3.8424,3.8616,3.0977,2499231.0,0.0,1.0
2011-06-28,3.8329,3.8711,3.8329,3.8424,3.0823,2988285.0,0.0,1.0
2011-06-29,3.8329,3.9093,3.8329,3.8711,3.1053,2645413.0,0.0,1.0
2011-06-30,3.8902,3.9571,3.8711,3.9285,3.1513,2723833.0,0.0,1.0
2011-07-01,3.8807,3.9476,3.8807,3.9285,3.1513,1805997.0,0.0,1.0
2011-07-04,3.9093,3.9667,3.9093,3.9667,3.182,1190309.0,0.0,1.0
2011-07-05,3.9189,3.9571,3.9093,3.9476,3.1667,1671418.0,0.0,1.0
2011-07-06,3.9093,3.9476,3.8807,3.8807,3.113,1973534.0,0.0,1.0
2011-07-07,3.7946,3.9093,3.7564,3.8616,3.0977,5660768.0,0.0,1.0
2011-07-08,3.852,3.8616,3.7755,3.8233,3.067,5564743.0,0.0,1.0
2011-07-11,3.7755,3.8807,3.7755,3.852,3.09,2318477.0,0.0,1.0
2011-07-12,3.7851,3.8711,3.7851,3.8233,3.067,3423236.0,0.0,1.0
2011-07-13,3.7946,3.8424,3.7851,3.8233,3.067,3252316.0,0.0,1.0
2011-07-14,3.7469,3.8042,3.6513,3.7564,3.0133,7281645.0,0.0,1.0
2011-07-15,3.7373,3.8233,3.7182,3.7851,3.0363,3962942.0,0.0,1.0
2011-07-18,3.8042,3.8138,3.766,3.7946,3.044,1280883.0,0.0,1.0
2011-07-19,3.7946,3.9285,3.7946,3.8807,3.113,3502035.0,0.0,1.0
2011-07-20,3.9093,3.9093,3.8807,3.8902,3.1207,5076565.0,0.0,1.0
2011-07-21,3.8807,3.9189,3.8711,3.8902,3.1207,2135301.0,0.0,1.0
2011-07-22,3.8902,3.9189,3.852,3.8902,3.1207,2112150.0,0.0,1.0
2011-07-25,3.9189,3.9189,3.8138,3.8233,3.067,1435340.0,0.0,1.0
2011-07-26,3.8329,3.852,3.7946,3.8042,3.0517,1757047.0,0.0,1.0
2011-07-27,3.7946,3.8233,3.7564,3.7946,3.044,5109353.0,0.0,1.0
2011-07-28,3.7373,3.766,3.7182,3.7277,2.9903,1317570.0,0.0,1.0
2011-07-29,3.7277,3.8807,3.7277,3.8329,3.0747,3655993.0,0.0,1.0
2011-08-02,3.8711,3.9189,3.8711,3.8902,3.1207,4058524.0,0.0,1.0
2011-08-03,3.8233,3.852,3.7946,3.7946,3.044,6276142.0,0.0,1.0
2011-08-04,3.8233,3.852,3.8138,3.8329,3.0747,9356647.0,0.0,1.0
2011-08-05,3.8138,3.8138,3.6513,3.6704,2.9443,4169039.0,0.0,1.0
2011-08-08,3.4697,3.6035,3.4697,3.4888,2.7986,5584653.0,0.0,1.0
2011-08-09,3.3167,3.4697,3.2785,3.441,2.7603,5854344.0,0.0,1.0
2011-08-10,3.2976,3.5079,3.2976,3.4314,2.7526,6188954.0,0.0,1.0
2011-08-11,3.3167,3.4219,3.3167,3.3932,2.722,4553891.0,0.0,1.0
2011-08-12,3.3645,3.4601,3.3645,3.4314,2.7526,2535783.0,0.0,1.0
2011-08-15,3.4123,3.5939,3.4123,3.5939,2.883,2847013.0,0.0,1.0
2011-08-16,3.7086,3.7277,3.5844,3.6608,2.9366,6479489.0,0.0,1.0
2011-08-17,3.6895,3.7182,3.6417,3.7182,2.9827,3455213.0,0.0,1.0
2011-08-18,3.7373,3.7755,3.6417,3.6895,2.9597,4640565.0,0.0,1.0
2011-08-19,3.5175,3.613,3.5175,3.5652,2.86,2649744.0,0.0,1.0
2011-08-22,3.5461,3.6704,3.4314,3.4601,2.7756,2932321.0,0.0,1.0
2011-08-23,3.5652,3.5652,3.4792,3.4983,2.8063,2859058.0,0.0,1.0
2011-08-24,3.5175,3.5461,3.4314,3.5175,2.8216,7998165.0,0.0,1.0
2011-08-25,3.5939,3.6513,3.57,3.613,2.8983,3523411.0,0.0,1.0
2011-08-26,3.613,3.8042,3.5748,3.8042,3.0517,2574244.0,0.0,1.0
2011-08-29,3.8042,3.9093,3.7086,3.8616,3.0977,2629115.0,0.0,1.0
2011-08-30,3.8233,3.852,3.7277,3.7373,2.998,2084569.0,0.0,1.0
2011-08-31,3.7373,3.8138,3.6895,3.7755,3.0287,2392998.0,0.0,1.0
2011-09-01,3.8233,3.8233,3.7373,3.8138,3.0593,2566044.0,0.0,1.0
2011-09-02,3.6991,3.7564,3.6513,3.6895,2.9597,4270426.0,0.0,1.0
2011-09-05,3.7182,3.7277,3.5557,3.613,2.8983,2006787.0,0.0,1.0
2011-09-06,3.4505,3.5939,3.441,3.5652,2.86,3615625.0,0.0,1.0
2011-09-07,3.527,3.6417,3.527,3.6322,2.9136,2544754.0,0.0,1.0
2011-09-08,3.7086,3.7182,3.527,3.5652,2.86,2344511.0,0.0,1.0
2011-09-09,3.5461,3.6035,3.5366,3.5748,2.8676,2231570.0,0.0,1.0
2011-09-12,3.4697,3.527,3.4697,3.4983,2.8063,1514357.0,0.0,1.0
2011-09-13,3.4792,3.5079,3.4697,3.4697,2.7833,1963343.0,0.0,1.0
2011-09-14,3.4601,3.4697,3.3263,3.3454,2.6836,3533120.0,0.0,1.0
2011-09-15,3.4028,3.5079,3.3836,3.4219,2.745,2895585.0,0.0,1.0
2011-09-16,3.6035,3.6895,3.5461,3.6035,2.8906,2211436.0,0.0,1.0
2011-09-19,3.5079,3.5652,3.4983,3.527,2.8293,1181333.0,0.0,1.0
2011-09-20,3.527,3.527,3.4505,3.4505,2.768,1628801.0,0.0,1.0
2011-09-21,3.5366,3.6226,3.4697,3.6035,2.8906,2368676.0,0.0,1.0
2011-09-22,3.4697,3.527,3.441,3.4792,2.791,2464235.0,0.0,1.0
