date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,7.141,7.141,6.9,6.98,3.4009,176638.0,0.0,1.0
2000-01-05,6.841,6.92,6.7,6.9,3.3619,213583.0,0.0,1.0
2000-01-06,6.981,7.0,6.84,6.85,3.3375,652582.0,0.0,1.0
2000-01-07,6.842,6.842,6.6,6.62,3.2255,323705.0,0.0,1.0
2000-01-10,6.654,6.9,6.65,6.75,3.2888,52800.0,0.0,1.0
2000-01-11,6.792,6.792,6.622,6.622,3.2265,474386.0,0.0,1.0
2000-01-12,6.59,6.67,6.59,6.67,3.2498,220561.0,0.0,1.0
2000-01-13,6.64,6.64,6.5,6.5,3.167,103139.0,0.0,1.0
2000-01-14,6.274,6.53,6.24,6.53,3.1816,146375.0,0.0,1.0
2000-01-17,6.74,6.74,6.45,6.46,3.1475,151714.0,0.0,1.0
2000-01-18,6.49,6.49,6.4,6.45,3.1427,806341.0,0.0,1.0
2000-01-19,6.5,6.53,6.42,6.45,3.1427,21948.0,0.0,1.0
2000-01-20,6.45,6.5,6.45,6.48,3.1573,140248.0,0.0,1.0
2000-01-21,6.5,6.55,6.5,6.55,3.1914,58729.0,0.0,1.0
2000-01-24,6.55,6.6,6.53,6.55,3.1914,140659.0,0.0,1.0
2000-01-25,6.58,6.65,6.52,6.65,3.2401,65159.0,0.0,1.0
2000-01-26,6.65,6.65,6.65,6.65,3.2401,0.0,0.0,1.0
2000-01-27,6.7,7.0,6.7,6.9,3.3619,280628.0,0.0,1.0
2000-01-28,6.9,6.95,6.85,6.95,3.3863,146903.0,0.0,1.0
2000-01-31,6.838,6.9,6.8,6.8,3.3132,62496.0,0.0,1.0
2000-02-01,6.79,6.8,6.68,6.68,3.2547,118562.0,0.0,1.0
2000-02-02,6.67,6.8,6.66,6.7,3.2645,98729.0,0.0,1.0
2000-02-03,6.7,6.95,6.7,6.92,3.3717,531684.0,0.0,1.0
2000-02-04,6.92,6.98,6.8,6.9,3.3619,52240.0,0.0,1.0
2000-02-07,6.809,6.95,6.8,6.9,3.3619,169491.0,0.0,1.0
2000-02-08,6.874,7.18,6.81,7.07,3.4447,306721.0,0.0,1.0
2000-02-09,7.26,7.3,7.15,7.15,3.4837,266431.0,0.0,1.0
2000-02-10,7.2,7.2,6.95,7.09,3.4545,135780.0,0.0,1.0
2000-02-11,7.059,7.1,7.0,7.1,3.4594,268290.0,0.0,1.0
2000-02-14,7.0,7.1,6.95,7.0,3.4106,346838.0,0.0,1.0
2000-02-15,7.05,7.17,7.05,7.17,3.4935,156793.0,0.0,1.0
2000-02-16,7.1,7.2,7.0,7.05,3.435,299150.0,0.0,1.0
2000-02-17,7.081,7.09,6.95,7.0,3.4106,353615.0,0.0,1.0
2000-02-18,6.991,7.0,6.9,6.92,3.3717,147379.0,0.0,1.0
2000-02-21,6.935,6.935,6.51,6.9,3.3619,68592.0,0.0,1.0
2000-02-22,6.89,6.89,6.67,6.69,3.2596,49332.0,0.0,1.0
2000-02-23,6.6,6.7,6.6,6.69,3.2596,51773.0,0.0,1.0
2000-02-24,6.6,6.65,6.6,6.65,3.2401,186421.0,0.0,1.0
2000-02-25,6.65,6.65,6.51,6.65,3.2401,226216.0,0.0,1.0
2000-02-28,6.644,6.68,6.6,6.66,3.245,62209.0,0.0,1.0
2000-02-29,6.66,6.95,6.55,6.92,3.3717,213170.0,0.0,1.0
2000-03-01,6.95,7.0,6.95,7.0,3.4106,113618.0,0.0,1.0
2000-03-02,7.04,7.05,6.9,6.97,3.396,118685.0,0.0,1.0
2000-03-03,6.95,6.97,6.55,6.74,3.2839,342140.0,0.0,1.0
2000-03-06,6.74,6.74,6.6,6.65,3.2401,209943.0,0.0,1.0
2000-03-07,6.684,6.684,6.4,6.58,3.206,98234.0,0.0,1.0
2000-03-08,6.337,6.5,6.01,6.4,3.1183,156238.0,0.0,1.0
2000-03-09,6.472,6.472,6.29,6.3,3.0696,115955.0,0.0,1.0
2000-03-10,6.185,6.3,6.15,6.15,2.9965,322924.0,0.0,1.0
2000-03-13,6.1,6.3,6.1,6.15,2.9965,1195174.0,0.0,1.0
2000-03-14,6.141,6.141,5.62,5.77,2.8113,487756.0,0.0,1.0
2000-03-15,5.77,6.0,5.6,5.9,2.8747,244282.0,0.0,1.0
2000-03-16,5.955,6.05,5.9,6.05,2.9478,226994.0,0.0,1.0
2000-03-17,6.143,6.37,6.143,6.24,3.0403,165157.0,0.0,1.0
2000-03-20,6.25,6.3,6.15,6.15,2.9965,189008.0,0.0,1.0
2000-03-21,6.02,6.3,6.0,6.1,2.9867,31975.0,0.0,1.0
2000-03-22,6.1,6.1,6.0,6.02,2.9475,1294798.0,0.0,1.0
2000-03-23,6.02,6.03,5.9,6.0,2.9377,255570.0,0.0,1.0
2000-03-24,5.95,6.1,5.95,6.1,2.9867,76871.0,0.0,1.0
2000-03-27,6.1,6.3,6.0,6.0,2.9377,243816.0,0.0,1.0
2000-03-28,6.0,6.05,5.92,5.99,2.9328,399993.0,0.0,1.0
2000-03-29,6.0,6.1,6.0,6.0,2.9377,566156.0,0.0,1.0
2000-03-30,6.0,6.02,5.95,6.0,2.9377,1226909.0,0.0,1.0
2000-03-31,6.0,6.15,5.95,5.95,2.9132,432145.0,0.0,1.0
2000-04-03,5.882,6.0,5.882,6.0,2.9377,214980.0,0.0,1.0
2000-04-04,5.95,5.95,5.73,5.75,2.8153,363370.0,0.0,1.0
2000-04-05,5.75,5.76,5.65,5.7,2.7908,423625.0,0.0,1.0
2000-04-06,5.7,5.7,5.5,5.55,2.7174,234343.0,0.0,1.0
2000-04-07,5.6,5.61,5.55,5.6,2.7419,232919.0,0.0,1.0
2000-04-10,5.922,5.922,5.53,5.53,2.7076,1170810.0,0.0,1.0
2000-04-11,5.505,5.65,5.505,5.605,2.7443,50506.0,0.0,1.0
2000-04-12,5.59,5.59,5.56,5.57,2.7272,33576.0,0.0,1.0
2000-04-13,5.57,5.57,5.35,5.57,2.7272,524463.0,0.0,1.0
2000-04-14,5.53,5.76,5.53,5.65,2.7664,167827.0,0.0,1.0
2000-04-17,5.552,5.552,5.16,5.3,2.595,228657.0,0.0,1.0
2000-04-18,5.595,5.75,5.59,5.6,2.7419,228235.0,0.0,1.0
2000-04-19,5.7,5.7,5.31,5.555,2.7198,1031944.0,0.0,1.0
2000-04-20,5.46,5.46,5.4,5.41,2.6489,50837.0,0.0,1.0
2000-04-21,5.41,5.41,5.41,5.41,2.6489,0.0,0.0,1.0
2000-04-24,5.41,5.41,5.41,5.41,2.6489,0.0,0.0,1.0
2000-04-25,5.41,5.41,5.41,5.41,2.6489,0.0,0.0,1.0
2000-04-26,5.428,5.59,5.428,5.56,2.7223,22278.0,0.0,1.0
2000-04-27,5.52,5.68,5.5,5.65,2.7664,388690.0,0.0,1.0
2000-04-28,5.6,5.7,5.6,5.7,2.7908,761790.0,0.0,1.0
2000-05-01,5.758,5.82,5.75,5.75,2.8153,126070.0,0.0,1.0
2000-05-02,5.768,5.95,5.69,5.9,2.8888,114467.0,0.0,1.0
2000-05-03,5.91,5.91,5.61,5.8,2.8398,18976.0,0.0,1.0
2000-05-04,5.862,5.862,5.76,5.76,2.8202,73256.0,0.0,1.0
2000-05-05,5.75,5.85,5.75,5.8,2.8398,190951.0,0.0,1.0
2000-05-08,5.85,5.85,5.8,5.82,2.8496,268792.0,0.0,1.0
2000-05-09,5.808,5.808,5.69,5.69,2.7859,188389.0,0.0,1.0
2000-05-10,5.627,5.65,5.54,5.54,2.7125,77156.0,0.0,1.0
2000-05-11,5.606,5.7,5.59,5.7,2.7908,93344.0,0.0,1.0
2000-05-12,5.9,5.9,5.7,5.7,2.7908,178819.0,0.0,1.0
2000-05-15,5.71,5.72,5.6,5.651,2.7668,182689.0,0.0,1.0
2000-05-16,5.65,5.65,5.55,5.6,2.7419,87974.0,0.0,1.0
2000-05-17,5.545,5.65,5.545,5.6,2.7419,445137.0,0.0,1.0
2000-05-18,5.6,5.6,5.56,5.6,2.7419,48972.0,0.0,1.0
2000-05-19,5.6,5.7,5.6,5.65,2.7664,178257.0,0.0,1.0
2000-05-22,5.74,5.74,5.65,5.66,2.7713,213701.0,0.0,1.0
2000-05-23,5.66,5.7,5.65,5.7,2.7908,164185.0,0.0,1.0
2000-05-24,5.6,5.61,5.53,5.55,2.7174,636204.0,0.0,1.0
2000-05-25,5.55,5.59,5.52,5.59,2.737,234715.0,0.0,1.0
2000-05-26,5.6,5.7,5.56,5.68,2.781,189252.0,0.0,1.0
2000-05-29,5.7,5.7,5.56,5.7,2.7908,37177.0,0.0,1.0
2000-05-30,5.7,5.8,5.61,5.8,2.8398,243410.0,0.0,1.0
2000-05-31,5.9,5.95,5.7,5.95,2.9132,97547.0,0.0,1.0
2000-06-01,5.95,6.0,5.7,5.7,2.7908,366185.0,0.0,1.0
2000-06-02,5.68,5.7,5.68,5.7,2.7908,13903.0,0.0,1.0
2000-06-05,5.81,5.81,5.68,5.68,2.781,35927.0,0.0,1.0
2000-06-06,5.68,5.75,5.68,5.75,2.8153,37426.0,0.0,1.0
2000-06-07,5.77,5.81,5.77,5.81,2.8447,23721.0,0.0,1.0
2000-06-08,5.81,5.81,5.74,5.76,2.8202,32911.0,0.0,1.0
2000-06-09,5.71,5.76,5.63,5.76,2.8202,70215.0,0.0,1.0
2000-06-12,5.76,5.76,5.76,5.76,2.8202,0.0,0.0,1.0
2000-06-13,5.76,5.89,5.74,5.86,2.8692,66021.0,0.0,1.0
2000-06-14,5.95,5.95,5.85,5.94,2.9084,173615.0,0.0,1.0
2000-06-15,5.9,5.9,5.85,5.88,2.879,41216.0,0.0,1.0
2000-06-16,5.847,5.9,5.82,5.9,2.8888,32406.0,0.0,1.0
2000-06-19,5.9,6.0,5.9,5.9,2.8888,606952.0,0.0,1.0
2000-06-20,5.955,6.0,5.9,5.95,2.9132,327072.0,0.0,1.0
2000-06-21,5.953,5.953,5.8,5.85,2.8643,305505.0,0.0,1.0
2000-06-22,5.832,5.95,5.832,5.84,2.8594,1993552.0,0.0,1.0
2000-06-23,5.94,6.002,5.9,6.002,2.9387,239536.0,0.0,1.0
