date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,0.9127,0.9127,0.8948,0.8948,0.339,0.0,0.0,1.0
2000-01-05,0.8948,0.9127,0.8948,0.9127,0.3458,6147.0,0.0,1.0
2000-01-06,0.859,0.859,0.85,0.85,0.322,7469.0,0.0,1.0
2000-01-07,0.8948,0.8948,0.85,0.85,0.322,0.0,0.0,1.0
2000-01-10,0.8769,0.8769,0.8769,0.8769,0.3322,16764.0,0.0,1.0
2000-01-11,0.85,0.8769,0.85,0.8769,0.3322,24747.0,0.0,1.0
2000-01-12,0.8948,0.9127,0.8948,0.9127,0.3458,5588.0,0.0,1.0
2000-01-13,0.8769,0.8769,0.8769,0.8769,0.3322,5588.0,0.0,1.0
2000-01-14,0.85,0.85,0.85,0.85,0.322,9500.0,0.0,1.0
2000-01-17,0.8769,0.8769,0.8769,0.8769,0.3322,2235.0,0.0,1.0
2000-01-18,0.9127,0.9127,0.8769,0.8769,0.3322,0.0,0.0,1.0
2000-01-19,0.8769,0.8769,0.8769,0.8769,0.3322,782.0,0.0,1.0
2000-01-20,0.8769,0.8769,0.8769,0.8769,0.3322,5588.0,0.0,1.0
2000-01-21,0.8769,0.8769,0.85,0.85,0.322,18411.0,0.0,1.0
2000-01-24,0.8769,0.8769,0.8232,0.8232,0.3119,0.0,0.0,1.0
2000-01-25,0.8411,0.859,0.8411,0.859,0.3254,20676.0,0.0,1.0
2000-01-26,0.859,0.859,0.859,0.859,0.3254,0.0,0.0,1.0
2000-01-27,0.859,0.859,0.8232,0.8232,0.3119,0.0,0.0,1.0
2000-01-28,0.859,0.859,0.859,0.859,0.3254,5588.0,0.0,1.0
2000-01-31,0.859,0.859,0.859,0.859,0.3254,1568.0,0.0,1.0
2000-02-01,0.859,0.9127,0.859,0.9127,0.3458,91678.0,0.0,1.0
2000-02-02,0.9216,0.9395,0.9216,0.9395,0.3559,344221.0,0.0,1.0
2000-02-03,0.9395,0.9395,0.9395,0.9395,0.3559,3353.0,0.0,1.0
2000-02-04,0.9664,0.9664,0.9485,0.9485,0.3593,0.0,0.0,1.0
2000-02-07,0.9485,0.9485,0.9395,0.9395,0.3559,19670.0,0.0,1.0
2000-02-08,0.9395,0.9395,0.9395,0.9395,0.3559,78674.0,0.0,1.0
2000-02-09,0.9485,0.9574,0.9395,0.9574,0.3627,33586.0,0.0,1.0
2000-02-10,0.9842,0.9842,0.9664,0.9664,0.3661,0.0,0.0,1.0
2000-02-11,0.9842,1.0111,0.9664,1.0111,0.3831,60723.0,0.0,1.0
2000-02-14,1.0022,1.0022,0.9842,0.9842,0.3729,0.0,0.0,1.0
2000-02-15,1.0022,1.0111,1.0022,1.0111,0.3831,17971.0,0.0,1.0
2000-02-16,1.0737,1.0737,1.0111,1.0111,0.3831,51526.0,0.0,1.0
2000-02-17,1.0022,1.0022,0.9842,0.9842,0.3729,99355.0,0.0,1.0
2000-02-18,0.9842,1.0022,0.9842,1.0022,0.3797,38553.0,0.0,1.0
2000-02-21,0.9842,0.9842,0.9842,0.9842,0.3729,35768.0,0.0,1.0
