date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2014-07-02,1.51,1.54,1.42,1.445,1.165,10034464.0,0.0,1.0
2014-07-03,1.47,1.54,1.46,1.52,1.2255,3042748.0,0.0,1.0
2014-07-04,1.54,1.555,1.535,1.55,1.2496,500648.0,0.0,1.0
2014-07-07,1.555,1.57,1.52,1.55,1.2496,235894.0,0.0,1.0
2014-07-08,1.55,1.565,1.51,1.51,1.2174,424858.0,0.0,1.0
2014-07-09,1.515,1.545,1.48,1.5,1.2093,267333.0,0.0,1.0
2014-07-10,1.49,1.515,1.485,1.51,1.2174,116641.0,0.0,1.0
2014-07-11,1.5,1.5,1.46,1.47,1.1851,382581.0,0.0,1.0
2014-07-14,1.5,1.5,1.47,1.5,1.2093,43330.0,0.0,1.0
2014-07-15,1.5,1.5,1.43,1.47,1.1851,110551.0,0.0,1.0
2014-07-16,1.46,1.46,1.435,1.45,1.169,72958.0,0.0,1.0
2014-07-17,1.45,1.46,1.425,1.44,1.161,309582.0,0.0,1.0
2014-07-18,1.45,1.45,1.44,1.44,1.161,1233101.0,0.0,1.0
2014-07-21,1.45,1.455,1.41,1.415,1.1408,156511.0,0.0,1.0
2014-07-22,1.42,1.43,1.415,1.425,1.1489,527997.0,0.0,1.0
2014-07-23,1.43,1.49,1.425,1.49,1.2013,224347.0,0.0,1.0
2014-07-24,1.49,1.5,1.47,1.49,1.2013,220884.0,0.0,1.0
2014-07-25,1.49,1.5,1.465,1.48,1.1932,259729.0,0.0,1.0
2014-07-28,1.475,1.48,1.45,1.46,1.1771,79473.0,0.0,1.0
2014-07-29,1.46,1.46,1.43,1.43,1.1529,178296.0,0.0,1.0
2014-07-30,1.435,1.45,1.41,1.43,1.1529,1313670.0,0.0,1.0
2014-07-31,1.45,1.45,1.45,1.45,1.169,10873.0,0.0,1.0
2014-08-01,1.45,1.45,1.415,1.42,1.1448,97339.0,0.0,1.0
2014-08-04,1.415,1.425,1.41,1.42,1.1448,80350.0,0.0,1.0
2014-08-05,1.43,1.45,1.42,1.42,1.1448,115841.0,0.0,1.0
2014-08-06,1.42,1.46,1.42,1.43,1.1529,41016.0,0.0,1.0
2014-08-07,1.46,1.46,1.42,1.43,1.1529,141427.0,0.0,1.0
2014-08-08,1.43,1.43,1.415,1.43,1.1529,84342.0,0.0,1.0
2014-08-11,1.45,1.45,1.43,1.45,1.169,53500.0,0.0,1.0
2014-08-12,1.46,1.465,1.435,1.46,1.1771,271059.0,0.0,1.0
2014-08-13,1.48,1.485,1.46,1.46,1.1771,135501.0,0.0,1.0
2014-08-14,1.46,1.46,1.44,1.45,1.169,85673.0,0.0,1.0
2014-08-15,1.45,1.45,1.43,1.44,1.161,274436.0,0.0,1.0
2014-08-18,1.45,1.47,1.44,1.465,1.1811,71046.0,0.0,1.0
2014-08-19,1.465,1.465,1.45,1.45,1.169,19979.0,0.0,1.0
2014-08-20,1.465,1.47,1.455,1.46,1.1771,85783.0,0.0,1.0
2014-08-21,1.475,1.475,1.45,1.465,1.1811,33323.0,0.0,1.0
2014-08-22,1.47,1.49,1.45,1.46,1.1771,379226.0,0.0,1.0
2014-08-25,1.48,1.5,1.46,1.49,1.2013,207172.0,0.0,1.0
2014-08-26,1.5,1.57,1.5,1.565,1.2617,1107299.0,0.0,1.0
2014-08-27,1.55,1.55,1.5,1.52,1.2255,486359.0,0.0,1.0
2014-08-28,1.54,1.54,1.505,1.505,1.2134,508515.0,0.0,1.0
2014-08-29,1.505,1.52,1.5,1.52,1.2255,261090.0,0.0,1.0
2014-09-01,1.53,1.57,1.53,1.55,1.2496,323478.0,0.0,1.0
2014-09-02,1.575,1.6,1.575,1.585,1.2779,719145.0,0.0,1.0
2014-09-03,1.59,1.6,1.57,1.595,1.2859,765631.0,0.0,1.0
2014-09-04,1.58,1.595,1.57,1.57,1.2658,141230.0,0.0,1.0
2014-09-05,1.56,1.57,1.55,1.57,1.2658,157726.0,0.0,1.0
2014-09-08,1.57,1.575,1.545,1.545,1.2456,178010.0,0.0,1.0
2014-09-09,1.55,1.565,1.545,1.545,1.2456,44373.0,0.0,1.0
2014-09-10,1.565,1.565,1.495,1.5,1.2093,170214.0,0.0,1.0
2014-09-11,1.54,1.54,1.5,1.5,1.2093,69924.0,0.0,1.0
2014-09-12,1.495,1.52,1.49,1.49,1.2013,104871.0,0.0,1.0
2014-09-15,1.495,1.52,1.495,1.5,1.2093,60726.0,0.0,1.0
2014-09-16,1.5,1.5,1.485,1.49,1.2013,38497.0,0.0,1.0
2014-09-17,1.48,1.515,1.45,1.45,1.169,117803.0,0.0,1.0
2014-09-18,1.45,1.5,1.45,1.48,1.1932,18804.0,0.0,1.0
2014-09-19,1.5,1.5,1.44,1.46,1.1771,61532.0,0.0,1.0
2014-09-22,1.42,1.44,1.415,1.43,1.1529,29203.0,0.0,1.0
2014-09-23,1.425,1.445,1.42,1.44,1.161,65161.0,0.0,1.0
2014-09-24,1.43,1.43,1.42,1.43,1.1529,273470.0,0.0,1.0
2014-09-25,1.435,1.46,1.435,1.45,1.169,82576.0,0.0,1.0
2014-09-26,1.45,1.45,1.43,1.45,1.169,26821.0,0.0,1.0
2014-09-29,1.45,1.45,1.43,1.44,1.161,23634.0,0.0,1.0
2014-09-30,1.44,1.44,1.41,1.44,1.161,157988.0,0.0,1.0
2014-10-01,1.43,1.44,1.39,1.39,1.1206,194404.0,0.0,1.0
2014-10-02,1.39,1.44,1.39,1.44,1.161,9329.0,0.0,1.0
2014-10-03,1.44,1.46,1.43,1.45,1.169,65212.0,0.0,1.0
2014-10-06,1.45,1.45,1.45,1.45,1.169,0.0,0.0,1.0
2014-10-07,1.46,1.46,1.43,1.44,1.161,158515.0,0.0,1.0
2014-10-08,1.48,1.48,1.42,1.42,1.1448,23366.0,0.0,1.0
2014-10-09,1.42,1.435,1.42,1.43,1.1529,38753.0,0.0,1.0
2014-10-10,1.43,1.43,1.395,1.395,1.1247,80813.0,0.0,1.0
2014-10-13,1.395,1.395,1.355,1.36,1.0965,370072.0,0.0,1.0
2014-10-14,1.395,1.4,1.39,1.395,1.1247,124966.0,0.0,1.0
2014-10-15,1.4,1.4,1.36,1.36,1.0965,111239.0,0.0,1.0
2014-10-16,1.35,1.4,1.35,1.39,1.1206,121161.0,0.0,1.0
2014-10-17,1.4,1.42,1.36,1.4,1.1287,526862.0,0.0,1.0
2014-10-20,1.42,1.45,1.42,1.45,1.169,58620.0,0.0,1.0
2014-10-21,1.45,1.5,1.425,1.49,1.2013,223055.0,0.0,1.0
2014-10-22,1.5,1.51,1.45,1.51,1.2174,198184.0,0.0,1.0
2014-10-23,1.5,1.5,1.46,1.5,1.2093,199536.0,0.0,1.0
2014-10-24,1.46,1.495,1.45,1.495,1.2053,11693.0,0.0,1.0
2014-10-27,1.495,1.495,1.465,1.48,1.1932,3983.0,0.0,1.0
2014-10-28,1.46,1.48,1.45,1.48,1.1932,27685.0,0.0,1.0
2014-10-29,1.46,1.465,1.44,1.46,1.1771,80973.0,0.0,1.0
2014-10-30,1.46,1.49,1.45,1.485,1.1972,74875.0,0.0,1.0
2014-10-31,1.465,1.48,1.465,1.48,1.1932,45483.0,0.0,1.0
2014-11-03,1.475,1.475,1.45,1.45,1.169,61027.0,0.0,1.0
2014-11-04,1.46,1.48,1.46,1.48,1.1932,45158.0,0.0,1.0
2014-11-05,1.465,1.48,1.465,1.475,1.1892,12162.0,0.0,1.0
2014-11-06,1.465,1.49,1.44,1.44,1.161,155811.0,0.0,1.0
2014-11-07,1.49,1.5,1.44,1.5,1.2093,62002.0,0.0,1.0
2014-11-10,1.5,1.5,1.49,1.49,1.2013,13907.0,0.0,1.0
2014-11-11,1.47,1.47,1.4,1.43,1.1529,81003.0,0.0,1.0
2014-11-12,1.415,1.44,1.36,1.425,1.1489,119110.0,0.0,1.0
