date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2005-12-15,1.9219,1.9219,1.9219,1.9219,0.6904,0.0,0.0,1.0
2005-12-16,1.1195,1.1532,1.1147,1.1436,0.4108,8987319.0,0.0,1.0
2005-12-19,1.1628,1.1676,1.1532,1.1628,0.4177,7480350.0,0.0,1.0
2005-12-20,1.1724,1.1724,1.158,1.158,0.416,7530952.0,0.0,1.0
2005-12-21,1.1628,1.1628,1.1532,1.158,0.416,5305161.0,0.0,1.0
2005-12-22,1.1532,1.158,1.1436,1.1484,0.4125,9726504.0,0.0,1.0
2005-12-23,1.1436,1.1532,1.1436,1.1484,0.4125,8061905.0,0.0,1.0
2005-12-28,1.1484,1.1532,1.1436,1.1484,0.4125,2429764.0,0.0,1.0
2005-12-29,1.158,1.158,1.1436,1.1532,0.4142,1472892.0,0.0,1.0
2005-12-30,1.1532,1.1532,1.1436,1.1484,0.4125,1910044.0,0.0,1.0
2006-01-03,1.1484,1.1532,1.1436,1.1532,0.4142,2058538.0,0.0,1.0
2006-01-04,1.1484,1.1484,1.1339,1.1339,0.4073,3813917.0,0.0,1.0
2006-01-05,1.1387,1.1387,1.1339,1.1339,0.4073,2260074.0,0.0,1.0
2006-01-06,1.1387,1.1532,1.1387,1.1436,0.4108,9313661.0,0.0,1.0
2006-01-09,1.1436,1.158,1.1436,1.1532,0.4142,1560506.0,0.0,1.0
2006-01-10,1.1532,1.182,1.1532,1.1676,0.4194,641182.0,0.0,1.0
2006-01-11,1.1724,1.1724,1.158,1.1676,0.4194,1046861.0,0.0,1.0
2006-01-12,1.1676,1.182,1.1628,1.1628,0.4177,819403.0,0.0,1.0
2006-01-13,1.158,1.182,1.158,1.182,0.4246,951759.0,0.0,1.0
2006-01-16,1.1772,1.182,1.1724,1.182,0.4246,426295.0,0.0,1.0
2006-01-17,1.1868,1.1916,1.182,1.182,0.4246,172708.0,0.0,1.0
2006-01-18,1.182,1.1916,1.1676,1.1772,0.4229,561980.0,0.0,1.0
2006-01-19,1.1676,1.1724,1.1628,1.1676,0.4194,916069.0,0.0,1.0
2006-01-20,1.182,1.182,1.1628,1.1628,0.4177,1756585.0,0.0,1.0
2006-01-23,1.1676,1.1676,1.1628,1.1676,0.4194,383467.0,0.0,1.0
2006-01-24,1.1676,1.1724,1.158,1.158,0.416,13818050.0,0.0,1.0
2006-01-25,1.158,1.158,1.1436,1.1436,0.4108,1975082.0,0.0,1.0
2006-01-27,1.1436,1.1484,1.1243,1.1339,0.4073,4176313.0,0.0,1.0
2006-01-30,1.1387,1.1387,1.1291,1.1291,0.4056,1525901.0,0.0,1.0
2006-01-31,1.1339,1.1339,1.1243,1.1243,0.4039,4192073.0,0.0,1.0
2006-02-01,1.1339,1.1436,1.1243,1.1387,0.4091,1502762.0,0.0,1.0
2006-02-02,1.1387,1.1387,1.1243,1.1291,0.4056,261507.0,0.0,1.0
2006-02-03,1.1291,1.1387,1.1147,1.1147,0.4004,967502.0,0.0,1.0
2006-02-06,1.1147,1.1147,1.1051,1.1099,0.3987,3444745.0,0.0,1.0
2006-02-07,1.1099,1.1147,1.1003,1.1003,0.3952,3224915.0,0.0,1.0
2006-02-08,1.1099,1.1147,1.1051,1.1099,0.3987,7751915.0,0.0,1.0
2006-02-09,1.1099,1.1243,1.1099,1.1147,0.4004,617401.0,0.0,1.0
2006-02-10,1.1243,1.1243,1.1147,1.1243,0.4039,2464897.0,0.0,1.0
2006-02-13,1.1243,1.1243,1.1147,1.1243,0.4039,1663490.0,0.0,1.0
2006-02-14,1.1243,1.1291,1.1099,1.1147,0.4004,3131297.0,0.0,1.0
2006-02-15,1.1195,1.1243,1.1195,1.1243,0.4039,1889430.0,0.0,1.0
