date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2015-06-04,1.896,1.9814,1.8202,1.9245,1.9204,3694591.0,0.0,1.0
2015-06-05,1.9624,1.9719,1.8628,1.8628,1.8589,795030.0,0.0,1.0
2015-06-09,1.8628,1.8628,1.7207,1.7444,1.7407,483426.0,0.0,1.0
2015-06-10,1.7254,1.7254,1.6306,1.6969,1.6934,389844.0,0.0,1.0
2015-06-11,1.7064,1.7254,1.6116,1.6875,1.6839,498554.0,0.0,1.0
2015-06-12,1.7538,1.8297,1.7538,1.8012,1.7974,285045.0,0.0,1.0
2015-06-15,1.806,1.8249,1.7728,1.7917,1.788,89303.0,0.0,1.0
2015-06-16,1.7917,1.8012,1.7917,1.8012,1.7974,41242.0,0.0,1.0
2015-06-17,1.8012,1.8486,1.7917,1.8107,1.8069,58754.0,0.0,1.0
2015-06-18,1.8107,1.8486,1.8012,1.8439,1.84,88402.0,0.0,1.0
2015-06-19,1.8581,1.8581,1.8012,1.8392,1.8353,113074.0,0.0,1.0
2015-06-22,1.8392,1.8486,1.8012,1.8107,1.8069,41712.0,0.0,1.0
2015-06-23,1.8486,1.9434,1.8486,1.896,1.892,141621.0,0.0,1.0
2015-06-24,1.896,1.915,1.8723,1.915,1.911,54825.0,0.0,1.0
2015-06-25,1.896,1.896,1.896,1.896,1.892,30379.0,0.0,1.0
2015-06-26,1.896,1.896,1.8676,1.896,1.892,103954.0,0.0,1.0
2015-06-29,1.8865,1.8865,1.8486,1.8486,1.8447,41825.0,0.0,1.0
2015-06-30,1.8486,1.8486,1.8202,1.8392,1.8353,29008.0,0.0,1.0
2015-07-01,1.8107,1.8107,1.7444,1.7823,1.7785,91192.0,0.0,1.0
2015-07-02,1.7159,1.8012,1.7159,1.7823,1.7785,312220.0,0.0,1.0
2015-07-03,1.7823,1.7917,1.7254,1.7491,1.7454,145906.0,0.0,1.0
2015-07-06,1.7491,1.7728,1.7254,1.7444,1.7407,134333.0,0.0,1.0
2015-07-07,1.7728,1.8012,1.7728,1.8012,1.7974,134676.0,0.0,1.0
2015-07-08,1.8107,1.8107,1.768,1.7823,1.7785,192565.0,0.0,1.0
2015-07-09,1.7823,1.7917,1.7633,1.7633,1.7596,91243.0,0.0,1.0
2015-07-10,1.7728,1.7917,1.7633,1.7823,1.7785,48570.0,0.0,1.0
2015-07-13,1.7917,1.8107,1.7823,1.8107,1.8069,172934.0,0.0,1.0
2015-07-14,1.8107,1.8676,1.8107,1.8581,1.8542,197940.0,0.0,1.0
