date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2013-10-16,1.4783,1.5175,1.4245,1.4685,1.1735,2535915.0,0.0,1.0
2013-10-17,1.4783,1.5175,1.4685,1.4685,1.1735,1140924.0,0.0,1.0
2013-10-18,1.4832,1.4881,1.4783,1.4881,1.1891,237605.0,0.0,1.0
2013-10-21,1.4979,1.4979,1.4636,1.4636,1.1696,133782.0,0.0,1.0
2013-10-22,1.4587,1.4587,1.4196,1.4392,1.15,125408.0,0.0,1.0
2013-10-23,1.4441,1.4441,1.4294,1.4294,1.1422,169966.0,0.0,1.0
2013-10-24,1.4196,1.4539,1.4196,1.4245,1.1383,73251.0,0.0,1.0
2013-10-25,1.4441,1.4441,1.4196,1.4196,1.1343,60662.0,0.0,1.0
2013-10-28,1.3951,1.3951,1.3511,1.3755,1.0991,110571.0,0.0,1.0
2013-10-29,1.3755,1.3902,1.3608,1.3902,1.1109,327133.0,0.0,1.0
2013-10-30,1.3902,1.4196,1.3902,1.3902,1.1109,65359.0,0.0,1.0
2013-10-31,1.4,1.4098,1.3951,1.4098,1.1265,25318.0,0.0,1.0
2013-11-01,1.4098,1.4392,1.4,1.4196,1.1343,43841.0,0.0,1.0
2013-11-04,1.4392,1.4539,1.4196,1.4196,1.1343,54705.0,0.0,1.0
2013-11-05,1.449,1.449,1.4441,1.449,1.1578,26955.0,0.0,1.0
2013-11-06,1.449,1.449,1.4196,1.4196,1.1343,31664.0,0.0,1.0
2013-11-07,1.449,1.449,1.449,1.449,1.1578,10214.0,0.0,1.0
2013-11-08,1.449,1.4539,1.4392,1.4392,1.15,52025.0,0.0,1.0
2013-11-11,1.4392,1.4392,1.4392,1.4392,1.15,3759.0,0.0,1.0
2013-11-12,1.4196,1.4294,1.4196,1.4196,1.1343,263435.0,0.0,1.0
2013-11-13,1.4147,1.4294,1.3902,1.3902,1.1109,38685.0,0.0,1.0
2013-11-14,1.3902,1.4392,1.3902,1.4392,1.15,388855.0,0.0,1.0
2013-11-15,1.4392,1.4441,1.4392,1.4441,1.1539,63226.0,0.0,1.0
2013-11-18,1.4441,1.4441,1.4294,1.4441,1.1539,358866.0,0.0,1.0
2013-11-19,1.4441,1.449,1.4343,1.4441,1.1539,440578.0,0.0,1.0
2013-11-20,1.4441,1.449,1.4343,1.449,1.1578,35931.0,0.0,1.0
2013-11-21,1.4587,1.4734,1.4587,1.4734,1.1774,67544.0,0.0,1.0
2013-11-22,1.4783,1.5567,1.4783,1.5567,1.2439,13520.0,0.0,1.0
2013-11-25,1.5567,1.5567,1.5469,1.5469,1.236,172174.0,0.0,1.0
2013-11-26,1.5469,1.5469,1.4636,1.5469,1.236,262012.0,0.0,1.0
2013-11-27,1.5469,1.5469,1.5175,1.5175,1.2126,164778.0,0.0,1.0
2013-11-28,1.5175,1.5273,1.5175,1.5273,1.2204,2043.0,0.0,1.0
2013-11-29,1.5175,1.5175,1.5175,1.5175,1.2126,3269.0,0.0,1.0
2013-12-02,1.5175,1.5175,1.4685,1.4685,1.1735,13364.0,0.0,1.0
2013-12-03,1.4881,1.4881,1.4392,1.4392,1.15,61864.0,0.0,1.0
2013-12-04,1.4685,1.4685,1.4392,1.4685,1.1735,34487.0,0.0,1.0
2013-12-05,1.4783,1.4783,1.4734,1.4734,1.1774,11256.0,0.0,1.0
2013-12-06,1.4734,1.4734,1.4734,1.4734,1.1774,10214.0,0.0,1.0
2013-12-09,1.4881,1.4979,1.4783,1.4881,1.1891,11878.0,0.0,1.0
2013-12-10,1.4881,1.5175,1.4881,1.5175,1.2126,10206.0,0.0,1.0
2013-12-11,1.5175,1.5175,1.5175,1.5175,1.2126,0.0,0.0,1.0
2013-12-12,1.4783,1.4783,1.4685,1.4783,1.1813,226500.0,0.0,1.0
2013-12-13,1.4783,1.4783,1.4783,1.4783,1.1813,92.0,0.0,1.0
2013-12-16,1.4783,1.5175,1.4783,1.5175,1.2126,3815.0,0.0,1.0
2013-12-17,1.5175,1.5175,1.4881,1.5175,1.2126,31610.0,0.0,1.0
2013-12-18,1.5175,1.5664,1.5175,1.5664,1.2517,12852.0,0.0,1.0
2013-12-19,1.5567,1.5664,1.5567,1.5664,1.2517,16197.0,0.0,1.0
2013-12-20,1.5175,1.5175,1.4881,1.4881,1.1891,13382.0,0.0,1.0
2013-12-23,1.4979,1.5175,1.4881,1.5175,1.2126,125459.0,0.0,1.0
2013-12-24,1.5371,1.5469,1.5175,1.5175,1.2126,32083.0,0.0,1.0
2013-12-27,1.5175,1.5175,1.5175,1.5175,1.2126,0.0,0.0,1.0
2013-12-30,1.5273,1.5273,1.5273,1.5273,1.2204,825.0,0.0,1.0
2013-12-31,1.5273,1.5273,1.5273,1.5273,1.2204,0.0,0.0,1.0
2014-01-02,1.5273,1.5273,1.5273,1.5273,1.2204,7404.0,0.0,1.0
2014-01-03,1.5273,1.5273,1.5077,1.5077,1.2048,29743.0,0.0,1.0
2014-01-06,1.5077,1.5077,1.4881,1.4979,1.1969,65524.0,0.0,1.0
2014-01-07,1.4979,1.4979,1.4881,1.4881,1.1891,18386.0,0.0,1.0
2014-01-08,1.4881,1.4881,1.4881,1.4881,1.1891,0.0,0.0,1.0
2014-01-09,1.4881,1.4881,1.4881,1.4881,1.1891,0.0,0.0,1.0
