date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,3.896,3.896,3.896,3.896,1.2801,0.0,0.0,1.0
2000-01-05,3.775,3.891,3.775,3.78,1.242,19310.0,0.0,1.0
2000-01-06,3.8,3.8,3.8,3.8,1.2486,124110.0,0.0,1.0
2000-01-07,3.82,3.895,3.82,3.895,1.2798,22150.0,0.0,1.0
2000-01-10,3.9,4.0,3.9,3.975,1.3061,15020.0,0.0,1.0
2000-01-11,4.0,4.0,3.9,3.9,1.2815,61170.0,0.0,1.0
2000-01-12,3.9,3.9,3.9,3.9,1.2815,50000.0,0.0,1.0
2000-01-13,3.9,3.9,3.9,3.9,1.2815,100000.0,0.0,1.0
2000-01-14,3.85,3.85,3.81,3.81,1.2519,57870.0,0.0,1.0
2000-01-17,3.81,3.81,3.8,3.8,1.2486,5210.0,0.0,1.0
2000-01-18,3.8,3.8,3.8,3.8,1.2486,16040.0,0.0,1.0
2000-01-19,3.825,3.9,3.825,3.9,1.2815,42730.0,0.0,1.0
2000-01-20,3.9,3.9,3.9,3.9,1.2815,0.0,0.0,1.0
2000-01-21,3.9,3.9,3.9,3.9,1.2815,0.0,0.0,1.0
2000-01-24,3.805,3.805,3.805,3.805,1.2502,6000.0,0.0,1.0
2000-01-25,3.8,3.8,3.75,3.75,1.2322,67930.0,0.0,1.0
2000-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-01-27,3.6925,3.701,3.6925,3.7,1.2157,66660.0,0.0,1.0
2000-01-28,3.7,3.7,3.7,3.7,1.2157,21000.0,0.0,1.0
2000-01-31,3.7,3.7,3.6,3.6,1.1829,5350.0,0.0,1.0
2000-02-01,3.652,3.652,3.65,3.65,1.1993,62660.0,0.0,1.0
2000-02-02,3.685,3.685,3.6,3.6,1.1829,78290.0,0.0,1.0
2000-02-03,3.65,3.65,3.65,3.65,1.1993,44000.0,0.0,1.0
2000-02-04,3.65,3.65,3.65,3.65,1.1993,17310.0,0.0,1.0
2000-02-07,3.6,3.65,3.6,3.65,1.1993,169650.0,0.0,1.0
2000-02-08,3.65,3.65,3.65,3.65,1.1993,11000.0,0.0,1.0
2000-02-09,3.65,3.75,3.65,3.655,1.201,13790.0,0.0,1.0
2000-02-10,3.65,3.65,3.65,3.65,1.1993,2380.0,0.0,1.0
2000-02-11,3.65,3.65,3.65,3.65,1.1993,5000.0,0.0,1.0
2000-02-14,3.6,3.6,3.6,3.6,1.1829,42640.0,0.0,1.0
2000-02-15,3.6,3.65,3.55,3.65,1.1993,470320.0,0.0,1.0
2000-02-16,3.64,3.652,3.64,3.65,1.1993,28330.0,0.0,1.0
2000-02-17,3.65,3.701,3.65,3.701,1.2161,203500.0,0.0,1.0
2000-02-18,3.75,3.75,3.701,3.701,1.2161,14650.0,0.0,1.0
2000-02-21,3.75,3.8,3.7,3.7,1.2157,57450.0,0.0,1.0
2000-02-22,3.7,3.7,3.7,3.7,1.2157,62960.0,0.0,1.0
2000-02-23,3.7,3.7,3.65,3.65,1.1993,13910.0,0.0,1.0
