date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,3.0809,3.118,3.0512,3.0883,1.3942,1187843.0,0.0,1.0
2000-01-05,3.0586,3.118,3.0512,3.066,1.3842,1440071.0,0.0,1.0
2000-01-06,3.0883,3.118,3.0586,3.0794,1.3902,1105416.0,0.0,1.0
2000-01-07,3.0809,3.1848,3.0809,3.1403,1.4177,1839898.0,0.0,1.0
2000-01-10,3.1403,3.2368,3.1403,3.2071,1.4478,4252372.0,0.0,1.0
2000-01-11,3.2442,3.2516,3.1328,3.1625,1.4277,2530198.0,0.0,1.0
2000-01-12,3.1195,3.2219,3.1195,3.2071,1.4478,1567995.0,0.0,1.0
2000-01-13,3.1774,3.2219,3.1477,3.1774,1.4344,655040.0,0.0,1.0
2000-01-14,3.1848,3.2145,3.1551,3.2145,1.4512,1093544.0,0.0,1.0
2000-01-17,3.2294,3.2739,3.1997,3.2219,1.4545,1085933.0,0.0,1.0
2000-01-18,3.2219,3.259,3.1922,3.1922,1.4411,1497994.0,0.0,1.0
2000-01-19,3.1922,3.2294,3.1922,3.2294,1.4579,1359193.0,0.0,1.0
2000-01-20,3.2368,3.2516,3.2145,3.2442,1.4646,3466134.0,0.0,1.0
2000-01-21,3.2368,3.2368,3.17,3.1826,1.4368,1303655.0,0.0,1.0
2000-01-24,3.1551,3.1922,3.118,3.1848,1.4378,1423781.0,0.0,1.0
2000-01-25,3.1477,3.1551,3.1106,3.1328,1.4143,1788116.0,0.0,1.0
2000-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-01-27,3.1328,3.2115,3.1328,3.2115,1.4498,3741924.0,0.0,1.0
2000-01-28,3.1922,3.2368,3.1848,3.1974,1.4435,2287315.0,0.0,1.0
2000-01-31,3.1551,3.17,3.1328,3.1551,1.4244,1223213.0,0.0,1.0
2000-02-01,3.1774,3.1774,3.1254,3.144,1.4193,1012189.0,0.0,1.0
2000-02-02,3.1403,3.1551,3.0883,3.1328,1.4143,1616980.0,0.0,1.0
2000-02-03,3.118,3.118,3.0111,3.0111,1.3594,2346811.0,0.0,1.0
2000-02-04,3.0438,3.0586,2.9844,3.0438,1.3741,3324491.0,0.0,1.0
2000-02-07,3.0512,3.0586,3.0141,3.0215,1.364,1385104.0,0.0,1.0
2000-02-08,3.0438,3.066,2.9992,3.0438,1.3741,769523.0,0.0,1.0
2000-02-09,3.0623,3.066,3.0066,3.0363,1.3707,3367698.0,0.0,1.0
2000-02-10,3.0438,3.0438,2.9101,2.9472,1.3305,10630652.0,0.0,1.0
2000-02-11,2.9547,2.9547,2.9101,2.9242,1.3201,3315532.0,0.0,1.0
2000-02-14,2.925,2.9621,2.9101,2.925,1.3205,5207488.0,0.0,1.0
2000-02-15,2.9324,2.9547,2.9101,2.9176,1.3171,2437960.0,0.0,1.0
2000-02-16,2.9398,3.0215,2.9324,2.9881,1.349,1495872.0,0.0,1.0
2000-02-17,3.0066,3.0215,2.9324,2.9695,1.3406,1505513.0,0.0,1.0
2000-02-18,2.9621,2.9918,2.9324,2.9398,1.3272,1162452.0,0.0,1.0
2000-02-21,2.9324,2.945,2.9027,2.945,1.3295,1059720.0,0.0,1.0
2000-02-22,2.9547,2.9844,2.925,2.9324,1.3238,1326502.0,0.0,1.0
2000-02-23,2.9324,2.9769,2.9324,2.9472,1.3305,1066927.0,0.0,1.0
2000-02-24,2.9324,2.9472,2.8211,2.8433,1.2836,4195309.0,0.0,1.0
2000-02-25,2.8507,2.9398,2.8359,2.9101,1.3138,5248818.0,0.0,1.0
2000-02-28,2.8953,2.8953,2.8285,2.8507,1.287,1846596.0,0.0,1.0
2000-02-29,2.8582,2.8953,2.8433,2.8433,1.2836,1255039.0,0.0,1.0
2000-03-01,2.8582,2.8582,2.7171,2.7654,1.2484,4215292.0,0.0,1.0
2000-03-02,2.7884,2.8953,2.7884,2.8656,1.2937,1200944.0,0.0,1.0
2000-03-03,2.8804,2.8879,2.7617,2.7839,1.2568,1549029.0,0.0,1.0
2000-03-06,2.8248,2.8804,2.7839,2.8507,1.287,1371736.0,0.0,1.0
2000-03-07,2.9027,2.925,2.8582,2.8908,1.3051,2468184.0,0.0,1.0
2000-03-08,2.9569,3.0438,2.9472,3.0215,1.364,1862685.0,0.0,1.0
