date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,5.2,5.2,5.06,5.09,3.3391,132900.0,0.0,1.0
2000-01-05,5.02,5.03,4.95,5.0,3.28,454700.0,0.0,1.0
2000-01-06,5.0,5.05,4.96,4.98,3.2669,182500.0,0.0,1.0
2000-01-07,4.96,4.96,4.92,4.95,3.2472,290500.0,0.0,1.0
2000-01-10,5.0,5.07,5.0,5.06,3.3194,39900.0,0.0,1.0
2000-01-11,5.106,5.35,5.106,5.35,3.5096,1539100.0,0.0,1.0
2000-01-12,5.25,5.45,5.25,5.29,3.4703,287600.0,0.0,1.0
2000-01-13,5.5,5.58,5.3,5.33,3.4965,950000.0,0.0,1.0
2000-01-14,5.5,5.53,5.45,5.524,3.6238,2536700.0,0.0,1.0
2000-01-17,5.532,5.532,5.46,5.5,3.608,181200.0,0.0,1.0
2000-01-18,5.5,5.5,5.46,5.48,3.5949,986600.0,0.0,1.0
2000-01-19,5.46,5.47,5.35,5.4,3.5424,403700.0,0.0,1.0
2000-01-20,5.375,5.375,5.24,5.29,3.4703,1318900.0,0.0,1.0
2000-01-21,5.29,5.3,5.2,5.3,3.4768,341300.0,0.0,1.0
2000-01-24,5.3,5.43,5.3,5.402,3.5438,468800.0,0.0,1.0
2000-01-25,5.322,5.34,5.2,5.23,3.4309,1202200.0,0.0,1.0
2000-01-26,5.23,5.23,5.23,5.23,3.4309,0.0,0.0,1.0
2000-01-27,5.25,5.32,5.25,5.3,3.4768,150000.0,0.0,1.0
2000-01-28,5.249,5.29,5.21,5.24,3.4375,132700.0,0.0,1.0
2000-01-31,5.201,5.201,5.15,5.18,3.3981,160400.0,0.0,1.0
2000-02-01,5.18,5.27,5.18,5.27,3.4572,270500.0,0.0,1.0
2000-02-02,5.257,5.26,5.2,5.21,3.4178,115400.0,0.0,1.0
2000-02-03,5.23,5.25,5.21,5.25,3.444,552800.0,0.0,1.0
2000-02-04,5.25,5.53,5.25,5.53,3.6277,386000.0,0.0,1.0
2000-02-07,5.7,5.85,5.65,5.781,3.7924,24995700.0,0.0,1.0
2000-02-08,5.8,5.89,5.78,5.841,3.8317,375600.0,0.0,1.0
2000-02-09,5.84,5.9,5.8,5.82,3.818,1465400.0,0.0,1.0
2000-02-10,5.6,5.78,5.6,5.78,3.7917,263700.0,0.0,1.0
2000-02-11,5.77,5.77,5.62,5.72,3.7524,218700.0,0.0,1.0
2000-02-14,5.7,5.72,5.6,5.7,3.7392,166200.0,0.0,1.0
2000-02-15,5.7,5.85,5.65,5.8,3.8048,486400.0,0.0,1.0
2000-02-16,5.78,5.8,5.72,5.79,3.7983,214800.0,0.0,1.0
2000-02-17,5.8,6.01,5.79,5.99,3.9295,520200.0,0.0,1.0
2000-02-18,5.99,6.2,5.99,6.14,4.0279,636500.0,0.0,1.0
2000-02-21,5.869,6.0,5.869,5.91,3.877,213600.0,0.0,1.0
2000-02-22,5.9,5.99,5.81,5.81,3.8114,192600.0,0.0,1.0
2000-02-23,5.81,6.0,5.62,5.8,3.8048,137800.0,0.0,1.0
2000-02-24,5.81,5.97,5.78,5.78,3.7917,222200.0,0.0,1.0
2000-02-25,5.605,5.72,5.6,5.71,3.7458,1144600.0,0.0,1.0
2000-02-28,5.646,5.9,5.62,5.9,3.8704,84600.0,0.0,1.0
2000-02-29,5.841,6.01,5.841,6.0,3.936,295000.0,0.0,1.0
2000-03-01,6.05,6.45,6.05,6.298,4.1315,308900.0,0.0,1.0
2000-03-02,6.35,6.71,6.35,6.65,4.3625,357800.0,0.0,1.0
2000-03-03,6.69,6.9,6.6,6.8,4.4609,486300.0,0.0,1.0
2000-03-06,7.041,7.3,7.041,7.21,4.7298,376200.0,0.0,1.0
2000-03-07,7.15,7.15,6.6,6.607,4.3342,287700.0,0.0,1.0
2000-03-08,6.706,7.3,6.706,7.158,4.6957,4450500.0,0.0,1.0
2000-03-09,7.31,7.69,7.31,7.4,4.8545,1403100.0,0.0,1.0
2000-03-10,7.415,7.56,7.415,7.56,4.9594,716300.0,0.0,1.0
2000-03-13,7.564,7.59,7.49,7.55,4.9529,352100.0,0.0,1.0
2000-03-14,7.45,7.63,7.45,7.505,4.9233,985800.0,0.0,1.0
2000-03-15,7.4,7.6,7.32,7.4,4.8545,620400.0,0.0,1.0
2000-03-16,7.49,7.7,7.32,7.5,4.9201,2396100.0,0.0,1.0
2000-03-17,7.4,7.6,7.4,7.6,4.9857,301900.0,0.0,1.0
2000-03-20,7.6,7.6,7.46,7.557,4.9575,146800.0,0.0,1.0
2000-03-21,7.481,7.5,7.25,7.35,4.8217,264200.0,0.0,1.0
2000-03-22,7.4,7.49,7.37,7.44,4.8807,599400.0,0.0,1.0
2000-03-23,7.5,7.62,7.5,7.5,4.9201,415900.0,0.0,1.0
2000-03-24,7.561,7.58,7.512,7.512,4.9279,212900.0,0.0,1.0
2000-03-27,7.591,7.591,7.39,7.5,4.9201,1725200.0,0.0,1.0
2000-03-28,7.55,8.15,7.55,8.042,5.2756,294200.0,0.0,1.0
2000-03-29,8.15,8.15,7.6,7.827,5.1346,265400.0,0.0,1.0
