date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,4.7996,4.8177,4.7453,4.7543,1.3196,145451.0,0.0,1.0
2000-01-05,4.7271,4.7271,4.6638,4.709,1.3071,303521.0,0.0,1.0
2000-01-06,4.7996,4.7996,4.7271,4.7271,1.3121,94910.0,0.0,1.0
2000-01-07,4.7244,4.7543,4.6819,4.6819,1.2995,49552.0,0.0,1.0
2000-01-10,4.709,4.7724,4.709,4.7453,1.3171,270393.0,0.0,1.0
2000-01-11,4.7634,4.872,4.7634,4.8449,1.3448,797563.0,0.0,1.0
2000-01-12,4.7996,4.863,4.7724,4.7996,1.3322,410683.0,0.0,1.0
2000-01-13,4.7905,4.7996,4.7543,4.7996,1.3322,372013.0,0.0,1.0
2000-01-14,4.7996,4.8539,4.7996,4.8449,1.3448,549142.0,0.0,1.0
2000-01-17,4.8467,4.872,4.7815,4.7815,1.3272,133918.0,0.0,1.0
2000-01-18,4.7788,4.8267,4.7788,4.7996,1.3322,339312.0,0.0,1.0
2000-01-19,4.7996,4.7996,4.7634,4.7724,1.3247,135406.0,0.0,1.0
2000-01-20,4.7724,4.8086,4.7724,4.7815,1.3272,132697.0,0.0,1.0
2000-01-21,4.7815,4.8086,4.7724,4.7905,1.3297,302622.0,0.0,1.0
2000-01-24,4.7996,4.8177,4.7815,4.7815,1.3272,118517.0,0.0,1.0
2000-01-25,4.7815,4.7815,4.7271,4.7634,1.3222,105713.0,0.0,1.0
2000-01-26,4.7634,4.7634,4.7634,4.7634,1.3222,0.0,0.0,1.0
2000-01-27,4.7996,4.7996,4.7271,4.7543,1.3196,223714.0,0.0,1.0
2000-01-28,4.7905,4.7905,4.7362,4.7453,1.3171,223228.0,0.0,1.0
2000-01-31,4.7453,4.7543,4.7181,4.7453,1.3171,195718.0,0.0,1.0
2000-02-01,4.7453,4.7543,4.6728,4.7543,1.3196,71804.0,0.0,1.0
2000-02-02,4.7543,4.7543,4.6638,4.7181,1.3096,103686.0,0.0,1.0
2000-02-03,4.7362,4.7453,4.6366,4.6638,1.2945,241264.0,0.0,1.0
2000-02-04,4.709,4.7543,4.6819,4.709,1.3071,205144.0,0.0,1.0
2000-02-07,4.709,4.7543,4.709,4.7326,1.3136,149251.0,0.0,1.0
2000-02-08,4.7271,4.7543,4.7271,4.7543,1.3196,154308.0,0.0,1.0
2000-02-09,4.7543,4.7905,4.7543,4.7543,1.3196,132935.0,0.0,1.0
2000-02-10,4.7453,4.7996,4.7271,4.7996,1.3322,901890.0,0.0,1.0
2000-02-11,4.7951,4.7951,4.7271,4.7453,1.3171,66757.0,0.0,1.0
2000-02-14,4.7172,4.7453,4.709,4.709,1.3071,353889.0,0.0,1.0
