date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2007-11-28,1.62,1.62,1.51,1.6,0.9882,6273251.0,0.0,1.0
2007-11-29,1.65,1.65,1.59,1.6,0.9882,3997054.0,0.0,1.0
2007-11-30,1.62,1.75,1.605,1.74,1.0746,441788.0,0.0,1.0
2007-12-03,1.82,1.825,1.7,1.71,1.0561,726832.0,0.0,1.0
2007-12-04,1.72,1.75,1.65,1.65,1.0191,286382.0,0.0,1.0
2007-12-05,1.65,1.66,1.61,1.61,0.9944,236314.0,0.0,1.0
2007-12-06,1.61,1.68,1.6,1.66,1.0252,278221.0,0.0,1.0
2007-12-07,1.65,1.69,1.62,1.69,1.0438,323200.0,0.0,1.0
2007-12-10,1.65,1.655,1.645,1.655,1.0222,338000.0,0.0,1.0
2007-12-11,1.65,1.655,1.64,1.65,1.0191,222520.0,0.0,1.0
2007-12-12,1.65,1.7,1.64,1.7,1.0499,197002.0,0.0,1.0
2007-12-13,1.68,1.735,1.68,1.735,1.0716,144968.0,0.0,1.0
2007-12-14,1.7,1.71,1.68,1.71,1.0561,175471.0,0.0,1.0
2007-12-17,1.71,1.74,1.7,1.74,1.0746,219851.0,0.0,1.0
2007-12-18,1.72,1.74,1.635,1.7,1.0499,785400.0,0.0,1.0
2007-12-19,1.7,1.71,1.7,1.71,1.0561,172160.0,0.0,1.0
2007-12-20,1.67,1.7,1.67,1.7,1.0499,155594.0,0.0,1.0
2007-12-21,1.7,1.8,1.67,1.8,1.1117,350996.0,0.0,1.0
2007-12-24,1.8,1.8,1.77,1.8,1.1117,52675.0,0.0,1.0
2007-12-27,1.8,1.835,1.8,1.835,1.1333,22378.0,0.0,1.0
2007-12-28,1.835,1.835,1.81,1.835,1.1333,54922.0,0.0,1.0
2007-12-31,1.82,1.82,1.8,1.82,1.1241,36810.0,0.0,1.0
2008-01-02,1.835,1.835,1.8,1.8,1.1117,60908.0,0.0,1.0
2008-01-03,1.8,1.8,1.71,1.71,1.0561,12812.0,0.0,1.0
2008-01-04,1.725,1.795,1.725,1.75,1.0808,29726.0,0.0,1.0
2008-01-07,1.75,1.75,1.72,1.73,1.0685,192172.0,0.0,1.0
2008-01-08,1.75,1.75,1.73,1.73,1.0685,138290.0,0.0,1.0
2008-01-09,1.73,1.73,1.7,1.71,1.0561,272000.0,0.0,1.0
2008-01-10,1.75,1.75,1.7,1.7,1.0499,75625.0,0.0,1.0
