date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2005-11-16,2.286,2.286,2.286,2.286,0.7616,0.0,0.0,1.0
2005-11-17,1.9637,2.0311,1.9637,2.0236,0.6742,4826929.0,0.0,1.0
2005-11-18,2.0236,2.0386,2.0086,2.0386,0.6792,4713584.0,0.0,1.0
2005-11-21,2.0236,2.0236,2.0011,2.0011,0.6667,4148372.0,0.0,1.0
2005-11-22,2.0011,2.0011,1.9562,1.9862,0.6617,3861008.0,0.0,1.0
2005-11-23,1.9787,2.0086,1.9787,2.0086,0.6692,1679234.0,0.0,1.0
2005-11-24,2.0086,2.0761,2.0086,2.0611,0.6867,3021448.0,0.0,1.0
2005-11-25,2.0611,2.0761,2.0461,2.0611,0.6867,502302.0,0.0,1.0
2005-11-28,2.0611,2.0686,2.0386,2.0611,0.6867,927369.0,0.0,1.0
2005-11-29,2.0611,2.0686,2.0461,2.0611,0.6867,1693341.0,0.0,1.0
2005-11-30,2.0611,2.0686,2.0536,2.0536,0.6842,1004029.0,0.0,1.0
2005-12-01,2.0461,2.0686,2.0461,2.0611,0.6867,769413.0,0.0,1.0
2005-12-02,2.0611,2.0611,2.0461,2.0536,0.6842,52909.0,0.0,1.0
2005-12-05,2.0536,2.0536,2.0386,2.0536,0.6842,339229.0,0.0,1.0
2005-12-06,2.0386,2.0611,2.0386,2.0386,0.6792,373919.0,0.0,1.0
2005-12-07,2.0386,2.0536,2.0311,2.0536,0.6842,615124.0,0.0,1.0
2005-12-08,2.0461,2.0461,1.9862,2.0236,0.6742,89879.0,0.0,1.0
2005-12-09,2.0011,2.0236,2.0011,2.0011,0.6667,21348.0,0.0,1.0
2005-12-12,2.0236,2.0236,2.0011,2.0236,0.6742,145752.0,0.0,1.0
2005-12-13,2.0086,2.0311,2.0086,2.0311,0.6767,240929.0,0.0,1.0
2005-12-14,2.0236,2.0311,2.0236,2.0236,0.6742,192108.0,0.0,1.0
2005-12-15,2.0236,2.0311,2.0161,2.0161,0.6717,852966.0,0.0,1.0
2005-12-16,2.0086,2.0086,2.0086,2.0086,0.6692,94334.0,0.0,1.0
2005-12-19,2.0311,2.1061,2.0311,2.0986,0.6991,6128296.0,0.0,1.0
