date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,0.6001,0.627,0.5912,0.6091,0.6091,1122443.0,0.0,1.0
2000-01-05,0.6091,0.6181,0.5195,0.5643,0.5643,1587238.0,0.0,1.0
2000-01-06,0.5822,0.5912,0.5464,0.5464,0.5464,1439557.0,0.0,1.0
2000-01-07,0.5733,0.5822,0.5464,0.5554,0.5554,1601710.0,0.0,1.0
2000-01-10,0.5464,0.5643,0.5374,0.5374,0.5374,756728.0,0.0,1.0
2000-01-11,0.5374,0.5374,0.4568,0.4927,0.4927,1009639.0,0.0,1.0
2000-01-12,0.4837,0.4837,0.421,0.4747,0.4747,1217694.0,0.0,1.0
2000-01-13,0.4747,0.4837,0.3762,0.3941,0.3941,2150744.0,0.0,1.0
2000-01-14,0.4031,0.4479,0.3941,0.4389,0.4389,988125.0,0.0,1.0
2000-01-17,0.4568,0.5106,0.421,0.4658,0.4658,7001537.0,0.0,1.0
2000-01-18,0.4837,0.5016,0.4568,0.4837,0.4837,1622236.0,0.0,1.0
2000-01-19,0.4837,0.4837,0.4568,0.4658,0.4658,765406.0,0.0,1.0
2000-01-20,0.4658,0.4747,0.4568,0.4658,0.4658,421701.0,0.0,1.0
2000-01-21,0.4747,0.5106,0.4747,0.5106,0.5106,1758775.0,0.0,1.0
2000-01-24,0.5195,0.5643,0.5106,0.5106,0.5106,1614868.0,0.0,1.0
2000-01-25,0.5106,0.5285,0.4927,0.5195,0.5195,426854.0,0.0,1.0
2000-01-26,0.5576,0.5576,0.5576,0.5576,0.5576,0.0,0.0,1.0
2000-01-27,0.5285,0.5374,0.5195,0.5285,0.5285,508994.0,0.0,1.0
2000-01-28,0.5374,0.5464,0.5106,0.5195,0.5195,869414.0,0.0,1.0
2000-01-31,0.5195,0.5285,0.4927,0.4927,0.4927,531481.0,0.0,1.0
2000-02-01,0.5016,0.5106,0.4837,0.4927,0.4927,384990.0,0.0,1.0
2000-02-02,0.4927,0.5106,0.4837,0.4837,0.4837,523769.0,0.0,1.0
2000-02-03,0.4927,0.5016,0.4837,0.4837,0.4837,239045.0,0.0,1.0
2000-02-04,0.4927,0.5016,0.4837,0.4927,0.4927,262515.0,0.0,1.0
2000-02-07,0.5016,0.5106,0.4747,0.5106,0.5106,387474.0,0.0,1.0
2000-02-08,0.5106,0.5106,0.4837,0.4837,0.4837,218757.0,0.0,1.0
2000-02-09,0.4837,0.4927,0.4658,0.4658,0.4658,284731.0,0.0,1.0
2000-02-10,0.4747,0.4927,0.4658,0.4658,0.4658,211658.0,0.0,1.0
2000-02-11,0.4658,0.4927,0.4658,0.4927,0.4927,276080.0,0.0,1.0
2000-02-14,0.4927,0.4927,0.4658,0.4658,0.4658,176086.0,0.0,1.0
2000-02-15,0.4927,0.4927,0.4658,0.4658,0.4658,144622.0,0.0,1.0
2000-02-16,0.4658,0.4747,0.4389,0.4747,0.4747,596193.0,0.0,1.0
2000-02-17,0.4747,0.4747,0.4389,0.4479,0.4479,429621.0,0.0,1.0
2000-02-18,0.4479,0.4568,0.4479,0.4479,0.4479,396375.0,0.0,1.0
2000-02-21,0.4568,0.4568,0.4389,0.4389,0.4389,509771.0,0.0,1.0
2000-02-22,0.4389,0.4479,0.421,0.4389,0.4389,398317.0,0.0,1.0
2000-02-23,0.4389,0.4389,0.412,0.421,0.421,336312.0,0.0,1.0
2000-02-24,0.421,0.4389,0.412,0.4389,0.4389,282986.0,0.0,1.0
2000-02-25,0.4389,0.4658,0.4389,0.4658,0.4658,515701.0,0.0,1.0
2000-02-28,0.4837,0.5733,0.4837,0.5643,0.5643,3148909.0,0.0,1.0
2000-02-29,0.5822,0.5822,0.5106,0.5285,0.5285,968350.0,0.0,1.0
2000-03-01,0.5195,0.5554,0.4837,0.5106,0.5106,1027819.0,0.0,1.0
2000-03-02,0.5106,0.5554,0.5106,0.5285,0.5285,1641086.0,0.0,1.0
2000-03-03,0.5374,0.5554,0.5374,0.5554,0.5554,1101984.0,0.0,1.0
2000-03-06,0.5733,0.6091,0.5643,0.6091,0.6091,1853497.0,0.0,1.0
2000-03-07,0.6181,0.6181,0.5733,0.6001,0.6001,1358545.0,0.0,1.0
2000-03-08,0.5822,0.5912,0.5554,0.5733,0.5733,1338551.0,0.0,1.0
2000-03-09,0.5822,0.5912,0.5733,0.5733,0.5733,496015.0,0.0,1.0
