date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,4.8312,4.8321,4.6729,4.7057,0.5764,1511751.0,0.0,1.0
2000-01-05,4.5943,4.6589,4.5933,4.6495,0.5695,1210460.0,0.0,1.0
2000-01-06,4.6823,4.6823,4.5933,4.6027,0.5637,1389026.0,0.0,1.0
2000-01-07,4.6645,4.6645,4.5465,4.598,0.5632,2539992.0,0.0,1.0
2000-01-10,4.6355,4.6589,4.5887,4.627,0.5667,2005086.0,0.0,1.0
2000-01-11,4.6622,4.6622,4.495,4.5044,0.5517,3476871.0,0.0,1.0
2000-01-12,4.5418,4.5933,4.4997,4.5091,0.5523,2635236.0,0.0,1.0
2000-01-13,4.5184,4.5418,4.4669,4.4997,0.5511,2886316.0,0.0,1.0
2000-01-14,4.5802,4.5802,4.4482,4.4749,0.5481,1406817.0,0.0,1.0
2000-01-17,4.5493,4.5493,4.3733,4.4529,0.5454,3556274.0,0.0,1.0
2000-01-18,4.4529,4.495,4.3545,4.4248,0.542,2856925.0,0.0,1.0
2000-01-19,4.3967,4.4014,4.3592,4.3779,0.5362,2087037.0,0.0,1.0
2000-01-20,4.3733,4.495,4.3592,4.399,0.5388,4685558.0,0.0,1.0
2000-01-21,4.392,4.4014,4.3545,4.3639,0.5345,1968221.0,0.0,1.0
2000-01-24,4.3545,4.3545,4.2656,4.2843,0.5247,1623777.0,0.0,1.0
2000-01-25,4.2609,4.2609,4.1813,4.2253,0.5175,5501466.0,0.0,1.0
2000-01-26,4.2253,4.2253,4.2253,4.2253,0.5175,0.0,0.0,1.0
2000-01-27,4.2333,4.2333,4.1485,4.1485,0.5081,1966098.0,0.0,1.0
2000-01-28,4.1438,4.1672,4.0783,4.1438,0.5075,5664892.0,0.0,1.0
2000-01-31,4.1162,4.1162,3.9097,3.9874,0.4884,3732920.0,0.0,1.0
2000-02-01,4.0066,4.2047,3.9519,4.2047,0.515,5827704.0,0.0,1.0
2000-02-02,4.3054,4.4678,4.3054,4.4678,0.5472,5557539.0,0.0,1.0
2000-02-03,4.5418,4.5887,4.3077,4.4248,0.542,3139690.0,0.0,1.0
2000-02-04,4.4248,4.4763,4.2965,4.2965,0.5262,956160.0,0.0,1.0
2000-02-07,4.3077,4.3733,4.3077,4.3311,0.5305,716694.0,0.0,1.0
2000-02-08,4.3077,4.3545,4.2937,4.3077,0.5276,2198726.0,0.0,1.0
2000-02-09,4.3105,4.4014,4.1485,4.1672,0.5104,2008398.0,0.0,1.0
2000-02-10,4.1204,4.2141,4.1204,4.1813,0.5121,2588874.0,0.0,1.0
2000-02-11,4.1415,4.1906,4.0408,4.1906,0.5133,3512108.0,0.0,1.0
2000-02-14,4.082,4.1906,4.082,4.1204,0.5047,1862386.0,0.0,1.0
2000-02-15,4.1204,4.1204,4.0127,4.0418,0.495,1354266.0,0.0,1.0
2000-02-16,4.0666,4.0923,3.98,4.0736,0.4989,3024776.0,0.0,1.0
2000-02-17,4.0736,4.1906,4.0549,4.0549,0.4966,1264989.0,0.0,1.0
2000-02-18,4.097,4.097,3.9519,3.98,0.4875,2590542.0,0.0,1.0
2000-02-21,3.9331,4.0455,3.9331,4.0347,0.4942,1421746.0,0.0,1.0
2000-02-22,4.0661,4.1532,4.0549,4.0736,0.4989,2303674.0,0.0,1.0
2000-02-23,4.111,4.3077,4.111,4.2141,0.5161,1768321.0,0.0,1.0
2000-02-24,4.3311,4.5371,4.3077,4.4482,0.5448,3597290.0,0.0,1.0
2000-02-25,4.4599,4.6729,4.4599,4.5606,0.5586,3193879.0,0.0,1.0
2000-02-28,4.5039,4.6121,4.4575,4.5652,0.5592,1426369.0,0.0,1.0
2000-02-29,4.5652,4.5887,4.5184,4.5418,0.5563,3482108.0,0.0,1.0
2000-03-01,4.5606,4.7572,4.5559,4.7525,0.5821,4499312.0,0.0,1.0
2000-03-02,4.7071,4.8228,4.7057,4.7525,0.5821,9736139.0,0.0,1.0
2000-03-03,4.7567,4.7759,4.6823,4.7525,0.5821,3427491.0,0.0,1.0
2000-03-06,4.6823,4.6823,4.5418,4.6121,0.5936,3930650.0,0.0,1.0
2000-03-07,4.5371,4.5371,4.3779,4.4206,0.569,7047042.0,0.0,1.0
