date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,7.0004,7.0004,6.8822,6.8907,2.006,8203436.0,0.0,1.0
2000-01-05,6.7556,6.8147,6.6964,6.7556,1.9667,9600494.0,0.0,1.0
2000-01-06,6.7978,6.8484,6.7133,6.7133,1.9544,9683533.0,0.0,1.0
2000-01-07,6.7007,6.7387,6.5867,6.6204,1.9274,13613336.0,0.0,1.0
2000-01-10,6.7556,6.7556,6.6964,6.7133,1.9544,6067734.0,0.0,1.0
2000-01-11,6.7978,6.8062,6.612,6.6204,1.9274,12444593.0,0.0,1.0
2000-01-12,6.612,6.6711,6.5698,6.5951,1.92,10266631.0,0.0,1.0
2000-01-13,6.5867,6.5951,6.5275,6.5444,1.9052,12394120.0,0.0,1.0
2000-01-14,6.5495,6.6289,6.5444,6.596,1.9202,13770640.0,0.0,1.0
2000-01-17,6.6795,6.7218,6.6458,6.6458,1.9347,8087677.0,0.0,1.0
2000-01-18,6.6458,6.7978,6.6289,6.7978,1.979,8706087.0,0.0,1.0
2000-01-19,6.7978,6.8316,6.7133,6.7336,1.9603,5030030.0,0.0,1.0
2000-01-20,6.7809,6.8484,6.7724,6.8231,1.9864,7570627.0,0.0,1.0
2000-01-21,6.7556,6.8147,6.7387,6.7809,1.9741,9128467.0,0.0,1.0
2000-01-24,6.8037,6.8062,6.6627,6.6711,1.9421,5454952.0,0.0,1.0
2000-01-25,6.6542,6.6627,6.5951,6.6542,1.9372,6223327.0,0.0,1.0
2000-01-26,6.6542,6.6542,6.6542,6.6542,1.9372,0.0,0.0,1.0
2000-01-27,6.6542,6.7556,6.6542,6.7133,1.9544,5658261.0,0.0,1.0
2000-01-28,6.688,6.7302,6.6542,6.6542,1.9372,9736145.0,0.0,1.0
2000-01-31,6.5867,6.5867,6.5022,6.5867,1.9175,14820536.0,0.0,1.0
2000-02-01,6.5867,6.5867,6.46,6.4853,1.888,11015827.0,0.0,1.0
2000-02-02,6.4853,6.5022,6.3418,6.4085,1.8657,13457788.0,0.0,1.0
2000-02-03,6.1644,6.2911,6.1138,6.2489,1.8192,27841435.0,0.0,1.0
2000-02-04,6.2539,6.3502,6.2067,6.2067,1.8069,10094326.0,0.0,1.0
2000-02-07,6.2438,6.2658,6.1138,6.1475,1.7897,12463032.0,0.0,1.0
2000-02-08,6.1222,6.1475,6.0378,6.1138,1.7799,8441854.0,0.0,1.0
2000-02-09,6.1222,6.1813,6.0547,6.0631,1.7651,14209896.0,0.0,1.0
2000-02-10,6.0631,6.2911,6.0293,6.2658,1.8241,22184005.0,0.0,1.0
2000-02-11,6.5107,6.6795,6.4178,6.6627,1.9397,37151072.0,0.0,1.0
2000-02-14,6.5867,6.688,6.5613,6.6373,1.9323,19428855.0,0.0,1.0
2000-02-15,6.7285,6.7285,6.5275,6.6213,1.9276,11179857.0,0.0,1.0
2000-02-16,6.5867,6.6036,6.3587,6.4178,1.8684,10102042.0,0.0,1.0
2000-02-17,6.3604,6.4684,6.3164,6.4178,1.8684,10407509.0,0.0,1.0
2000-02-18,6.4178,6.536,6.3595,6.3595,1.8514,8380346.0,0.0,1.0
2000-02-21,6.2548,6.3587,6.2548,6.2827,1.829,8358775.0,0.0,1.0
2000-02-22,6.2489,6.2911,6.2151,6.2227,1.8116,10044555.0,0.0,1.0
2000-02-23,6.2151,6.4009,6.2151,6.3587,1.8512,6925030.0,0.0,1.0
2000-02-24,6.46,6.4684,6.3671,6.4093,1.8659,10735944.0,0.0,1.0
2000-02-25,6.3924,6.5275,6.3164,6.4769,1.8856,15156101.0,0.0,1.0
2000-02-28,6.4262,6.5107,6.4009,6.4178,1.8684,7517180.0,0.0,1.0
2000-02-29,6.4845,6.4938,6.4178,6.4532,1.8787,13851182.0,0.0,1.0
2000-03-01,6.46,6.5191,6.4178,6.4904,1.8895,9275804.0,0.0,1.0
2000-03-02,6.5191,6.5275,6.3671,6.4431,1.8757,17085207.0,0.0,1.0
2000-03-03,6.5867,6.7049,6.5022,6.6289,1.9298,29328257.0,0.0,1.0
2000-03-06,6.9244,7.2115,6.8907,7.2056,2.0977,38815026.0,0.0,1.0
2000-03-07,7.2876,7.4142,7.2284,7.3551,2.1412,52945264.0,0.0,1.0
2000-03-08,7.1778,7.2453,6.8822,6.932,2.0181,18116987.0,0.0,1.0
2000-03-09,6.7556,6.8822,6.6542,6.8214,1.9859,20263688.0,0.0,1.0
2000-03-10,6.8822,6.9244,6.7556,6.7556,1.9667,14148691.0,0.0,1.0
2000-03-13,6.704,6.7471,6.5917,6.5917,1.919,8430618.0,0.0,1.0
2000-03-14,6.5275,6.5867,6.5022,6.536,1.9028,10097453.0,0.0,1.0
2000-03-15,6.4009,6.4853,6.384,6.4009,1.8634,16676149.0,0.0,1.0
2000-03-16,6.4178,6.6458,6.4178,6.6204,1.9274,9107292.0,0.0,1.0
2000-03-17,6.7556,6.7556,6.5546,6.5546,1.9082,13964509.0,0.0,1.0
2000-03-20,6.5022,6.536,6.4347,6.4938,1.9138,11015252.0,0.0,1.0
2000-03-21,6.5444,6.6964,6.5444,6.6204,1.9512,8609425.0,0.0,1.0
2000-03-22,6.6618,6.7218,6.5698,6.6534,1.9609,9201903.0,0.0,1.0
2000-03-23,6.6373,6.6795,6.5444,6.5867,1.9412,8294877.0,0.0,1.0
2000-03-24,6.5867,6.6204,6.4938,6.536,1.9263,6922817.0,0.0,1.0
2000-03-27,6.4836,6.5444,6.4431,6.46,1.9039,16750498.0,0.0,1.0
2000-03-28,6.4178,6.5808,6.4178,6.5808,1.9395,13828753.0,0.0,1.0
2000-03-29,6.5275,6.6542,6.5275,6.6289,1.9537,13529605.0,0.0,1.0
2000-03-30,6.6711,6.6795,6.5444,6.5698,1.9362,11525639.0,0.0,1.0
2000-03-31,6.5275,6.5444,6.4178,6.4178,1.8915,27766726.0,0.0,1.0
2000-04-03,6.5073,6.5647,6.46,6.5647,1.9348,9323390.0,0.0,1.0
2000-04-04,6.5022,6.5022,6.4178,6.4853,1.9114,10308890.0,0.0,1.0
2000-04-05,6.384,6.4431,6.3502,6.4262,1.8939,11731455.0,0.0,1.0
2000-04-06,6.4347,6.4516,6.3249,6.3587,1.874,10697983.0,0.0,1.0
2000-04-07,6.4119,6.4769,6.384,6.4769,1.9089,9861459.0,0.0,1.0
2000-04-10,6.384,6.4516,6.3755,6.4347,1.8964,9045480.0,0.0,1.0
2000-04-11,6.3494,6.4178,6.3333,6.3502,1.8715,7166472.0,0.0,1.0
2000-04-12,6.3249,6.5275,6.3164,6.4516,1.9014,4999450.0,0.0,1.0
2000-04-13,6.3333,6.3333,6.2236,6.2573,1.8442,23171080.0,0.0,1.0
2000-04-14,6.2911,6.3333,6.2151,6.3249,1.8641,10550399.0,0.0,1.0
2000-04-17,5.8689,6.1138,5.8689,6.0124,1.772,21469944.0,0.0,1.0
2000-04-18,6.2489,6.2489,6.1222,6.2067,1.8292,14313957.0,0.0,1.0
2000-04-19,6.221,6.384,6.221,6.3755,1.879,14948661.0,0.0,1.0
2000-04-20,6.3333,6.4009,6.2995,6.3502,1.8715,7384419.0,0.0,1.0
2000-04-21,6.3502,6.3502,6.3502,6.3502,1.8715,0.0,0.0,1.0
2000-04-24,6.3502,6.3502,6.3502,6.3502,1.8715,0.0,0.0,1.0
2000-04-25,6.3502,6.3502,6.3502,6.3502,1.8715,0.0,0.0,1.0
2000-04-26,6.4085,6.449,6.3249,6.449,1.9007,12037543.0,0.0,1.0
2000-04-27,6.4279,6.4347,6.2911,6.3164,1.8616,10910854.0,0.0,1.0
2000-04-28,6.2489,6.2658,6.156,6.1982,1.8267,15231638.0,0.0,1.0
2000-05-01,6.1307,6.2658,6.1307,6.2067,1.8292,5855150.0,0.0,1.0
2000-05-02,6.2236,6.232,6.0716,6.0884,1.7944,12960141.0,0.0,1.0
2000-05-03,5.9111,6.0209,5.9111,5.9677,1.7588,16262657.0,0.0,1.0
2000-05-04,5.8942,5.9449,5.8689,5.8942,1.7371,11944812.0,0.0,1.0
2000-05-05,5.8689,5.9027,5.8267,5.8689,1.7297,12187377.0,0.0,1.0
2000-05-08,5.8858,5.8942,5.7591,5.8013,1.7098,18532054.0,0.0,1.0
2000-05-09,5.7253,5.7507,5.6578,5.6578,1.6675,16963226.0,0.0,1.0
2000-05-10,5.5311,5.6324,5.4804,5.5818,1.6451,19388542.0,0.0,1.0
2000-05-11,5.4889,5.776,5.4889,5.7,1.6799,11448822.0,0.0,1.0
2000-05-12,5.8309,5.8773,5.8098,5.8402,1.7212,7562319.0,0.0,1.0
2000-05-15,5.8435,5.8604,5.6578,5.7338,1.6899,7993782.0,0.0,1.0
2000-05-16,5.7887,5.8098,5.7169,5.7338,1.6899,6852915.0,0.0,1.0
2000-05-17,5.7422,5.7507,5.548,5.586,1.6463,10369127.0,0.0,1.0
2000-05-18,5.5311,5.624,5.5311,5.5818,1.6451,7984557.0,0.0,1.0
2000-05-19,5.5733,5.6071,5.5564,5.5564,1.6376,8125608.0,0.0,1.0
2000-05-22,5.4889,5.5564,5.4889,5.4906,1.6182,7418463.0,0.0,1.0
2000-05-23,5.5311,5.6324,5.5227,5.6155,1.655,9118722.0,0.0,1.0
2000-05-24,5.5227,5.5733,5.5142,5.5311,1.6301,9381375.0,0.0,1.0
2000-05-25,5.6578,5.7422,5.5733,5.7338,1.6899,12080212.0,0.0,1.0
2000-05-26,5.7,5.8013,5.6831,5.7675,1.6998,16062444.0,0.0,1.0
2000-05-29,5.7844,5.8942,5.7844,5.8773,1.7322,9576705.0,0.0,1.0
2000-05-30,5.9027,5.9787,5.852,5.8689,1.7297,8483048.0,0.0,1.0
2000-05-31,5.9871,5.9871,5.7422,5.7422,1.6923,13850419.0,0.0,1.0
2000-06-01,5.7422,5.8858,5.7169,5.8435,1.7222,8690768.0,0.0,1.0
2000-06-02,5.8773,5.9196,5.8013,5.8072,1.7115,9359583.0,0.0,1.0
2000-06-05,5.9027,5.9027,5.8013,5.8013,1.7098,5214237.0,0.0,1.0
2000-06-06,5.8013,5.8098,5.7084,5.7675,1.6998,6833623.0,0.0,1.0
2000-06-07,5.7675,5.7929,5.7338,5.7844,1.7048,7114010.0,0.0,1.0
2000-06-08,5.8267,5.8773,5.8013,5.8604,1.7272,9377333.0,0.0,1.0
