date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,0.98,0.9833,0.9533,0.9733,0.4995,371382.0,0.0,1.0
2000-01-05,0.9033,0.9433,0.9033,0.92,0.4722,1214742.0,0.0,1.0
2000-01-06,0.9167,0.9267,0.9167,0.9167,0.4705,998793.0,0.0,1.0
2000-01-07,0.9167,0.9167,0.8533,0.8667,0.4448,672978.0,0.0,1.0
2000-01-10,0.9,0.9167,0.8833,0.8833,0.4534,5208162.0,0.0,1.0
2000-01-11,0.9,0.9167,0.8667,0.88,0.4516,496404.0,0.0,1.0
2000-01-12,0.8767,0.9467,0.85,0.8767,0.4499,652455.0,0.0,1.0
2000-01-13,0.8833,0.8833,0.83,0.8333,0.4277,780144.0,0.0,1.0
2000-01-14,0.8633,0.8667,0.8,0.8167,0.4191,764211.0,0.0,1.0
2000-01-17,0.8467,0.9,0.8367,0.9,0.4619,651471.0,0.0,1.0
2000-01-18,0.9033,0.9167,0.9,0.9,0.4619,300774.0,0.0,1.0
2000-01-19,0.9,0.9033,0.8667,0.8733,0.4482,207849.0,0.0,1.0
2000-01-20,0.8733,0.8733,0.8567,0.8567,0.4397,223650.0,0.0,1.0
2000-01-21,0.8433,0.86,0.8333,0.86,0.4414,250965.0,0.0,1.0
2000-01-24,0.8667,0.9,0.8667,0.8867,0.4551,503586.0,0.0,1.0
2000-01-25,0.8933,0.8933,0.8667,0.8667,0.4448,334896.0,0.0,1.0
2000-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-01-27,0.8733,0.9,0.8733,0.9,0.4619,486855.0,0.0,1.0
2000-01-28,0.8967,0.8967,0.8733,0.8833,0.4534,476100.0,0.0,1.0
2000-01-31,0.8767,0.89,0.8733,0.8767,0.4499,276969.0,0.0,1.0
2000-02-01,0.8767,0.9,0.8667,0.9,0.4619,240921.0,0.0,1.0
2000-02-02,0.9,0.9,0.88,0.8833,0.4534,146271.0,0.0,1.0
2000-02-03,0.8833,0.89,0.8833,0.8833,0.4534,427950.0,0.0,1.0
2000-02-04,0.89,0.9067,0.8833,0.8867,0.4551,488217.0,0.0,1.0
2000-02-07,0.8933,0.8967,0.8833,0.8833,0.4534,290400.0,0.0,1.0
2000-02-08,0.8867,0.9167,0.8867,0.9033,0.4636,623580.0,0.0,1.0
2000-02-09,0.91,0.9767,0.91,0.9767,0.5013,1376766.0,0.0,1.0
2000-02-10,0.9833,1.0433,0.9833,1.0333,0.5303,1605201.0,0.0,1.0
2000-02-11,1.0333,1.1467,1.0333,1.0933,0.5611,1193466.0,0.0,1.0
2000-02-14,1.0667,1.0667,1.0333,1.0567,0.5423,268824.0,0.0,1.0
2000-02-15,1.0567,1.0633,1.0233,1.05,0.5389,346215.0,0.0,1.0
2000-02-16,1.05,1.0933,1.0,1.0,0.5132,540453.0,0.0,1.0
2000-02-17,1.0067,1.01,0.9333,0.96,0.4927,164169.0,0.0,1.0
2000-02-18,0.95,0.9767,0.95,0.9533,0.4893,276681.0,0.0,1.0
2000-02-21,0.9267,0.9533,0.9167,0.95,0.4876,203880.0,0.0,1.0
2000-02-22,0.9833,0.9833,0.95,0.95,0.4876,113784.0,0.0,1.0
2000-02-23,0.9367,0.94,0.92,0.92,0.4722,225564.0,0.0,1.0
2000-02-24,0.9533,1.0067,0.9533,1.0067,0.5167,375072.0,0.0,1.0
2000-02-25,1.0033,1.0033,0.9833,0.99,0.5081,386088.0,0.0,1.0
2000-02-28,0.99,0.99,0.9467,0.95,0.4876,290100.0,0.0,1.0
2000-02-29,0.95,0.9533,0.94,0.95,0.4876,182850.0,0.0,1.0
2000-03-01,0.9667,0.9667,0.95,0.95,0.4876,303690.0,0.0,1.0
2000-03-02,0.9667,0.9667,0.95,0.9633,0.4944,170730.0,0.0,1.0
2000-03-03,0.9667,1.0033,0.9633,0.9833,0.5047,611952.0,0.0,1.0
2000-03-06,1.0067,1.0167,0.99,1.0,0.5132,596091.0,0.0,1.0
2000-03-07,1.0,1.0,0.95,0.9667,0.4961,334827.0,0.0,1.0
2000-03-08,0.9633,0.9667,0.9467,0.9667,0.4961,460170.0,0.0,1.0
2000-03-09,2.8939,2.8939,2.8028,2.8428,1.459,205644.0,0.0,1.0
2000-03-10,0.95,0.9567,0.9333,0.9367,0.4807,252750.0,0.0,1.0
2000-03-13,0.94,0.9567,0.9367,0.95,0.4876,220734.0,0.0,1.0
2000-03-14,0.95,1.0,0.95,1.0,0.5132,470511.0,0.0,1.0
2000-03-15,0.98,1.0333,0.9667,0.9933,0.5098,907779.0,0.0,1.0
2000-03-16,0.9933,0.9933,0.9667,0.99,0.5081,244620.0,0.0,1.0
2000-03-17,0.9933,0.9933,0.9633,0.9633,0.4944,176100.0,0.0,1.0
2000-03-20,0.9667,0.9667,0.95,0.9633,0.4944,71700.0,0.0,1.0
2000-03-21,0.96,0.9667,0.9533,0.9533,0.4893,62850.0,0.0,1.0
2000-03-22,0.95,0.9833,0.95,0.96,0.4927,265410.0,0.0,1.0
2000-03-23,0.9867,0.9933,0.9567,0.9933,0.5098,248481.0,0.0,1.0
2000-03-24,0.99,1.0833,0.9667,1.0667,0.5474,2475999.0,0.0,1.0
2000-03-27,1.0933,1.1,1.06,1.0667,0.5474,666297.0,0.0,1.0
2000-03-28,1.07,1.0767,1.0367,1.0567,0.5423,5195850.0,0.0,1.0
2000-03-29,1.0467,1.1733,1.0467,1.1667,0.5988,1195827.0,0.0,1.0
2000-03-30,1.15,1.3033,1.1333,1.28,0.6569,981078.0,0.0,1.0
2000-03-31,1.2467,1.2833,1.1833,1.2833,0.6586,1099920.0,0.0,1.0
2000-04-03,1.29,1.29,1.1833,1.2467,0.6398,648804.0,0.0,1.0
2000-04-04,1.1667,1.1667,0.9933,1.0767,0.5526,2052045.0,0.0,1.0
2000-04-05,1.0433,1.0433,0.94,0.9833,0.5047,1194222.0,0.0,1.0
2000-04-06,1.0267,1.0267,0.9833,0.9933,0.5098,926682.0,0.0,1.0
2000-04-07,1.0667,1.1,1.0667,1.0867,0.5577,547149.0,0.0,1.0
2000-04-10,1.15,1.15,1.1333,1.1333,0.5817,560010.0,0.0,1.0
2000-04-11,1.05,1.05,1.02,1.05,0.5389,272700.0,0.0,1.0
2000-04-12,1.0233,1.0333,1.0,1.0333,0.5303,368733.0,0.0,1.0
2000-04-13,1.0,1.0,0.9567,0.97,0.4978,733935.0,0.0,1.0
2000-04-14,0.97,0.97,0.9533,0.96,0.4927,951264.0,0.0,1.0
2000-04-17,0.72,0.8,0.7,0.7,0.3593,1222641.0,0.0,1.0
2000-04-18,0.8667,0.89,0.7833,0.8867,0.4551,970938.0,0.0,1.0
2000-04-19,0.95,0.96,0.9,0.9267,0.4756,644505.0,0.0,1.0
2000-04-20,0.9367,0.9433,0.88,0.9133,0.4687,1754472.0,0.0,1.0
2000-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-04-26,0.9133,0.9133,0.9,0.9033,0.4636,404493.0,0.0,1.0
2000-04-27,0.9167,0.9167,0.8867,0.8867,0.4551,176205.0,0.0,1.0
