date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2001-05-09,0.2152,0.2152,0.2152,0.2152,0.1278,0.0,0.0,1.0
2001-05-10,0.2751,0.3046,0.2555,0.28,0.1663,5424000.0,0.0,1.0
2001-05-11,0.2849,0.2849,0.2702,0.2751,0.1634,923402.0,0.0,1.0
2001-05-14,0.2751,0.2849,0.2751,0.28,0.1663,569463.0,0.0,1.0
2001-05-15,0.28,0.2849,0.2702,0.2751,0.1634,447625.0,0.0,1.0
2001-05-16,0.2751,0.2751,0.2653,0.2653,0.1576,1507835.0,0.0,1.0
2001-05-17,0.2702,0.2751,0.2653,0.2653,0.1576,679836.0,0.0,1.0
2001-05-18,0.2751,0.2751,0.2653,0.2751,0.1634,200897.0,0.0,1.0
2001-05-21,0.2653,0.2702,0.2653,0.2702,0.1605,405561.0,0.0,1.0
2001-05-22,0.2751,0.2751,0.2702,0.2702,0.1605,82842.0,0.0,1.0
2001-05-23,0.2751,0.2751,0.2653,0.2653,0.1576,404135.0,0.0,1.0
2001-05-24,0.2653,0.2702,0.2604,0.2702,0.1605,130420.0,0.0,1.0
2001-05-25,0.2653,0.2751,0.2653,0.2751,0.1634,149451.0,0.0,1.0
2001-05-28,0.2702,0.2702,0.2653,0.2702,0.1605,126064.0,0.0,1.0
2001-05-29,0.2702,0.2702,0.2604,0.2604,0.1547,107712.0,0.0,1.0
2001-05-30,0.2653,0.2702,0.2653,0.2653,0.1576,101772.0,0.0,1.0
2001-05-31,0.2653,0.2702,0.2653,0.2653,0.1576,465606.0,0.0,1.0
2001-06-01,0.2653,0.2653,0.2604,0.2653,0.1576,176065.0,0.0,1.0
2001-06-04,0.2653,0.2653,0.2555,0.2555,0.1517,134188.0,0.0,1.0
2001-06-05,0.2604,0.2653,0.2604,0.2604,0.1547,242061.0,0.0,1.0
2001-06-06,0.2604,0.2604,0.2555,0.2555,0.1517,122505.0,0.0,1.0
2001-06-07,0.2555,0.2555,0.2555,0.2555,0.1517,173011.0,0.0,1.0
2001-06-08,0.2555,0.2604,0.2456,0.2456,0.1459,902847.0,0.0,1.0
2001-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2001-06-12,0.2456,0.2506,0.2456,0.2506,0.1488,283687.0,0.0,1.0
2001-06-13,0.2456,0.2456,0.2456,0.2456,0.1459,1562708.0,0.0,1.0
2001-06-14,0.2456,0.2456,0.2456,0.2456,0.1459,212848.0,0.0,1.0
2001-06-15,0.2456,0.2506,0.2456,0.2456,0.1459,1006022.0,0.0,1.0
2001-06-18,0.2456,0.2456,0.2456,0.2456,0.1459,554656.0,0.0,1.0
2001-06-19,0.2456,0.2555,0.2456,0.2555,0.1517,341093.0,0.0,1.0
2001-06-20,0.2555,0.2555,0.2506,0.2506,0.1488,33585.0,0.0,1.0
2001-06-21,0.2555,0.2653,0.2555,0.2653,0.1576,181154.0,0.0,1.0
2001-06-22,0.2324,0.2324,0.2324,0.2324,0.1381,0.0,0.0,1.0
2001-06-25,0.2604,0.2702,0.2604,0.2653,0.1576,50885.0,0.0,1.0
2001-06-26,0.2604,0.2653,0.2604,0.2604,0.1547,39080.0,0.0,1.0
2001-06-27,0.2604,0.2653,0.2604,0.2653,0.1576,108590.0,0.0,1.0
2001-06-28,0.2653,0.2653,0.2653,0.2653,0.1576,37655.0,0.0,1.0
2001-06-29,0.2653,0.2653,0.2555,0.2555,0.1517,190313.0,0.0,1.0
2001-07-02,0.2555,0.2604,0.2555,0.2604,0.1547,76837.0,0.0,1.0
2001-07-03,0.2555,0.2555,0.2555,0.2555,0.1517,46225.0,0.0,1.0
2001-07-04,0.2555,0.2555,0.2555,0.2555,0.1517,36637.0,0.0,1.0
2001-07-05,0.2506,0.2506,0.2456,0.2456,0.1459,149604.0,0.0,1.0
2001-07-06,0.2506,0.2506,0.2506,0.2506,0.1488,112712.0,0.0,1.0
2001-07-09,0.2515,0.2515,0.2456,0.2456,0.1459,266642.0,0.0,1.0
2001-07-10,0.2456,0.2456,0.2456,0.2456,0.1459,687978.0,0.0,1.0
2001-07-11,0.2456,0.2456,0.2456,0.2456,0.1459,272748.0,0.0,1.0
2001-07-12,0.2506,0.2506,0.2456,0.2456,0.1459,16283.0,0.0,1.0
2001-07-13,0.2456,0.2456,0.2456,0.2456,0.1459,111948.0,0.0,1.0
2001-07-16,0.2506,0.2506,0.2456,0.2456,0.1459,132303.0,0.0,1.0
2001-07-17,0.2456,0.2456,0.2456,0.2456,0.1459,71097.0,0.0,1.0
2001-07-18,0.2506,0.2555,0.2506,0.2555,0.1517,109913.0,0.0,1.0
