date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2011-05-09,3.3016,3.3016,3.3016,3.3016,2.6825,0.0,0.0,1.0
2011-05-10,3.1542,3.3016,3.0855,3.3016,2.6825,54523339.0,0.0,1.0
2011-05-11,3.3115,3.5571,3.3115,3.4589,2.8102,18427600.0,0.0,1.0
2011-05-12,3.3803,3.4196,3.3115,3.3311,2.7064,18808072.0,0.0,1.0
2011-05-13,3.3311,3.3901,3.3115,3.3901,2.7543,6599847.0,0.0,1.0
2011-05-16,3.3409,3.5768,3.3409,3.5178,2.8581,6233978.0,0.0,1.0
2011-05-17,3.4589,3.5669,3.4589,3.5178,2.8581,9290211.0,0.0,1.0
2011-05-18,3.508,3.5375,3.4589,3.4883,2.8342,8220185.0,0.0,1.0
2011-05-19,3.4687,3.4883,3.4294,3.4392,2.7942,9018205.0,0.0,1.0
2011-05-20,3.449,3.449,3.3409,3.3606,2.7304,3685561.0,0.0,1.0
2011-05-23,3.3409,3.3409,3.1936,3.1936,2.5947,5739813.0,0.0,1.0
2011-05-24,3.0855,3.2132,3.0756,3.1542,2.5627,19092814.0,0.0,1.0
2011-05-25,3.1641,3.2525,3.1641,3.1641,2.5707,11340793.0,0.0,1.0
2011-05-26,3.1936,3.2181,3.1837,3.2034,2.6026,16517195.0,0.0,1.0
2011-05-27,3.2132,3.3606,3.2132,3.3311,2.7064,9053799.0,0.0,1.0
2011-05-30,3.3016,3.3704,3.3016,3.3606,2.7304,3348260.0,0.0,1.0
2011-05-31,3.3311,3.3606,3.282,3.282,2.6665,5316207.0,0.0,1.0
2011-06-01,3.2623,3.3311,3.2623,3.3213,2.6984,3528880.0,0.0,1.0
2011-06-02,3.282,3.3606,3.2722,3.3409,2.7144,14126747.0,0.0,1.0
2011-06-03,3.3704,3.4097,3.3704,3.3999,2.7623,13313232.0,0.0,1.0
2011-06-06,3.3704,3.4392,3.3508,3.4097,2.7703,7560895.0,0.0,1.0
2011-06-07,3.3508,3.4097,3.3508,3.4097,2.7703,5112835.0,0.0,1.0
2011-06-08,3.4097,3.449,3.3901,3.3999,2.7623,16303515.0,0.0,1.0
2011-06-09,3.4196,3.449,3.3803,3.4392,2.7942,9270835.0,0.0,1.0
