date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2018-05-31,14.65,14.87,14.65,14.71,13.9455,202186.0,0.0,1.0
2018-06-01,14.66,14.83,14.61,14.73,13.9644,1980453.0,0.0,1.0
2018-06-04,14.78,14.84,14.46,14.51,13.7559,10481463.0,0.0,1.0
2018-06-05,14.5,14.63,14.47,14.63,13.8696,1117773.0,0.0,1.0
2018-06-06,14.89,14.89,14.73,14.76,13.9929,1056461.0,0.0,1.0
2018-06-07,14.46,14.8,14.46,14.8,14.0308,390610.0,0.0,1.0
2018-06-08,14.6,14.8,14.59,14.78,14.0118,2864210.0,0.0,1.0
2018-06-12,14.52,14.59,14.51,14.54,13.7843,5404827.0,0.0,1.0
2018-06-13,14.4,14.48,14.4,14.44,13.6895,2335112.0,0.0,1.0
2018-06-14,14.61,14.72,14.485,14.64,13.8791,5989017.0,0.0,1.0
2018-06-15,14.73,14.99,14.73,14.81,14.0403,3595069.0,0.0,1.0
2018-06-18,15.03,15.17,14.94,14.96,14.1825,4778900.0,0.0,1.0
2018-06-19,14.82,14.945,14.79,14.87,14.0972,6674814.0,0.0,1.0
2018-06-20,14.83,14.9,14.82,14.87,14.0972,4337632.0,0.0,1.0
2018-06-21,14.92,15.06,14.9,14.94,14.1635,4211372.0,0.0,1.0
2018-06-22,14.77,14.94,14.75,14.76,13.9929,1990753.0,0.0,1.0
2018-06-25,14.81,14.86,14.76,14.84,14.0687,1230281.0,0.0,1.0
2018-06-26,14.85,14.96,14.82,14.82,14.0497,910801.0,0.0,1.0
2018-06-27,14.73,14.92,14.72,14.72,13.9549,826363.0,0.0,1.0
2018-06-28,14.67,14.75,14.67,14.74,13.9739,807229.0,0.0,1.0
2018-06-29,14.72,14.8,14.66,14.67,13.9075,964926.0,0.0,1.0
2018-07-02,14.89,14.96,14.75,14.75,13.9834,843176.0,0.0,1.0
2018-07-03,14.71,14.78,14.65,14.78,14.0118,641326.0,0.0,1.0
2018-07-04,14.71,14.75,14.64,14.69,13.9265,449746.0,0.0,1.0
2018-07-05,14.96,14.96,14.83,14.96,14.1825,754994.0,0.0,1.0
2018-07-06,14.98,15.15,14.85,15.04,14.2583,669798.0,0.0,1.0
2018-07-09,14.92,14.92,14.64,14.8,14.0308,575325.0,0.0,1.0
2018-07-10,14.75,14.8,14.73,14.76,13.9929,1132690.0,0.0,1.0
2018-07-11,14.87,14.89,14.82,14.88,14.1066,821171.0,0.0,1.0
2018-07-12,14.87,14.88,14.71,14.81,14.0403,1036633.0,0.0,1.0
2018-07-13,14.73,14.76,14.64,14.7,13.936,933130.0,0.0,1.0
2018-07-16,14.73,14.73,14.62,14.71,13.9455,1244380.0,0.0,1.0
2018-07-17,14.7,14.72,14.61,14.68,13.917,1421176.0,0.0,1.0
2018-07-18,14.68,14.69,14.6,14.67,13.9075,1185892.0,0.0,1.0
2018-07-19,14.7,14.79,14.66,14.72,13.9549,903892.0,0.0,1.0
2018-07-20,14.75,14.96,14.72,14.81,14.0403,925540.0,0.0,1.0
2018-07-23,14.71,14.72,14.67,14.72,13.9549,734729.0,0.0,1.0
2018-07-24,14.71,14.81,14.7,14.7,13.936,906230.0,0.0,1.0
2018-07-25,14.68,14.69,14.6,14.66,13.8981,1141163.0,0.0,1.0
2018-07-26,14.7,14.9,14.63,14.79,14.0213,1204123.0,0.0,1.0
2018-07-27,14.9,15.0,14.82,14.83,14.0592,824843.0,0.0,1.0
2018-07-30,14.77,14.87,14.73,14.84,14.0687,1790738.0,0.0,1.0
2018-07-31,14.92,15.01,14.81,14.87,14.0972,1380074.0,0.0,1.0
2018-08-01,14.9,15.15,14.88,15.1,14.3152,1757049.0,0.0,1.0
2018-08-02,14.88,14.94,14.84,14.84,14.0687,1681534.0,0.0,1.0
