date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2003-12-05,1.87,1.87,1.87,1.87,1.5127,0.0,0.0,1.0
2003-12-08,1.9947,2.0695,1.9781,2.0196,1.6337,114548642.0,0.0,1.0
2003-12-09,2.0612,2.1027,2.0529,2.0861,1.6875,65966541.0,0.0,1.0
2003-12-10,2.0944,2.1027,2.0778,2.0778,1.6808,17838078.0,0.0,1.0
2003-12-11,2.0778,2.0861,2.0279,2.0362,1.6472,21713204.0,0.0,1.0
2003-12-12,2.0362,2.0446,2.0362,2.0362,1.6472,8325799.0,0.0,1.0
2003-12-15,2.0446,2.0529,1.9947,2.0113,1.627,12899570.0,0.0,1.0
2003-12-16,2.003,2.0113,1.9781,1.9864,1.6068,11418897.0,0.0,1.0
2003-12-17,1.9864,1.9864,1.9365,1.9614,1.5867,11816559.0,0.0,1.0
2003-12-18,1.9531,1.9614,1.9365,1.9531,1.5799,6262400.0,0.0,1.0
2003-12-19,1.9365,1.9448,1.8866,1.9282,1.5598,5888519.0,0.0,1.0
2003-12-22,1.9199,1.9614,1.9199,1.9282,1.5598,3405044.0,0.0,1.0
2003-12-23,1.9448,1.9448,1.9282,1.9365,1.5665,1821604.0,0.0,1.0
2003-12-24,1.9365,1.9448,1.9282,1.9282,1.5598,922071.0,0.0,1.0
2003-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-12-29,1.9282,1.9282,1.9116,1.9199,1.553,861769.0,0.0,1.0
2003-12-30,1.9282,1.9698,1.9282,1.9698,1.5934,2672689.0,0.0,1.0
2003-12-31,1.9614,1.9864,1.9531,1.9781,1.6001,1219631.0,0.0,1.0
2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2004-01-02,1.9614,1.9698,1.9531,1.9531,1.5799,265869.0,0.0,1.0
2004-01-05,1.9531,1.9531,1.9282,1.9448,1.5732,1170245.0,0.0,1.0
2004-01-06,1.9531,1.9864,1.9448,1.9781,1.6001,4324483.0,0.0,1.0
2004-01-07,1.9781,2.0113,1.9698,2.0113,1.627,4445194.0,0.0,1.0
2004-01-08,2.0362,2.0695,2.0362,2.0446,1.6539,6834973.0,0.0,1.0
2004-01-09,2.0612,2.1526,2.0612,2.1526,1.7413,11375795.0,0.0,1.0
2004-01-12,2.136,2.136,2.1194,2.1194,1.7144,3978152.0,0.0,1.0
2004-01-13,2.1194,2.1526,2.1194,2.136,1.7278,4536185.0,0.0,1.0
2004-01-14,2.136,2.1443,2.1277,2.1443,1.7346,5018487.0,0.0,1.0
2004-01-15,2.136,2.136,2.1194,2.1194,1.7144,2923249.0,0.0,1.0
2004-01-16,2.1277,2.1609,2.1194,2.1609,1.748,3220229.0,0.0,1.0
2004-01-19,2.1609,2.1692,2.1443,2.1526,1.7413,4036957.0,0.0,1.0
2004-01-20,2.1526,2.1609,2.1526,2.1609,1.748,1694777.0,0.0,1.0
2004-01-21,2.1526,2.1526,2.0861,2.0944,1.6942,2710256.0,0.0,1.0
2004-01-22,2.1111,2.1194,2.0944,2.0944,1.6942,1357368.0,0.0,1.0
2004-01-23,2.1027,2.1111,2.0446,2.1111,1.7077,3074529.0,0.0,1.0
2004-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2004-01-27,2.1027,2.1111,2.0861,2.0944,1.6942,1187449.0,0.0,1.0
2004-01-28,2.0529,2.0612,2.0113,2.0529,1.6606,1365347.0,0.0,1.0
2004-01-29,1.9947,2.0446,1.9947,2.0279,1.6404,1944564.0,0.0,1.0
2004-01-30,2.0362,2.0612,2.0196,2.0362,1.6472,1648375.0,0.0,1.0
2004-02-02,2.0196,2.0362,2.0113,2.0196,1.6337,3782842.0,0.0,1.0
2004-02-03,2.0196,2.0196,1.9781,2.003,1.6203,6282509.0,0.0,1.0
2004-02-04,1.9947,2.003,1.9614,1.9947,1.6135,10823658.0,0.0,1.0
2004-02-05,2.0113,2.0196,1.9947,2.0113,1.627,7633958.0,0.0,1.0
2004-02-06,2.0196,2.0279,2.0196,2.0279,1.6404,482981.0,0.0,1.0
2004-02-09,2.0279,2.0362,1.9781,1.9864,1.6068,1222377.0,0.0,1.0
2004-02-10,1.9947,2.0196,1.9947,2.0113,1.627,603994.0,0.0,1.0
2004-02-11,2.0196,2.0446,2.0196,2.0362,1.6472,1301986.0,0.0,1.0
2004-02-12,2.0362,2.1027,2.0362,2.0944,1.6942,3698361.0,0.0,1.0
2004-02-13,2.0778,2.0944,2.0529,2.0778,1.6808,3554787.0,0.0,1.0
2004-02-16,2.0778,2.0778,2.0446,2.0529,1.6606,169615.0,0.0,1.0
