date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,2.843,2.8824,2.7094,2.7094,1.2338,214369.0,0.0,1.0
2000-01-05,2.7671,2.7671,2.5557,2.5903,1.1796,239920.0,0.0,1.0
2000-01-06,2.6422,2.671,2.5461,2.5941,1.1813,210654.0,0.0,1.0
2000-01-07,2.7719,2.7719,2.5941,2.6422,1.2032,159254.0,0.0,1.0
2000-01-10,2.6422,2.7575,2.6422,2.6998,1.2295,189714.0,0.0,1.0
2000-01-11,2.6998,2.7094,2.5941,2.6133,1.1901,175041.0,0.0,1.0
2000-01-12,2.6133,2.6133,2.4596,2.4788,1.1288,198732.0,0.0,1.0
2000-01-13,2.6643,2.6643,2.4884,2.5941,1.1813,317472.0,0.0,1.0
2000-01-14,2.6037,2.6229,2.5941,2.6037,1.1857,45382.0,0.0,1.0
2000-01-17,2.6585,2.671,2.5941,2.6229,1.1945,40244.0,0.0,1.0
2000-01-18,2.6133,2.6133,2.5653,2.6037,1.1857,73902.0,0.0,1.0
2000-01-19,2.6008,2.6008,2.45,2.5461,1.1595,345583.0,0.0,1.0
2000-01-20,2.5365,2.5845,2.5365,2.5845,1.177,141561.0,0.0,1.0
2000-01-21,2.5941,2.6422,2.5941,2.6422,1.2032,42687.0,0.0,1.0
2000-01-24,2.6422,2.671,2.6422,2.6422,1.2032,83509.0,0.0,1.0
2000-01-25,2.6047,2.6047,2.5461,2.5557,1.1638,52053.0,0.0,1.0
2000-01-26,2.6572,2.6572,2.6572,2.6572,1.2101,0.0,0.0,1.0
2000-01-27,2.5586,2.6229,2.5586,2.5941,1.1813,24678.0,0.0,1.0
2000-01-28,2.6143,2.6422,2.5941,2.6133,1.1901,67096.0,0.0,1.0
2000-01-31,2.5941,2.6133,2.5941,2.6047,1.1862,45147.0,0.0,1.0
2000-02-01,2.5941,2.6037,2.5269,2.5461,1.1595,50335.0,0.0,1.0
2000-02-02,2.5471,2.5471,2.4692,2.4692,1.1245,112804.0,0.0,1.0
