date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2013-06-11,6.07,6.22,6.06,6.2,4.7432,15767366.0,0.0,1.0
2013-06-12,6.2,6.27,6.2,6.22,4.7585,5475758.0,0.0,1.0
2013-06-13,6.25,6.28,6.24,6.25,4.7814,2178333.0,0.0,1.0
2013-06-14,6.27,6.29,6.24,6.28,4.8044,1077987.0,0.0,1.0
2013-06-17,6.3,6.68,6.3,6.47,4.9497,2718886.0,0.0,1.0
2013-06-18,6.51,6.56,6.385,6.42,4.9115,976203.0,0.0,1.0
2013-06-19,6.5,6.65,6.48,6.55,5.0109,845812.0,0.0,1.0
2013-06-20,6.5,6.65,6.48,6.6,5.0492,346021.0,0.0,1.0
2013-06-21,6.49,6.54,6.41,6.49,4.965,394241.0,0.0,1.0
2013-06-24,6.5,6.5,6.25,6.35,4.8579,338583.0,0.0,1.0
2013-06-25,6.26,6.35,6.25,6.33,4.8426,416789.0,0.0,1.0
2013-06-26,6.34,6.46,6.33,6.45,4.9344,1006249.0,0.0,1.0
2013-06-27,6.49,6.64,6.45,6.52,4.988,367531.0,0.0,1.0
2013-06-28,6.51,6.52,6.38,6.45,4.9344,149682.0,0.0,1.0
2013-07-01,6.41,6.57,6.4,6.5,4.9727,299289.0,0.0,1.0
2013-07-02,6.54,6.9,6.54,6.9,5.2787,483553.0,0.0,1.0
2013-07-03,6.9,6.91,6.725,6.9,5.2787,474645.0,0.0,1.0
2013-07-04,6.92,7.3,6.92,7.1,5.4317,409372.0,0.0,1.0
2013-07-05,7.12,7.18,7.01,7.06,5.4011,890576.0,0.0,1.0
2013-07-08,7.07,7.21,7.07,7.13,5.4546,216907.0,0.0,1.0
2013-07-09,7.13,7.22,7.1,7.15,5.4699,326510.0,0.0,1.0
2013-07-10,7.19,7.39,7.17,7.26,5.5541,329476.0,0.0,1.0
2013-07-11,7.35,7.41,7.25,7.35,5.6229,510433.0,0.0,1.0
2013-07-12,7.4,7.46,7.36,7.42,5.6765,364696.0,0.0,1.0
2013-07-15,7.39,7.43,7.3,7.3,5.5847,729360.0,0.0,1.0
2013-07-16,7.31,7.33,7.15,7.26,5.5541,75651.0,0.0,1.0
2013-07-17,7.29,7.3,7.26,7.27,5.5617,555273.0,0.0,1.0
2013-07-18,7.27,7.27,7.1,7.15,5.4699,171323.0,0.0,1.0
2013-07-19,7.15,7.18,6.75,6.85,5.2404,489241.0,0.0,1.0
2013-07-22,6.85,7.2,6.82,7.0,5.3552,295534.0,0.0,1.0
2013-07-23,7.15,7.27,7.09,7.14,5.4623,650914.0,0.0,1.0
2013-07-24,7.12,7.18,7.0,7.1,5.4317,109442.0,0.0,1.0
2013-07-25,7.05,7.05,6.95,7.02,5.3705,150266.0,0.0,1.0
2013-07-26,7.03,7.16,7.03,7.16,5.4776,68887.0,0.0,1.0
2013-07-29,7.16,7.16,7.05,7.16,5.4776,24909.0,0.0,1.0
2013-07-30,7.16,7.16,7.06,7.1,5.4317,92906.0,0.0,1.0
2013-07-31,7.14,7.14,7.05,7.11,5.4393,82540.0,0.0,1.0
2013-08-01,7.11,7.11,7.0,7.04,5.3858,238848.0,0.0,1.0
2013-08-02,7.04,7.1,6.93,7.05,5.3934,89544.0,0.0,1.0
2013-08-05,6.93,7.02,6.93,7.0,5.3552,89095.0,0.0,1.0
2013-08-06,7.01,7.02,6.99,7.02,5.3705,69666.0,0.0,1.0
2013-08-07,7.0,7.01,6.9,6.9,5.2787,320814.0,0.0,1.0
2013-08-08,6.9,7.0,6.85,6.88,5.2634,462364.0,0.0,1.0
2013-08-09,6.85,7.0,6.82,6.94,5.3093,128565.0,0.0,1.0
2013-08-12,6.99,7.0,6.85,6.94,5.3093,119776.0,0.0,1.0
2013-08-13,7.0,7.0,6.94,6.98,5.3399,151322.0,0.0,1.0
2013-08-14,6.95,7.0,6.84,6.89,5.271,171192.0,0.0,1.0
2013-08-15,7.01,7.12,6.9,7.0,5.3552,79326.0,0.0,1.0
2013-08-16,7.0,7.08,6.85,7.07,5.4087,97786.0,0.0,1.0
2013-08-19,7.08,7.2,6.96,7.05,5.3934,199233.0,0.0,1.0
2013-08-20,7.11,7.2,7.05,7.1,5.4317,141005.0,0.0,1.0
2013-08-21,7.15,7.2,7.09,7.11,5.4393,46640.0,0.0,1.0
2013-08-22,7.24,7.24,7.07,7.1,5.4317,90860.0,0.0,1.0
2013-08-23,7.18,7.18,7.05,7.11,5.4393,64116.0,0.0,1.0
2013-08-26,7.2,7.2,7.03,7.09,5.424,86156.0,0.0,1.0
2013-08-27,7.1,7.15,7.0,7.07,5.4087,43077.0,0.0,1.0
2013-08-28,7.1,7.49,7.09,7.48,5.7224,213591.0,0.0,1.0
2013-08-29,7.48,7.48,7.33,7.39,5.6535,100307.0,0.0,1.0
2013-08-30,7.39,7.5,7.34,7.45,5.6994,147337.0,0.0,1.0
2013-09-02,7.5,7.65,7.3,7.5,5.7377,977143.0,0.0,1.0
2013-09-03,7.55,7.69,7.31,7.55,5.7759,111890.0,0.0,1.0
