date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2005-11-01,1.0,1.0,1.0,1.0,0.477,0.0,0.0,1.0
2005-11-02,1.04,1.06,1.0,1.06,0.5056,5517805.0,0.0,1.0
2005-11-03,1.1,1.11,1.05,1.05,0.5008,2134944.0,0.0,1.0
2005-11-04,1.06,1.08,1.05,1.06,0.5056,805970.0,0.0,1.0
2005-11-07,1.065,1.07,1.05,1.05,0.5008,401000.0,0.0,1.0
2005-11-08,1.06,1.06,1.04,1.04,0.496,434000.0,0.0,1.0
2005-11-09,1.04,1.04,1.005,1.03,0.4913,270000.0,0.0,1.0
2005-11-10,1.03,1.03,1.015,1.03,0.4913,336600.0,0.0,1.0
2005-11-11,1.025,1.04,1.025,1.035,0.4937,632400.0,0.0,1.0
2005-11-14,1.04,1.065,1.04,1.065,0.508,856354.0,0.0,1.0
2005-11-15,1.065,1.065,1.05,1.05,0.5008,496500.0,0.0,1.0
2005-11-16,1.055,1.055,1.04,1.05,0.5008,1610000.0,0.0,1.0
2005-11-17,1.05,1.055,1.05,1.055,0.5032,729600.0,0.0,1.0
2005-11-18,1.06,1.11,1.06,1.105,0.527,845700.0,0.0,1.0
2005-11-21,1.11,1.12,1.105,1.12,0.5342,109400.0,0.0,1.0
2005-11-22,1.11,1.12,1.105,1.12,0.5342,715000.0,0.0,1.0
2005-11-23,1.12,1.135,1.12,1.12,0.5342,238693.0,0.0,1.0
2005-11-24,1.11,1.12,1.105,1.105,0.527,83300.0,0.0,1.0
2005-11-25,1.105,1.105,1.1,1.1,0.5247,115000.0,0.0,1.0
2005-11-28,1.105,1.11,1.09,1.09,0.5199,217800.0,0.0,1.0
2005-11-29,1.1,1.11,1.095,1.11,0.5294,3291847.0,0.0,1.0
2005-11-30,1.11,1.115,1.11,1.115,0.5318,115850.0,0.0,1.0
2005-12-01,1.11,1.11,1.11,1.11,0.5294,36000.0,0.0,1.0
2005-12-02,1.11,1.14,1.11,1.13,0.539,566410.0,0.0,1.0
