date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2016-08-03,2.5,2.56,2.46,2.56,2.0956,45691790.0,0.0,1.0
2016-08-04,2.59,2.62,2.58,2.6,2.1283,30925070.0,0.0,1.0
2016-08-05,2.59,2.6,2.52,2.54,2.0792,12295121.0,0.0,1.0
2016-08-08,2.57,2.58,2.54,2.58,2.1119,5008572.0,0.0,1.0
2016-08-09,2.55,2.62,2.54,2.57,2.1037,1762044.0,0.0,1.0
2016-08-10,2.54,2.63,2.51,2.51,2.0546,2897082.0,0.0,1.0
2016-08-11,2.5,2.5,2.47,2.49,2.0383,3290261.0,0.0,1.0
2016-08-12,2.5,2.55,2.5,2.52,2.0628,5522567.0,0.0,1.0
2016-08-15,2.52,2.59,2.52,2.57,2.1037,2486557.0,0.0,1.0
2016-08-16,2.59,2.6,2.57,2.59,2.1201,2549000.0,0.0,1.0
2016-08-17,2.59,2.59,2.53,2.56,2.0956,3302340.0,0.0,1.0
2016-08-18,2.57,2.58,2.56,2.57,2.1037,1503352.0,0.0,1.0
2016-08-19,2.56,2.58,2.56,2.57,2.1037,2407209.0,0.0,1.0
2016-08-22,2.58,2.58,2.54,2.54,2.0792,1845462.0,0.0,1.0
2016-08-23,2.54,2.55,2.515,2.53,2.071,1707956.0,0.0,1.0
2016-08-24,2.53,2.58,2.53,2.58,2.1119,708816.0,0.0,1.0
2016-08-25,2.57,2.58,2.55,2.55,2.0874,617037.0,0.0,1.0
2016-08-26,2.55,2.56,2.52,2.53,2.071,928016.0,0.0,1.0
2016-08-29,2.54,2.56,2.51,2.52,2.0628,1697533.0,0.0,1.0
2016-08-30,2.53,2.54,2.49,2.52,2.0628,1042488.0,0.0,1.0
2016-08-31,2.5,2.54,2.49,2.54,2.0792,642751.0,0.0,1.0
2016-09-01,2.51,2.53,2.5,2.53,2.071,360995.0,0.0,1.0
2016-09-02,2.5,2.54,2.5,2.53,2.071,637305.0,0.0,1.0
2016-09-05,2.54,2.55,2.52,2.54,2.0792,465125.0,0.0,1.0
2016-09-06,2.54,2.55,2.525,2.53,2.071,484831.0,0.0,1.0
