date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,10.4489,10.4489,10.2403,10.2403,3.4193,2324971.0,0.0,1.0
2000-01-05,10.0635,10.0814,10.0019,10.0516,3.3562,2456812.0,0.0,1.0
2000-01-06,10.0814,10.1112,9.9423,10.0317,3.3496,4354261.0,0.0,1.0
2000-01-07,10.0317,10.0615,9.982,10.0317,3.3496,2360114.0,0.0,1.0
2000-01-10,10.2224,10.2502,10.0814,10.138,3.3851,1650975.0,0.0,1.0
2000-01-11,10.0814,10.1906,10.0714,10.1459,3.3877,4068688.0,0.0,1.0
2000-01-12,9.9701,10.2403,9.9701,10.1509,3.3894,5310083.0,0.0,1.0
2000-01-13,10.131,10.28,10.131,10.2403,3.4193,6514832.0,0.0,1.0
2000-01-14,10.28,10.4091,10.28,10.3893,3.469,4316672.0,0.0,1.0
2000-01-17,10.436,10.6872,10.429,10.6773,3.5652,104847479.0,0.0,1.0
2000-01-18,10.6088,10.8263,10.5879,10.6972,3.5718,21902083.0,0.0,1.0
2000-01-19,10.6217,10.6674,10.5482,10.5681,3.5287,18185804.0,0.0,1.0
2000-01-20,10.574,10.6277,10.4886,10.5879,3.5353,4685637.0,0.0,1.0
2000-01-21,10.5085,10.5085,10.4389,10.4389,3.4856,7952659.0,0.0,1.0
2000-01-24,10.429,10.4687,10.4091,10.429,3.4823,3045301.0,0.0,1.0
2000-01-25,10.3058,10.3893,10.29,10.3893,3.469,68886480.0,0.0,1.0
2000-01-26,10.3893,10.3893,10.3893,10.3893,3.469,100681.0,0.0,1.0
2000-01-27,10.429,10.6277,10.4091,10.5393,3.5191,5956389.0,0.0,1.0
2000-01-28,10.5373,10.9852,10.5373,10.727,3.5818,13847768.0,0.0,1.0
2000-01-31,10.4816,10.5879,10.4389,10.57,3.5293,6463941.0,0.0,1.0
2000-02-01,10.578,10.6078,10.2999,10.4389,3.4856,2697287.0,0.0,1.0
2000-02-02,10.5482,10.7071,10.4687,10.5283,3.5154,3550865.0,0.0,1.0
2000-02-03,10.5283,10.8263,10.5283,10.7071,3.5751,8987469.0,0.0,1.0
2000-02-04,10.6853,10.7866,10.6177,10.6843,3.5675,4044370.0,0.0,1.0
2000-02-07,10.6674,10.8958,10.6277,10.7866,3.6017,4035390.0,0.0,1.0
2000-02-08,10.7866,10.9654,10.7866,10.8442,3.6209,2417564.0,0.0,1.0
2000-02-09,10.8462,11.1243,10.8462,11.1044,3.7078,3250852.0,0.0,1.0
2000-02-10,10.9753,11.0349,10.9455,11.0051,3.6746,11916840.0,0.0,1.0
2000-02-11,10.9177,10.9177,10.6475,10.6773,3.5652,3048949.0,0.0,1.0
2000-02-14,10.6078,10.6277,10.4588,10.5978,3.5386,3458168.0,0.0,1.0
2000-02-15,10.6078,10.6475,10.4787,10.4886,3.5022,2741786.0,0.0,1.0
2000-02-16,10.4886,10.5283,10.29,10.3495,3.4557,4443609.0,0.0,1.0
2000-02-17,10.3098,10.3197,10.0118,10.1112,3.3761,5115789.0,0.0,1.0
2000-02-18,10.1042,10.131,9.9622,10.0317,3.3496,4077176.0,0.0,1.0
2000-02-21,9.9056,10.1112,9.9026,10.0814,3.3662,3123603.0,0.0,1.0
2000-02-22,10.0615,10.0714,9.8728,10.0317,3.3496,4145437.0,0.0,1.0
2000-02-23,9.9979,10.28,9.982,10.1112,3.3761,3352457.0,0.0,1.0
2000-02-24,10.0814,10.131,9.9324,10.0913,3.3695,4767000.0,0.0,1.0
2000-02-25,9.9393,10.429,9.9393,10.429,3.4823,3360233.0,0.0,1.0
2000-02-28,10.3297,10.3297,10.0913,10.0913,3.3695,1669957.0,0.0,1.0
2000-02-29,10.131,10.3694,10.131,10.3297,3.4491,2708244.0,0.0,1.0
2000-03-01,10.3793,10.6942,10.2601,10.6942,3.5708,3084906.0,0.0,1.0
2000-03-02,10.6773,10.6773,10.429,10.5085,3.5088,4023220.0,0.0,1.0
2000-03-03,10.4737,10.5085,10.2303,10.3396,3.4524,2760570.0,0.0,1.0
2000-03-06,10.429,10.429,10.2502,10.3396,3.4524,2100692.0,0.0,1.0
2000-03-07,10.2303,10.3893,10.2303,10.3436,3.4537,2062349.0,0.0,1.0
2000-03-08,10.2303,10.578,10.2105,10.429,3.4823,2164166.0,0.0,1.0
2000-03-09,10.429,10.7766,10.429,10.727,3.5818,3948949.0,0.0,1.0
2000-03-10,10.7399,10.9058,10.7399,10.8263,3.6149,6848665.0,0.0,1.0
2000-03-13,10.6872,10.9058,10.6674,10.7071,3.5751,3085816.0,0.0,1.0
2000-03-14,10.6277,10.7071,10.4191,10.6972,3.5718,3914142.0,0.0,1.0
2000-03-15,10.6326,10.8462,10.6177,10.8263,3.6149,6227724.0,0.0,1.0
2000-03-16,10.8263,11.0051,10.8263,10.8859,3.6348,6035862.0,0.0,1.0
2000-03-17,10.9455,11.0051,10.7766,10.8263,3.6149,6107243.0,0.0,1.0
