date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,8.5536,8.5536,8.3146,8.328,2.1216,256831.0,0.0,1.0
2000-01-05,8.2069,8.3146,8.1463,8.2271,2.0958,214506.0,0.0,1.0
2000-01-06,8.3146,8.4156,8.2338,8.2338,2.0976,199798.0,0.0,1.0
2000-01-07,8.3954,8.3954,8.2472,8.254,2.1027,217377.0,0.0,1.0
2000-01-10,8.3819,8.5603,8.3819,8.5603,2.1807,258837.0,0.0,1.0
2000-01-11,8.701,8.701,8.4492,8.4694,2.1576,279164.0,0.0,1.0
2000-01-12,8.4492,8.6512,8.4492,8.5906,2.1885,109214.0,0.0,1.0
2000-01-13,8.6795,8.6795,8.4223,8.4492,2.1524,160493.0,0.0,1.0
2000-01-14,8.4492,8.5166,8.4156,8.4788,2.16,378048.0,0.0,1.0
2000-01-17,8.5455,8.6647,8.5166,8.5502,2.1782,77529.0,0.0,1.0
2000-01-18,8.6775,8.6775,8.4156,8.4223,2.1456,165172.0,0.0,1.0
2000-01-19,8.4223,8.4829,8.4156,8.4492,2.1524,956314.0,0.0,1.0
2000-01-20,8.4492,8.5166,8.4492,8.4829,2.161,143258.0,0.0,1.0
2000-01-21,8.4829,8.4829,8.4156,8.4156,2.1439,221815.0,0.0,1.0
2000-01-24,8.4223,8.4896,8.4216,8.4216,2.1454,181164.0,0.0,1.0
2000-01-25,8.4156,8.4694,8.3482,8.3819,2.1353,753295.0,0.0,1.0
2000-01-26,8.3819,8.3819,8.3819,8.3819,2.1353,0.0,0.0,1.0
2000-01-27,8.2271,8.4829,8.2271,8.456,2.1542,136628.0,0.0,1.0
2000-01-28,8.456,8.4694,8.4156,8.456,2.1542,287929.0,0.0,1.0
2000-01-31,8.456,8.456,8.3819,8.3819,2.1353,376179.0,0.0,1.0
2000-02-01,8.4156,8.4156,8.2876,8.355,2.1284,513994.0,0.0,1.0
2000-02-02,8.3348,8.4425,8.3213,8.4425,2.1507,1438281.0,0.0,1.0
2000-02-03,8.322,8.4425,8.322,8.4156,2.1439,138700.0,0.0,1.0
2000-02-04,8.3772,8.5502,8.3772,8.4156,2.1439,335038.0,0.0,1.0
2000-02-07,8.5502,8.5839,8.4156,8.4492,2.1524,438184.0,0.0,1.0
2000-02-08,8.4492,8.4829,8.3819,8.4156,2.1439,686196.0,0.0,1.0
2000-02-09,8.4492,8.5839,8.3819,8.3819,2.1353,405903.0,0.0,1.0
2000-02-10,8.4156,8.4358,8.2809,8.2944,2.113,1115463.0,0.0,1.0
2000-02-11,8.2688,8.3146,8.0453,8.0789,2.0581,308662.0,0.0,1.0
