date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2017-12-08,3.2182,3.3543,3.2085,3.3057,3.2438,19282654.0,0.0,1.0
2017-12-11,3.3738,3.4516,3.3446,3.3641,3.301,3405721.0,0.0,1.0
2017-12-12,3.3932,3.3932,3.3738,3.3738,3.3105,1689191.0,0.0,1.0
2017-12-13,3.3738,3.403,3.3349,3.3738,3.3105,876182.0,0.0,1.0
2017-12-14,3.403,3.5488,3.3835,3.5293,3.4632,882521.0,0.0,1.0
2017-12-15,3.5974,3.6946,3.5002,3.5585,3.4918,703023.0,0.0,1.0
2017-12-18,3.5877,3.5877,3.4516,3.4516,3.3869,412398.0,0.0,1.0
2017-12-19,3.5002,3.5391,3.4516,3.5002,3.4346,313427.0,0.0,1.0
2017-12-20,3.5099,3.6071,3.4905,3.5974,3.53,447380.0,0.0,1.0
2017-12-21,3.646,3.6752,3.5974,3.6557,3.5872,339949.0,0.0,1.0
2017-12-22,3.6655,3.9183,3.6655,3.8794,3.8066,347819.0,0.0,1.0
2017-12-27,3.8891,3.9085,3.7919,3.821,3.7494,287152.0,0.0,1.0
2017-12-28,3.7919,3.8405,3.7433,3.7627,3.6922,156925.0,0.0,1.0
2017-12-29,3.7919,3.821,3.6752,3.6752,3.6063,117570.0,0.0,1.0
2018-01-02,3.6752,3.7433,3.6363,3.646,3.5777,113300.0,0.0,1.0
2018-01-03,3.6655,3.6946,3.6168,3.6168,3.549,103617.0,0.0,1.0
2018-01-04,3.6363,3.7821,3.6363,3.6946,3.6254,111378.0,0.0,1.0
2018-01-05,3.6946,3.7433,3.6557,3.6946,3.6254,172738.0,0.0,1.0
2018-01-08,3.6752,3.6849,3.578,3.5974,3.53,297892.0,0.0,1.0
2018-01-09,3.5974,3.6655,3.5974,3.6071,3.5395,213166.0,0.0,1.0
2018-01-10,3.6168,3.6946,3.5974,3.6557,3.5872,309933.0,0.0,1.0
2018-01-11,3.6655,3.7919,3.6557,3.753,3.6826,409249.0,0.0,1.0
2018-01-12,3.7919,3.8308,3.7675,3.7821,3.7112,272759.0,0.0,1.0
2018-01-15,3.7919,3.8794,3.753,3.753,3.6826,227287.0,0.0,1.0
2018-01-16,3.7724,3.7919,3.6946,3.7919,3.7208,153874.0,0.0,1.0
2018-01-17,3.7821,3.7821,3.6946,3.7044,3.6349,124900.0,0.0,1.0
2018-01-18,3.753,3.753,3.6849,3.6946,3.6254,110237.0,0.0,1.0
2018-01-19,3.7238,3.7238,3.6752,3.6752,3.6063,215981.0,0.0,1.0
2018-01-22,3.7627,3.7627,3.6849,3.6946,3.6254,310228.0,0.0,1.0
2018-01-23,3.6946,3.6946,3.6266,3.6557,3.5872,440058.0,0.0,1.0
2018-01-24,3.6849,3.7238,3.6655,3.7238,3.654,494239.0,0.0,1.0
2018-01-25,3.7433,3.8016,3.6557,3.6946,3.6254,255625.0,0.0,1.0
2018-01-29,3.6946,3.7044,3.6655,3.6946,3.6254,180278.0,0.0,1.0
2018-01-30,3.7335,3.7627,3.6849,3.7627,3.6922,224060.0,0.0,1.0
2018-01-31,3.7919,3.8113,3.7627,3.7724,3.7017,832840.0,0.0,1.0
2018-02-01,3.7724,3.9863,3.7724,3.9085,3.8353,520288.0,0.0,1.0
2018-02-02,3.9571,4.0544,3.9085,3.9377,3.8639,295055.0,0.0,1.0
2018-02-05,3.8794,3.9183,3.8405,3.8599,3.7876,264114.0,0.0,1.0
2018-02-06,3.8016,3.8308,3.7044,3.753,3.6826,533191.0,0.0,1.0
2018-02-07,3.7919,3.9183,3.7919,3.8502,3.778,140512.0,0.0,1.0
2018-02-08,3.8502,3.9377,3.8405,3.8794,3.8066,169087.0,0.0,1.0
2018-02-09,3.7821,3.7919,3.7141,3.753,3.6826,372877.0,0.0,1.0
2018-02-12,3.7627,3.8405,3.7627,3.7919,3.7208,595764.0,0.0,1.0
2018-02-13,3.8016,3.9183,3.7919,3.7919,3.7208,187164.0,0.0,1.0
2018-02-14,3.8016,3.8113,3.7141,3.7141,3.6445,227354.0,0.0,1.0
2018-02-15,3.8405,3.8405,3.7433,3.7919,3.7208,359359.0,0.0,1.0
2018-02-16,3.7919,3.821,3.7724,3.7919,3.7208,363637.0,0.0,1.0
2018-02-19,3.7919,3.7919,3.753,3.7724,3.7017,44991.0,0.0,1.0
2018-02-20,3.7821,3.8113,3.7238,3.7238,3.654,66818.0,0.0,1.0
2018-02-21,3.7238,3.821,3.7044,3.7919,3.7208,201694.0,0.0,1.0
2018-02-22,3.8891,4.1905,3.8891,4.1419,4.0642,2701878.0,0.0,1.0
2018-02-23,4.1322,4.1419,3.996,4.0058,3.9307,300328.0,0.0,1.0
2018-02-26,4.0155,4.1516,3.9863,4.0835,4.007,440673.0,0.0,1.0
2018-02-27,4.1224,4.2391,4.0738,4.0933,4.0313,216493.0,0.0,1.0
2018-02-28,4.0835,4.3266,4.0835,4.2294,4.1654,447414.0,0.0,1.0
2018-03-01,4.2197,4.2197,4.1516,4.1808,4.1175,160693.0,0.0,1.0
2018-03-02,4.1808,4.3169,4.1224,4.1224,4.0601,1659538.0,0.0,1.0
2018-03-05,4.1224,4.2294,4.1127,4.1322,4.0696,112586.0,0.0,1.0
2018-03-06,4.1808,4.2099,4.1127,4.1322,4.0696,363944.0,0.0,1.0
2018-03-07,4.1322,4.1613,4.1127,4.1127,4.0505,85975.0,0.0,1.0
2018-03-08,4.1224,4.1711,4.0933,4.103,4.0409,80121.0,0.0,1.0
2018-03-09,4.103,4.1322,4.0933,4.103,4.0409,392996.0,0.0,1.0
2018-03-12,4.1322,4.278,4.103,4.1322,4.0696,115141.0,0.0,1.0
2018-03-13,4.1322,4.137,4.0446,4.0738,4.0122,182768.0,0.0,1.0
2018-03-14,4.0738,4.1613,4.0544,4.0738,4.0122,81027.0,0.0,1.0
2018-03-15,4.0738,4.1613,4.0349,4.1224,4.0601,79595.0,0.0,1.0
2018-03-16,4.0835,4.2877,4.0835,4.1808,4.1175,181024.0,0.0,1.0
2018-03-19,4.2002,4.2002,4.0933,4.1127,4.0505,54023.0,0.0,1.0
2018-03-20,4.0835,4.1322,4.0058,4.0544,3.993,116072.0,0.0,1.0
2018-03-21,4.0446,4.0641,3.9863,4.0349,3.9739,132886.0,0.0,1.0
2018-03-22,4.0155,4.1711,4.0155,4.103,4.0409,509219.0,0.0,1.0
2018-03-23,3.996,4.1808,3.996,4.0641,4.0026,346420.0,0.0,1.0
2018-03-26,4.0349,4.103,4.0058,4.0058,3.9452,150963.0,0.0,1.0
2018-03-27,4.1322,4.1711,4.0446,4.0835,4.0218,128239.0,0.0,1.0
2018-03-28,4.0835,4.1224,4.0544,4.0835,4.0218,65777.0,0.0,1.0
2018-03-29,4.0738,4.1224,4.0155,4.0446,3.9835,54653.0,0.0,1.0
2018-04-03,3.9863,3.996,3.8988,3.9183,3.859,149020.0,0.0,1.0
2018-04-04,3.9183,3.9766,3.8891,3.928,3.8686,114580.0,0.0,1.0
2018-04-05,3.9377,4.0349,3.9377,3.9377,3.8781,175990.0,0.0,1.0
2018-04-06,3.9377,3.9863,3.8599,3.8891,3.8303,260559.0,0.0,1.0
2018-04-09,3.8599,3.8599,3.7335,3.7821,3.7249,76412.0,0.0,1.0
2018-04-10,3.7724,3.821,3.7627,3.7821,3.7249,188792.0,0.0,1.0
2018-04-11,3.8405,3.8891,3.7919,3.821,3.7632,91942.0,0.0,1.0
2018-04-12,3.8308,3.8599,3.7919,3.821,3.7632,62608.0,0.0,1.0
2018-04-13,3.8308,3.8308,3.753,3.7724,3.7153,55172.0,0.0,1.0
2018-04-16,3.7919,3.7919,3.5585,3.5877,3.5334,103862.0,0.0,1.0
2018-04-17,3.5877,3.7141,3.4613,3.6946,3.6387,356954.0,0.0,1.0
2018-04-18,3.7141,3.7433,3.6655,3.7141,3.6579,189823.0,0.0,1.0
2018-04-19,3.7724,3.8696,3.753,3.7919,3.7345,560216.0,0.0,1.0
2018-04-20,3.7821,3.7919,3.7433,3.7433,3.6866,120673.0,0.0,1.0
2018-04-23,3.753,3.8016,3.7433,3.7919,3.7345,289748.0,0.0,1.0
2018-04-24,3.7627,3.7627,3.5974,3.6946,3.6387,460293.0,0.0,1.0
2018-04-26,3.7238,3.7919,3.6946,3.7335,3.677,235372.0,0.0,1.0
2018-04-27,3.753,3.7627,3.7044,3.7044,3.6483,144325.0,0.0,1.0
2018-04-30,3.7433,3.7724,3.7044,3.7238,3.6675,167786.0,0.0,1.0
2018-05-01,3.7141,3.7189,3.6363,3.6849,3.6292,477916.0,0.0,1.0
2018-05-02,3.7141,3.7141,3.6168,3.6363,3.5813,298713.0,0.0,1.0
2018-05-03,3.646,3.7335,3.646,3.6655,3.61,250966.0,0.0,1.0
2018-05-04,3.646,3.8113,3.646,3.8113,3.7537,101422.0,0.0,1.0
2018-05-07,3.7821,3.8891,3.7821,3.7821,3.7249,68583.0,0.0,1.0
2018-05-08,3.7821,3.7919,3.6752,3.6946,3.6387,242584.0,0.0,1.0
2018-05-09,3.8113,3.8113,3.6557,3.6946,3.6387,131039.0,0.0,1.0
2018-05-10,3.6946,3.8988,3.6946,3.8502,3.792,190549.0,0.0,1.0
2018-05-11,3.8405,3.8891,3.821,3.8696,3.8111,84921.0,0.0,1.0
2018-05-14,3.8891,3.9085,3.8113,3.8891,3.8303,25917.0,0.0,1.0
2018-05-15,3.8794,3.8794,3.7044,3.7335,3.677,65261.0,0.0,1.0
2018-05-16,3.7433,3.7433,3.6752,3.6946,3.6387,106205.0,0.0,1.0
2018-05-17,3.7044,3.7724,3.6849,3.6849,3.6292,33947.0,0.0,1.0
2018-05-18,3.7044,3.7627,3.6946,3.7433,3.6866,46590.0,0.0,1.0
2018-05-21,3.7141,3.7821,3.7141,3.753,3.6962,45226.0,0.0,1.0
2018-05-22,3.7238,3.7627,3.7238,3.7238,3.6675,118662.0,0.0,1.0
2018-05-23,3.7433,3.8308,3.7433,3.7919,3.7345,124623.0,0.0,1.0
2018-05-24,3.7919,3.8502,3.7821,3.8016,3.7441,483216.0,0.0,1.0
2018-05-25,3.8599,3.8891,3.8113,3.8794,3.8207,138485.0,0.0,1.0
2018-05-28,3.8891,3.9377,3.8599,3.9377,3.8781,213354.0,0.0,1.0
2018-05-29,3.8794,4.0058,3.8648,3.8891,3.8303,119412.0,0.0,1.0
2018-05-30,3.8891,3.9766,3.8891,3.8988,3.8398,101796.0,0.0,1.0
2018-05-31,3.9085,3.996,3.8988,3.9863,3.926,116057.0,0.0,1.0
2018-06-01,3.9766,3.9766,3.8988,3.9377,3.8781,93220.0,0.0,1.0
2018-06-04,3.9863,4.0349,3.9474,4.0349,3.9739,246576.0,0.0,1.0
2018-06-05,3.9863,4.1224,3.9863,4.0835,4.0218,83301.0,0.0,1.0
2018-06-06,4.0835,4.0933,3.9474,3.9863,3.926,86797.0,0.0,1.0
2018-06-07,3.9863,4.1322,3.9863,4.1322,4.0696,73521.0,0.0,1.0
2018-06-08,4.0641,4.103,3.8988,3.9863,3.926,73912.0,0.0,1.0
2018-06-12,4.0155,4.1419,3.9863,4.0544,3.993,172414.0,0.0,1.0
2018-06-13,4.0835,4.278,4.0835,4.2683,4.2037,141605.0,0.0,1.0
2018-06-14,4.278,4.3266,4.1127,4.1224,4.0601,115799.0,0.0,1.0
2018-06-15,4.1322,4.1905,4.103,4.1905,4.1271,236044.0,0.0,1.0
2018-06-18,4.1711,4.2002,4.103,4.1516,4.0888,107714.0,0.0,1.0
2018-06-19,4.1808,4.1808,4.0446,4.1127,4.0505,330419.0,0.0,1.0
2018-06-20,4.1322,4.1516,4.0835,4.0835,4.0218,66125.0,0.0,1.0
2018-06-21,4.0835,4.2683,4.0835,4.2197,4.1558,75546.0,0.0,1.0
2018-06-22,4.278,4.2877,4.1224,4.1224,4.0601,38470.0,0.0,1.0
2018-06-25,4.103,4.2099,4.103,4.1808,4.1175,27366.0,0.0,1.0
2018-06-26,4.1808,4.3752,4.1808,4.2099,4.1463,147755.0,0.0,1.0
2018-06-27,4.2585,4.278,4.103,4.1905,4.1271,352279.0,0.0,1.0
2018-06-28,4.2099,4.3169,4.2099,4.3169,4.2516,266789.0,0.0,1.0
2018-06-29,4.2294,4.2683,4.2002,4.2294,4.1654,232096.0,0.0,1.0
2018-07-02,4.2197,4.2683,4.1905,4.2099,4.1463,54441.0,0.0,1.0
2018-07-03,4.278,4.278,4.2002,4.2002,4.1367,47085.0,0.0,1.0
2018-07-04,4.2002,4.2099,4.0446,4.0835,4.0218,142686.0,0.0,1.0
2018-07-05,4.0835,4.103,4.0446,4.0641,4.0026,182298.0,0.0,1.0
2018-07-06,4.0641,4.0835,3.9863,4.0446,3.9835,289275.0,0.0,1.0
2018-07-09,4.0641,4.0641,3.996,4.0641,4.0026,103498.0,0.0,1.0
2018-07-10,4.0835,4.1808,4.0835,4.0835,4.0218,222027.0,0.0,1.0
2018-07-11,4.103,4.1322,4.0835,4.0835,4.0218,68992.0,0.0,1.0
