date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2016-12-06,1.55,1.765,1.55,1.72,1.72,5047621.0,0.0,1.0
2016-12-07,1.71,1.72,1.61,1.67,1.67,4729991.0,0.0,1.0
2016-12-08,1.7,1.71,1.61,1.655,1.655,2316553.0,0.0,1.0
2016-12-09,1.68,1.74,1.65,1.7,1.7,2657939.0,0.0,1.0
2016-12-12,1.7,1.715,1.62,1.625,1.625,1092147.0,0.0,1.0
2016-12-13,1.61,1.71,1.61,1.63,1.63,1961628.0,0.0,1.0
2016-12-14,1.635,1.69,1.62,1.625,1.625,648634.0,0.0,1.0
2016-12-15,1.605,1.645,1.515,1.56,1.56,657896.0,0.0,1.0
2016-12-16,1.54,1.58,1.412,1.42,1.42,1991241.0,0.0,1.0
2016-12-19,1.43,1.445,1.4,1.41,1.41,1196397.0,0.0,1.0
2016-12-20,1.415,1.445,1.41,1.43,1.43,1446471.0,0.0,1.0
2016-12-21,1.44,1.5,1.405,1.47,1.47,955795.0,0.0,1.0
2016-12-22,1.49,1.49,1.4,1.445,1.445,636940.0,0.0,1.0
2016-12-23,1.45,1.46,1.415,1.44,1.44,476966.0,0.0,1.0
2016-12-28,1.45,1.515,1.45,1.475,1.475,677394.0,0.0,1.0
2016-12-29,1.475,1.515,1.435,1.48,1.48,1117983.0,0.0,1.0
2016-12-30,1.55,1.65,1.54,1.65,1.65,385124.0,0.0,1.0
2017-01-03,1.645,1.69,1.595,1.66,1.66,395876.0,0.0,1.0
2017-01-04,1.74,1.79,1.705,1.72,1.72,486591.0,0.0,1.0
2017-01-05,1.72,1.9025,1.72,1.9,1.9,1020429.0,0.0,1.0
2017-01-06,1.99,1.99,1.845,1.885,1.885,1377367.0,0.0,1.0
2017-01-09,1.89,1.89,1.75,1.86,1.86,886923.0,0.0,1.0
2017-01-10,1.89,1.95,1.89,1.925,1.925,635838.0,0.0,1.0
2017-01-11,1.93,1.965,1.91,1.92,1.92,699106.0,0.0,1.0
2017-01-12,1.95,1.965,1.9,1.93,1.93,295800.0,0.0,1.0
2017-01-13,1.94,1.9425,1.895,1.92,1.92,468538.0,0.0,1.0
2017-01-16,1.93,1.94,1.88,1.925,1.925,541658.0,0.0,1.0
