date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2007-06-01,1.96,1.96,1.59,1.7,1.3716,1825060.0,0.0,1.0
2007-06-04,1.79,1.95,1.725,1.9,1.533,896351.0,0.0,1.0
2007-06-05,1.905,2.1,1.89,2.05,1.654,750341.0,0.0,1.0
2007-06-06,2.14,2.15,2.03,2.1,1.6944,574141.0,0.0,1.0
2007-06-07,2.12,2.14,2.08,2.1,1.6944,320548.0,0.0,1.0
2007-06-08,2.07,2.09,2.05,2.06,1.6621,343919.0,0.0,1.0
2007-06-12,2.09,2.09,1.99,2.05,1.654,146754.0,0.0,1.0
2007-06-13,2.0,2.06,1.95,2.01,1.6217,129400.0,0.0,1.0
2007-06-14,2.0,2.03,1.9,1.9,1.533,59878.0,0.0,1.0
2007-06-15,1.955,1.955,1.9,1.9,1.533,74525.0,0.0,1.0
2007-06-18,1.9,1.99,1.88,1.9,1.533,44654.0,0.0,1.0
2007-06-19,1.89,1.89,1.82,1.89,1.5249,133973.0,0.0,1.0
2007-06-20,1.86,1.88,1.85,1.85,1.4926,52004.0,0.0,1.0
2007-06-21,1.84,1.84,1.8,1.84,1.4846,29121.0,0.0,1.0
2007-06-22,1.84,1.85,1.8,1.8,1.4523,50500.0,0.0,1.0
2007-06-25,1.8,1.8,1.78,1.8,1.4523,27750.0,0.0,1.0
2007-06-26,1.76,1.765,1.75,1.76,1.42,92368.0,0.0,1.0
2007-06-27,1.76,1.86,1.76,1.86,1.5007,61972.0,0.0,1.0
2007-06-28,1.86,1.95,1.86,1.93,1.5572,43346.0,0.0,1.0
2007-06-29,2.0,2.1,2.0,2.09,1.6863,61872.0,0.0,1.0
2007-07-02,2.05,2.06,2.01,2.01,1.6217,42000.0,0.0,1.0
2007-07-03,2.01,2.05,1.97,1.97,1.5895,207071.0,0.0,1.0
2007-07-04,1.97,1.97,1.9,1.95,1.5733,80700.0,0.0,1.0
2007-07-05,1.95,2.0,1.95,2.0,1.6137,107050.0,0.0,1.0
2007-07-06,1.99,2.03,1.98,1.98,1.5975,70205.0,0.0,1.0
2007-07-09,1.99,1.99,1.99,1.99,1.6056,14622.0,0.0,1.0
2007-07-10,1.99,2.01,1.98,2.0,1.6137,45128.0,0.0,1.0
