date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2002-11-27,1.8815,1.8815,1.8815,1.8815,1.144,0.0,0.0,1.0
2002-11-28,1.6463,1.6463,1.5805,1.5993,0.9724,914630.0,0.0,1.0
2002-11-29,1.6275,1.6463,1.6275,1.6463,1.001,355407.0,0.0,1.0
2002-12-02,1.6463,1.6463,1.6369,1.6463,1.001,329088.0,0.0,1.0
2002-12-03,1.6463,1.6463,1.6275,1.6275,0.9895,278797.0,0.0,1.0
2002-12-04,1.6181,1.6181,1.5993,1.5993,0.9724,314586.0,0.0,1.0
2002-12-05,1.5993,1.5993,1.5428,1.5616,0.9495,225139.0,0.0,1.0
2002-12-06,1.5805,1.5805,1.5052,1.5805,0.9609,218161.0,0.0,1.0
2002-12-09,1.5805,1.5805,1.5616,1.5711,0.9552,22323.0,0.0,1.0
2002-12-10,1.5616,1.5616,1.5334,1.5334,0.9323,96519.0,0.0,1.0
2002-12-11,1.5522,1.5805,1.5522,1.5616,0.9495,104703.0,0.0,1.0
2002-12-12,1.5522,1.5993,1.5522,1.5993,0.9724,133553.0,0.0,1.0
2002-12-13,1.5711,1.6181,1.5711,1.6181,0.9838,70263.0,0.0,1.0
2002-12-16,1.5993,1.6181,1.5993,1.6181,0.9838,36348.0,0.0,1.0
2002-12-17,1.6463,1.6463,1.6275,1.6275,0.9895,54567.0,0.0,1.0
2002-12-18,1.6087,1.6275,1.6087,1.6275,0.9895,109274.0,0.0,1.0
2002-12-19,1.6181,1.6181,1.5993,1.5993,0.9724,338293.0,0.0,1.0
2002-12-20,1.6087,1.6369,1.6087,1.6369,0.9952,22449.0,0.0,1.0
2002-12-23,1.6369,1.6369,1.6275,1.6275,0.9895,47515.0,0.0,1.0
2002-12-24,1.6275,1.6369,1.6275,1.6369,0.9952,9567.0,0.0,1.0
2002-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2002-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2002-12-27,1.6181,1.6181,1.5993,1.5993,0.9724,6909.0,0.0,1.0
2002-12-30,1.6087,1.6087,1.6087,1.6087,0.9781,1063.0,0.0,1.0
2002-12-31,1.6275,1.6463,1.6275,1.6463,1.001,108424.0,0.0,1.0
2003-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-01-02,1.6463,1.6463,1.6369,1.6463,1.001,70684.0,0.0,1.0
2003-01-03,1.6463,1.6463,1.6463,1.6463,1.001,0.0,0.0,1.0
2003-01-06,1.6275,1.6275,1.6181,1.6181,0.9838,31620.0,0.0,1.0
2003-01-07,1.6087,1.6181,1.6087,1.6087,0.9781,510086.0,0.0,1.0
2003-01-08,1.6181,1.6181,1.5993,1.6087,0.9781,231853.0,0.0,1.0
2003-01-09,1.6275,1.6275,1.6087,1.6087,0.9781,10441.0,0.0,1.0
2003-01-10,1.6087,1.6087,1.5993,1.6087,0.9781,233855.0,0.0,1.0
2003-01-13,1.6181,1.6275,1.6181,1.6275,0.9895,72472.0,0.0,1.0
2003-01-14,1.6463,1.7404,1.6463,1.7404,1.0582,2388301.0,0.0,1.0
2003-01-15,1.7498,1.7874,1.7498,1.7874,1.0868,323162.0,0.0,1.0
2003-01-16,1.7874,1.7874,1.7498,1.7686,1.0753,49476.0,0.0,1.0
