date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-04,5.1478,5.1478,5.0686,5.0983,2.4879,933371.0,0.0,1.0
2000-01-05,4.9993,5.0785,4.9894,5.0785,2.4783,1259422.0,0.0,1.0
2000-01-06,5.0785,5.1478,5.0488,5.0686,2.4734,1459286.0,0.0,1.0
2000-01-07,5.0686,5.1181,5.029,5.029,2.4541,2502531.0,0.0,1.0
2000-01-10,5.1082,5.1478,5.0884,5.1181,2.4976,3856652.0,0.0,1.0
2000-01-11,5.1379,5.1577,5.1082,5.128,2.5024,3772713.0,0.0,1.0
2000-01-12,5.0686,5.1478,5.0686,5.128,2.5024,2330959.0,0.0,1.0
2000-01-13,5.128,5.1478,5.0983,5.128,2.5024,2490810.0,0.0,1.0
2000-01-14,5.1478,5.1775,5.0884,5.0983,2.4879,2963732.0,0.0,1.0
2000-01-17,5.0884,5.0983,5.0092,5.0488,2.4638,3230486.0,0.0,1.0
2000-01-18,5.0488,5.128,5.0191,5.1082,2.4928,450925.0,0.0,1.0
2000-01-19,5.0893,5.128,5.0587,5.128,2.5024,1876434.0,0.0,1.0
2000-01-20,5.0725,5.0983,5.0191,5.0884,2.4831,3108319.0,0.0,1.0
2000-01-21,5.0389,5.0587,5.0092,5.0389,2.459,831410.0,0.0,1.0
2000-01-24,5.0191,5.0389,4.9993,5.0191,2.4493,881582.0,0.0,1.0
2000-01-25,4.9993,4.9993,4.93,4.93,2.4058,2607472.0,0.0,1.0
2000-01-26,4.93,4.93,4.93,4.93,2.4058,0.0,0.0,1.0
2000-01-27,4.9993,4.9993,4.9102,4.9399,2.4106,1967674.0,0.0,1.0
2000-01-28,4.9498,4.9795,4.8607,4.8607,2.372,4351954.0,0.0,1.0
2000-01-31,4.8508,4.9201,4.8112,4.8211,2.3527,2256022.0,0.0,1.0
2000-02-01,4.8904,4.8904,4.7419,4.7914,2.3382,1951733.0,0.0,1.0
2000-02-02,4.831,4.831,4.7419,4.8013,2.343,2918096.0,0.0,1.0
2000-02-03,4.7815,4.7815,4.6627,4.7122,2.2995,3950312.0,0.0,1.0
2000-02-04,4.7003,4.7617,4.6726,4.732,2.3092,3093227.0,0.0,1.0
2000-02-07,4.7924,4.8013,4.7221,4.7518,2.3189,2378865.0,0.0,1.0
2000-02-08,4.7023,4.7419,4.5934,4.6033,2.2464,3672378.0,0.0,1.0
2000-02-09,4.6528,4.7716,4.6528,4.6924,2.2899,3288846.0,0.0,1.0
2000-02-10,4.7518,4.7518,4.5835,4.6726,2.2802,5977112.0,0.0,1.0
2000-02-11,4.6726,4.9498,4.6528,4.9201,2.401,3556356.0,0.0,1.0
2000-02-14,4.9498,5.0884,4.7815,5.0686,2.4734,6011684.0,0.0,1.0
2000-02-15,5.1082,5.2368,5.1082,5.1676,2.5218,6435536.0,0.0,1.0
2000-02-16,5.1775,5.1775,4.9894,5.021,2.4503,2864962.0,0.0,1.0
2000-02-17,4.9894,5.0191,4.8904,4.9894,2.4348,1831708.0,0.0,1.0
2000-02-18,4.9696,4.9894,4.7518,4.831,2.3575,2220279.0,0.0,1.0
2000-02-21,4.8013,4.8805,4.7617,4.831,2.3575,1220679.0,0.0,1.0
2000-02-22,4.831,4.9102,4.831,4.8607,2.372,1550219.0,0.0,1.0
2000-02-23,4.8923,4.9795,4.8508,4.9448,2.4131,2331030.0,0.0,1.0
2000-02-24,4.9498,4.9795,4.8607,4.8706,2.3768,3400968.0,0.0,1.0
2000-02-25,4.8706,4.9498,4.8508,4.93,2.4058,2971115.0,0.0,1.0
2000-02-28,4.93,4.9498,4.8706,4.8805,2.3817,1658858.0,0.0,1.0
2000-02-29,4.9092,5.0191,4.9003,4.9399,2.4106,2552268.0,0.0,1.0
2000-03-01,4.9993,5.0389,4.9102,4.9587,2.4198,2550485.0,0.0,1.0
2000-03-02,4.9498,4.9498,4.8805,4.9003,2.3913,2120480.0,0.0,1.0
2000-03-03,4.9003,4.9498,4.8805,4.9498,2.4155,3733373.0,0.0,1.0
2000-03-06,4.9399,4.9498,4.8706,4.8706,2.3768,2290679.0,0.0,1.0
2000-03-07,4.8706,4.8706,4.732,4.7419,2.314,3726717.0,0.0,1.0
2000-03-08,4.7518,4.8112,4.7419,4.8023,2.3435,2413632.0,0.0,1.0
2000-03-09,4.7914,4.8706,4.7518,4.7518,2.3189,3736909.0,0.0,1.0
2000-03-10,4.8211,4.8508,4.7419,4.8508,2.3672,2442716.0,0.0,1.0
2000-03-13,4.8706,4.9597,4.8706,4.9498,2.4155,1787479.0,0.0,1.0
2000-03-14,4.9428,4.9498,4.8211,4.8943,2.3884,2516523.0,0.0,1.0
2000-03-15,4.824,4.8805,4.8211,4.831,2.3575,2505680.0,0.0,1.0
2000-03-16,4.9003,4.9399,4.8112,4.8211,2.3527,2132542.0,0.0,1.0
2000-03-17,4.9389,4.9389,4.8211,4.8706,2.3768,3460461.0,0.0,1.0
2000-03-20,4.9003,5.0389,4.8904,4.9993,2.4396,1311253.0,0.0,1.0
2000-03-21,4.9993,4.9993,4.93,4.9616,2.4213,1785387.0,0.0,1.0
2000-03-22,4.9696,5.1379,4.9696,5.0983,2.4879,2441057.0,0.0,1.0
2000-03-23,5.0923,5.1577,5.0686,5.1577,2.5169,2342708.0,0.0,1.0
2000-03-24,5.1973,5.316,5.1577,5.2566,2.5652,6350725.0,0.0,1.0
2000-03-27,5.2566,5.3358,5.2467,5.2467,2.5604,5972569.0,0.0,1.0
2000-03-28,5.2388,5.2863,5.227,5.2576,2.5657,3719255.0,0.0,1.0
2000-03-29,5.2467,5.2962,5.2368,5.2962,2.5846,3341787.0,0.0,1.0
2000-03-30,5.1973,5.2171,5.128,5.1478,2.5604,4319961.0,0.0,1.0
2000-03-31,5.0983,5.1181,5.029,5.0587,2.5161,5069580.0,0.0,1.0
2000-04-03,5.0488,5.0488,4.93,5.0072,2.4905,3180515.0,0.0,1.0
2000-04-04,5.0488,5.2368,5.029,5.1874,2.5801,2321409.0,0.0,1.0
2000-04-05,5.1874,5.3259,5.1874,5.2576,2.6151,3983874.0,0.0,1.0
2000-04-06,5.2062,5.2368,5.1181,5.1973,2.5851,6031665.0,0.0,1.0
2000-04-07,5.1478,5.1676,4.9993,5.0893,2.5314,2925364.0,0.0,1.0
2000-04-10,5.0983,5.1973,5.0785,5.1784,2.5757,1139787.0,0.0,1.0
2000-04-11,5.1478,5.2566,5.1478,5.2171,2.5949,1838648.0,0.0,1.0
2000-04-12,5.2467,5.4447,5.227,5.3556,2.6638,3841528.0,0.0,1.0
2000-04-13,5.3556,5.4645,5.3556,5.4447,2.7082,9950871.0,0.0,1.0
2000-04-14,5.4447,5.5437,5.3952,5.4447,2.7082,9041813.0,0.0,1.0
2000-04-17,5.0775,5.3952,5.0775,5.3061,2.6392,3662483.0,0.0,1.0
2000-04-18,5.4447,5.5932,5.3952,5.5437,2.7574,4620323.0,0.0,1.0
2000-04-19,5.5932,5.6229,5.4546,5.5368,2.754,5661793.0,0.0,1.0
2000-04-20,5.3913,5.6328,5.3913,5.5437,2.7574,1189118.0,0.0,1.0
2000-04-21,5.5437,5.5437,5.5437,5.5437,2.7574,0.0,0.0,1.0
2000-04-24,5.5437,5.5437,5.5437,5.5437,2.7574,0.0,0.0,1.0
2000-04-25,5.5437,5.5437,5.5437,5.5437,2.7574,0.0,0.0,1.0
2000-04-26,5.5932,5.8407,5.5932,5.8209,2.8953,4810427.0,0.0,1.0
2000-04-27,5.6516,5.7813,5.613,5.7417,2.8559,2954165.0,0.0,1.0
2000-04-28,5.6427,5.7615,5.6229,5.7041,2.8372,1649338.0,0.0,1.0
2000-05-01,5.6427,5.6526,5.4942,5.6229,2.7968,2156137.0,0.0,1.0
2000-05-02,5.5437,5.6328,5.4645,5.5635,2.7672,848014.0,0.0,1.0
2000-05-03,5.5437,5.8011,5.5239,5.6982,2.8342,2628197.0,0.0,1.0
2000-05-04,5.5932,5.613,5.5041,5.5437,2.7574,2520123.0,0.0,1.0
2000-05-05,5.5338,5.6427,5.5338,5.6427,2.8066,1726314.0,0.0,1.0
2000-05-08,5.6269,5.6328,5.5437,5.5932,2.782,2056903.0,0.0,1.0
2000-05-09,5.5437,5.6526,5.5437,5.5932,2.782,1529377.0,0.0,1.0
2000-05-10,5.5635,5.6922,5.5635,5.6625,2.8165,1858667.0,0.0,1.0
2000-05-11,5.5724,5.7219,5.5635,5.6625,2.8165,1893778.0,0.0,1.0
2000-05-12,5.5714,5.7021,5.5714,5.6823,2.8263,692235.0,0.0,1.0
2000-05-15,5.6724,5.6823,5.5536,5.613,2.7919,1052417.0,0.0,1.0
2000-05-16,5.5932,5.6229,5.4744,5.4843,2.7279,883158.0,0.0,1.0
2000-05-17,5.4843,5.4843,5.2962,5.2962,2.6343,2072658.0,0.0,1.0
2000-05-18,5.325,5.5239,5.2863,5.514,2.7426,1815969.0,0.0,1.0
2000-05-19,5.4556,5.5437,5.3952,5.5041,2.7377,1457179.0,0.0,1.0
2000-05-22,5.4546,5.6427,5.4546,5.613,2.7919,1243250.0,0.0,1.0
2000-05-23,5.5932,5.6922,5.5932,5.6922,2.8313,3145503.0,0.0,1.0
2000-05-24,5.6625,5.8209,5.6427,5.7833,2.8766,4349670.0,0.0,1.0
2000-05-25,5.6982,5.7615,5.6922,5.6922,2.8313,2109074.0,0.0,1.0
2000-05-26,5.5912,5.7516,5.5912,5.7219,2.846,1799319.0,0.0,1.0
2000-05-29,5.6922,5.8209,5.6922,5.8209,2.8953,1829616.0,0.0,1.0
2000-05-30,5.7912,5.9249,5.7912,5.9249,2.947,3573786.0,0.0,1.0
2000-05-31,5.8961,5.9397,5.7417,5.7417,2.8559,5973706.0,0.0,1.0
2000-06-01,5.7714,5.9298,5.7714,5.8704,2.9199,2806273.0,0.0,1.0
2000-06-02,5.8605,5.8902,5.7912,5.8407,2.9051,1777802.0,0.0,1.0
2000-06-05,5.8407,5.8407,5.7615,5.8199,2.8948,1113375.0,0.0,1.0
2000-06-06,5.7912,5.9595,5.7912,5.9595,2.9642,2968511.0,0.0,1.0
2000-06-07,5.8694,5.9793,5.7615,5.8011,2.8854,3102148.0,0.0,1.0
2000-06-08,5.8496,6.0288,5.8496,6.009,2.9888,5030940.0,0.0,1.0
2000-06-09,5.9793,6.0684,5.9694,6.009,2.9888,7226099.0,0.0,1.0
2000-06-12,6.009,6.009,6.009,6.009,2.9888,0.0,0.0,1.0
2000-06-13,5.9397,5.9991,5.8407,5.8803,2.9248,2211088.0,0.0,1.0
