date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2016-04-11,3.41,3.89,3.41,3.89,3.8654,3373476.0,0.0,1.0
2016-04-12,4.0,4.05,3.74,3.84,3.8157,752563.0,0.0,1.0
2016-04-13,4.05,4.15,4.04,4.05,4.0244,2138748.0,0.0,1.0
2016-04-14,4.09,4.1,4.02,4.03,4.0045,771655.0,0.0,1.0
2016-04-15,4.04,4.05,4.01,4.01,3.9847,243624.0,0.0,1.0
2016-04-18,4.03,4.05,3.9,3.9,3.8753,748362.0,0.0,1.0
2016-04-19,3.99,4.0,3.87,3.95,3.925,271552.0,0.0,1.0
2016-04-20,4.0,4.03,3.95,3.95,3.925,169215.0,0.0,1.0
2016-04-21,4.0,4.04,3.98,4.04,4.0145,207837.0,0.0,1.0
2016-04-22,4.01,4.02,3.99,4.0,3.9747,154987.0,0.0,1.0
2016-04-26,4.0,4.0,3.98,4.0,3.9747,188855.0,0.0,1.0
2016-04-27,4.0,4.02,3.99,4.01,3.9847,114500.0,0.0,1.0
2016-04-28,4.01,4.02,4.0,4.02,3.9946,140712.0,0.0,1.0
2016-04-29,4.02,4.08,4.01,4.04,4.0145,147110.0,0.0,1.0
2016-05-02,4.08,4.1,4.05,4.1,4.0741,248448.0,0.0,1.0
2016-05-03,4.2,4.35,4.15,4.25,4.2231,129435.0,0.0,1.0
2016-05-04,4.25,4.3,4.21,4.3,4.2728,81987.0,0.0,1.0
2016-05-05,4.3,4.36,4.27,4.3,4.2728,78140.0,0.0,1.0
2016-05-06,4.35,4.38,4.24,4.37,4.3424,136896.0,0.0,1.0
2016-05-09,4.39,4.57,4.37,4.56,4.5312,126378.0,0.0,1.0
2016-05-10,4.59,5.05,4.59,4.73,4.7001,284422.0,0.0,1.0
2016-05-11,4.84,4.95,4.75,4.77,4.7398,480412.0,0.0,1.0
2016-05-12,4.77,4.77,4.65,4.71,4.6802,238759.0,0.0,1.0
2016-05-13,4.72,4.72,4.55,4.59,4.561,141771.0,0.0,1.0
2016-05-16,4.59,4.6,4.5,4.5,4.4716,175985.0,0.0,1.0
2016-05-17,4.55,4.55,4.26,4.29,4.2629,199546.0,0.0,1.0
2016-05-18,4.41,4.6,4.41,4.55,4.5212,236764.0,0.0,1.0
2016-05-19,4.61,4.66,4.55,4.58,4.551,308198.0,0.0,1.0
2016-05-20,4.66,4.66,4.49,4.5,4.4716,158237.0,0.0,1.0
2016-05-23,4.55,4.55,4.4,4.45,4.4219,1011892.0,0.0,1.0
2016-05-24,4.45,4.45,4.36,4.4,4.3722,556069.0,0.0,1.0
2016-05-25,4.4,4.45,4.34,4.38,4.3523,240727.0,0.0,1.0
2016-05-26,4.38,4.4,4.36,4.4,4.3722,82081.0,0.0,1.0
2016-05-27,4.4,4.45,4.31,4.35,4.3225,104502.0,0.0,1.0
2016-05-30,4.4,4.4,4.3,4.35,4.3225,115770.0,0.0,1.0
2016-05-31,4.36,4.39,4.3,4.37,4.3424,17004.0,0.0,1.0
2016-06-01,4.39,4.4,4.38,4.38,4.3523,177735.0,0.0,1.0
2016-06-02,4.4,4.45,4.39,4.39,4.3623,11855.0,0.0,1.0
2016-06-03,4.45,4.45,4.39,4.4,4.3722,50560.0,0.0,1.0
2016-06-06,4.45,4.45,4.39,4.41,4.3821,14957.0,0.0,1.0
2016-06-07,4.4,4.41,4.31,4.36,4.3324,118403.0,0.0,1.0
