date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2010-12-21,0.6988,0.7188,0.6189,0.6289,0.6289,7138219.0,0.0,1.0
2010-12-22,0.6389,0.6439,0.589,0.599,0.599,4551403.0,0.0,1.0
2010-12-23,0.599,0.604,0.579,0.594,0.594,2425800.0,0.0,1.0
2010-12-24,0.589,0.594,0.559,0.579,0.579,518255.0,0.0,1.0
2010-12-29,0.584,0.589,0.559,0.589,0.589,374300.0,0.0,1.0
2010-12-30,0.579,0.594,0.574,0.579,0.579,428662.0,0.0,1.0
2010-12-31,0.574,0.574,0.5341,0.564,0.564,1583816.0,0.0,1.0
2011-01-04,0.559,0.559,0.5191,0.5191,0.5191,858717.0,0.0,1.0
2011-01-05,0.5041,0.564,0.5041,0.5341,0.5341,3934495.0,0.0,1.0
2011-01-06,0.5441,0.559,0.5391,0.5491,0.5491,5156937.0,0.0,1.0
2011-01-07,0.564,0.579,0.564,0.574,0.574,1262451.0,0.0,1.0
2011-01-10,0.579,0.579,0.569,0.579,0.579,548443.0,0.0,1.0
2011-01-11,0.579,0.589,0.559,0.559,0.559,1177845.0,0.0,1.0
2011-01-12,0.574,0.594,0.574,0.594,0.594,228926.0,0.0,1.0
2011-01-13,0.594,0.6339,0.594,0.6239,0.6239,1643982.0,0.0,1.0
2011-01-14,0.6189,0.6339,0.6139,0.6339,0.6339,436112.0,0.0,1.0
2011-01-17,0.6389,0.6838,0.6389,0.6788,0.6788,2437741.0,0.0,1.0
2011-01-18,0.6838,0.7537,0.6838,0.7537,0.7537,3673085.0,0.0,1.0
2011-01-19,0.7986,0.7986,0.7288,0.7587,0.7587,2853876.0,0.0,1.0
2011-01-20,0.7487,0.7487,0.7238,0.7337,0.7337,1028913.0,0.0,1.0
2011-01-21,0.7387,0.7387,0.6788,0.6938,0.6938,697213.0,0.0,1.0
2011-01-24,0.6888,0.6988,0.6589,0.6738,0.6738,791918.0,0.0,1.0
2011-01-25,0.6688,0.6788,0.6389,0.6539,0.6539,380877.0,0.0,1.0
2011-01-27,0.6539,0.6589,0.6389,0.6389,0.6389,491522.0,0.0,1.0
2011-01-28,0.6389,0.6389,0.6189,0.6189,0.6189,211065.0,0.0,1.0
