date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2012-11-08,4.5,4.6,4.48,4.48,4.48,70781.0,0.0,1.0
2012-11-09,4.45,4.65,4.4,4.65,4.65,62378.0,0.0,1.0
2012-11-12,4.66,5.03,4.66,4.97,4.97,127287.0,0.0,1.0
2012-11-13,5.01,5.1,4.95,4.95,4.95,112418.0,0.0,1.0
2012-11-14,4.93,4.93,4.86,4.87,4.87,61184.0,0.0,1.0
2012-11-15,4.85,4.85,4.6,4.68,4.68,87836.0,0.0,1.0
2012-11-16,4.6,4.62,4.58,4.6,4.6,30300.0,0.0,1.0
2012-11-19,4.62,4.7,4.62,4.7,4.7,12093.0,0.0,1.0
2012-11-20,4.72,4.88,4.72,4.88,4.88,26912.0,0.0,1.0
2012-11-21,4.95,5.05,4.94,5.02,5.02,12210.0,0.0,1.0
2012-11-22,5.02,5.02,4.93,5.02,5.02,13013.0,0.0,1.0
2012-11-23,5.08,5.08,5.08,5.08,5.08,11664.0,0.0,1.0
2012-11-26,5.08,5.12,5.08,5.08,5.08,22937.0,0.0,1.0
2012-11-27,5.07,5.11,5.0,5.0,5.0,24477.0,0.0,1.0
2012-11-28,5.04,5.04,5.02,5.02,5.02,19304.0,0.0,1.0
2012-11-29,5.08,5.12,5.05,5.05,5.05,31600.0,0.0,1.0
2012-11-30,5.12,5.5,5.12,5.5,5.5,73802.0,0.0,1.0
2012-12-03,5.7,6.2,5.7,6.1,6.1,84712.0,0.0,1.0
2012-12-04,5.88,5.88,5.5,5.5,5.5,52041.0,0.0,1.0
2012-12-05,5.51,5.75,5.5,5.7,5.7,69896.0,0.0,1.0
2012-12-06,5.72,6.1,5.72,6.06,6.06,44066.0,0.0,1.0
2012-12-07,6.13,6.2,5.95,5.95,5.95,43881.0,0.0,1.0
2012-12-10,5.95,6.05,5.85,6.0,6.0,22362.0,0.0,1.0
2012-12-11,6.03,6.03,5.99,6.03,6.03,23305.0,0.0,1.0
2012-12-12,6.01,6.03,5.97,5.99,5.99,14773.0,0.0,1.0
2012-12-13,6.0,6.15,6.0,6.1,6.1,43839.0,0.0,1.0
2012-12-14,6.1,6.15,6.09,6.12,6.12,35405.0,0.0,1.0
2012-12-17,6.15,6.15,6.13,6.13,6.13,31530.0,0.0,1.0
2012-12-18,6.14,6.2,6.13,6.2,6.2,17959.0,0.0,1.0
2012-12-19,6.2,6.2,6.15,6.15,6.15,132258.0,0.0,1.0
2012-12-20,6.15,6.15,6.07,6.07,6.07,23971.0,0.0,1.0
2012-12-21,6.0,6.1,6.0,6.1,6.1,25260.0,0.0,1.0
2012-12-24,6.0,6.1,6.0,6.07,6.07,5683.0,0.0,1.0
2012-12-27,6.0,6.05,5.95,5.95,5.95,14512.0,0.0,1.0
