Market Indices Download CSV      Tue 14 Apr 2020 7:54 PM (Sydney time)
Code,Name,Last ($),Change ($),Change (%),,,
XAO,ALL ORDINARIES [XAO]," 5,542.500  ",103.100,1.900,,,
XJO,S&P/ASX 200 [XJO]," 5,488.100  ",100.800,1.900,,,
XFL,S&P/ASX 50 [XFL]," 5,452.100  ",75.500,1.400,,,

More Indices
Code,Name,Last ($),Change ($),Change (%),,,
XTO,S&P/ASX 100 [XTO]," 4,548.100  ",78.300,1.800,,,
XTL,S&P/ASX 20 [XTL]," 3,088.000  ",40.800,1.300,,,
XDJ,S&P/ASX 200 Cons Disc [XDJ]," 2,080.100  ",28.800,1.400,,,
XSJ,S&P/ASX 200 Cons Staples [XSJ]," 12,224.700  ",314.400,2.600,,,
XEJ,S&P/ASX 200 Energy [XEJ]," 7,015.500  ",71.000,1.000,,,
XFJ,S&P/ASX 200 Financials [XFJ]," 4,375.200  ",81.400,1.900,,,
XXJ,S&P/ASX 200 Fin-x-Prop [XXJ]," 4,879.800  ",90.800,1.900,,,
XHJ,S&P/ASX 200 Health Care [XHJ]," 44,722.700  ",191.600,0.400,,,
XNJ,S&P/ASX 200 Industrials [XNJ]," 5,343.200  ",140.500,2.700,,,
XIJ,S&P/ASX 200 Info Tech [XIJ]," 1,213.300  ",66.400,5.800,,,
XMJ,S&P/ASX 200 Materials [XMJ]," 11,937.600  ",395.000,3.400,,,
XPJ,S&P/ASX 200 A-REIT [XPJ]," 1,146.000  ",-20.900,-1.800,,,
XTJ,S&P/ASX 200 Communication [XTJ]," 1,094.600  ",14.900,1.400,,,
XUJ,S&P/ASX 200 Utilities [XUJ]," 7,773.200  ",168.400,2.200,,,
XKO,S&P/ASX 300 [XKO]," 5,442.900  ",101.400,1.900,,,
XMD,S&P/ASX MIDCAP50 [XMD]," 5,864.500  ",218.000,3.900,,,
XSO,S&P/ASX SMALL ORDINARIES [XSO]," 2,326.300  ",71.200,3.200,,,

