" XAO,ALL ORDINARIES [XAO] Download CSV       Mon 13 Apr 2020 11:05 PM (Sydney time)     "
Code,Bid ($),Offer ($),Last ($),Change ($),Open ($),High ($),Low ($),Volume,,
3PL,0.850,0.900,0.880,-0.030,0.930,0.930,0.840,"  55,707   ",,
A2M,16.880,16.950,16.920,0.100,16.970,17.230,16.620,"  3,020,538   ",,
AAC,1.095,1.105,1.095,-0.025,1.140,1.140,1.095,"  260,576   ",,
ABA,4.510,4.600,4.600,0.100,4.550,4.600,4.520,"  6,299   ",,
ABC,2.170,2.220,2.210,0.040,2.150,2.210,2.120,"  2,514,796   ",,
ABP,2.460,2.790,2.480,0.010,2.450,2.540,2.430,"  1,295,612   ",,
ADA,0.380,0.390,0.380,0.000,0.380,0.380,0.380,"  14,659   ",,
ADH,1.165,1.230,1.170,0.170,1.050,1.265,1.030,"  2,458,181   ",,
AFG,1.500,1.530,1.515,0.060,1.505,1.530,1.460,"  668,257   ",,
AGG,6.100,6.400,6.080,-0.320,6.050,6.220,6.020,"  9,150   ",,
AGI,0.405,0.430,0.430,0.040,0.400,0.440,0.400,"  191,539   ",,
AGL,17.350,17.490,17.470,0.230,17.430,17.700,17.260,"  1,744,975   ",,
AGY,0.036,0.037,0.037,0.000,0.037,0.038,0.037,"  750,306   ",,
AHY,0.980,1.020,1.000,-0.010,1.020,1.020,0.995,"  200,568   ",,
AIA,5.500,5.720,5.570,0.250,5.390,5.730,5.380,"  1,433,956   ",,
AJL,0.054,0.060,0.053,0.005,0.044,0.053,0.044,"  29,989   ",,
AJM,0.040,0.041,0.041,0.002,0.039,0.044,0.039,"  4,448,463   ",,
AKP,12.820,12.950,12.950,2.470,11.340,13.700,11.340,"  37,051   ",,
ALK,0.755,0.765,0.760,0.030,0.745,0.765,0.710,"  3,707,348   ",,
ALL,22.820,23.000,22.900,1.030,22.700,23.240,22.110,"  2,168,353   ",,
ALQ,6.030,6.350,6.180,0.220,6.010,6.230,6.010,"  721,447   ",,
ALU,30.680,31.000,30.930,0.700,30.500,31.350,30.230,"  634,437   ",,
ALX,5.540,5.880,5.560,0.120,5.580,5.780,5.510,"  3,282,551   ",,
AMA,0.475,0.480,0.480,0.125,0.415,0.505,0.395,"  29,120,477   ",,
