Code,Bid ($),Offer ($),Last ($),Change ($),Open ($),High ($),Low ($),Volume,,
3PL,0.810,0.860,0.835,0.015,0.820,0.835,0.820,"  28,295   ",,
A2M,15.480,15.550,15.500,0.190,15.360,15.575,15.290,"  7,051,849   ",,
AAC,1.110,1.145,1.145,0.040,1.110,1.145,1.110,"  406,105   ",,
ABA,6.100,6.150,6.150,0.080,6.070,6.150,6.070,"  19,862   ",,
ABC,3.900,3.940,3.930,0.120,3.790,3.940,3.790,"  1,373,420   ",,
ABP,3.810,3.870,3.830,-0.040,3.880,3.885,3.820,"  896,688   ",,
ADA,0.750,0.760,0.755,0.015,0.760,0.760,0.755,"  12,676   ",,
ADH,2.200,2.240,2.240,0.080,2.150,2.240,2.140,"  396,970   ",,
AFG,2.850,2.940,2.910,-0.010,2.900,2.990,2.890,"  542,065   ",,
AGG,5.910,6.150,5.990,-0.270,6.250,6.250,5.900,"  32,024   ",,
AGI,0.710,0.730,0.715,0.000,0.715,0.720,0.710,"  96,740   ",,
AGL,19.950,20.090,19.960,-0.110,20.150,20.170,19.910,"  1,629,049   ",,
AGY,0.086,0.090,0.089,0.002,0.088,0.089,0.086,"  649,147   ",,
AHY,1.075,1.110,1.110,0.030,1.080,1.110,1.075,"  121,163   ",,
AIA,8.530,8.690,8.610,0.030,8.640,8.660,8.570,"  89,063   ",,
AJL,0.076,0.100,0.075,0.000,0.000,0.000,0.000,0,,
AJM,0.000,0.000,0.063,0.000,0.000,0.000,0.000,0,,
AKP,15.800,16.230,16.220,0.360,15.830,16.230,15.780,"  1,124   ",,
ALK,0.670,0.680,0.675,0.010,0.670,0.680,0.660,"  937,296   ",,
ALL,36.640,36.910,36.640,-0.260,37.000,37.000,36.595,"  762,911   ",,
ALQ,9.550,9.690,9.660,-0.030,9.650,9.760,9.620,"  765,258   ",,
ALU,40.040,40.240,40.040,0.540,39.940,40.190,39.705,"  469,389   ",,
ALX,7.950,8.090,7.970,-0.030,8.060,8.080,7.960,"  1,123,612   ",,
AMA,0.930,0.970,0.935,-0.020,0.970,0.970,0.930,"  1,038,707   ",,
AMC,15.550,15.690,15.550,-0.010,15.680,15.740,15.550,"  2,388,181   ",,
AMI,0.475,0.485,0.485,0.040,0.445,0.485,0.435,"  4,598,365   ",,
AMP,1.855,1.870,1.860,0.010,1.850,1.875,1.850,"  4,243,781   ",,
ANN,31.730,32.140,31.840,0.330,31.720,32.030,31.530,"  419,554   ",,
ANZ,25.880,25.910,25.900,0.150,25.850,26.030,25.780,"  4,901,393   ",,
AOF,2.920,2.990,2.920,0.010,2.900,2.950,2.900,"  47,613   ",,
APA,11.300,11.390,11.370,-0.090,11.500,11.590,11.370,"  1,164,504   ",,
APE,9.300,9.520,9.450,0.200,9.250,9.500,9.250,"  392,895   ",,
API,1.305,1.310,1.305,-0.020,1.330,1.330,1.300,"  1,172,200   ",,
APT,37.000,37.030,37.000,0.880,36.420,37.150,36.250,"  1,717,260   ",,
APX,25.880,25.970,25.890,-0.190,26.050,26.300,25.740,"  473,524   ",,
AQG,6.940,7.190,6.950,-0.330,7.070,7.090,6.900,"  292,925   ",,
AQZ,2.600,2.650,2.640,0.020,2.620,2.650,2.570,"  195,000   ",,
ARB,18.730,18.960,18.930,-0.020,19.030,19.130,18.860,"  103,527   ",,
ARF,3.030,3.080,3.050,0.010,3.040,3.080,3.030,"  163,462   ",,
ARQ,0.360,0.370,0.370,0.005,0.360,0.370,0.360,"  36,977   ",,
ARV,0.029,0.028,0.028,0.000,0.000,0.000,0.000,0,,
ASB,3.820,3.990,3.840,-0.060,3.900,3.955,3.825,"  1,675,793   ",,
ASG,1.690,1.790,1.700,-0.030,1.695,1.720,1.695,"  5,494   ",,
AST,1.750,1.790,1.760,-0.010,1.780,1.790,1.760,"  4,963,564   ",,
ASX,85.180,85.800,85.450,0.220,85.860,85.860,85.200,"  237,075   ",,
ATL,0.380,0.400,0.390,-0.010,0.400,0.405,0.370,"  454,148   ",,
ATS,0.081,0.085,0.082,0.000,0.082,0.083,0.082,"  395,974   ",,
AUB,11.590,12.550,12.550,-0.130,12.820,12.820,12.410,"  55,404   ",,
AUZ,0.016,0.017,0.016,0.000,0.016,0.016,0.016,"  9,330,824   ",,
AVJ,0.615,0.635,0.635,0.015,0.620,0.635,0.620,"  172,425   ",,
